studyID	type	iri	targeted?
MTBLS12	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531	target
MTBLS13	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS13	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS13	untargeted metabolites		untargeted
MTBLS13	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS13	bolting stage	http://purl.obolibrary.org/obo/BTO_0004531	target
MTBLS14	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS14	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS14	untargeted metabolites		untargeted
MTBLS14	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS14	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS15	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS15	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS15	untargeted metabolites		untargeted
MTBLS15	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS15	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS16	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS16	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS16	untargeted metabolites		untargeted
MTBLS16	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS16	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS17	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	target
MTBLS17	cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0001422	target
MTBLS17	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS17	untargeted metabolites		untargeted
MTBLS18	chemically induced mutation	http://www.ebi.ac.uk/efo/EFO_0000370	target
MTBLS18	Phytophthora infestans 90128		un-mapped
MTBLS18	time series design	http://www.ebi.ac.uk/efo/EFO_0001779	target
MTBLS18	disease state design	http://www.ebi.ac.uk/efo/EFO_0001756	target
MTBLS18	infection	http://www.ebi.ac.uk/efo/EFO_0000544	target
MTBLS18	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS18	diode array detector	http://purl.obolibrary.org/obo/CHMO_0002503	target
MTBLS18	untargeted metabolites		untargeted
MTBLS19	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	target
MTBLS19	cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0001422	target
MTBLS19	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS19	untargeted metabolites		untargeted
MTBLS20	untargeted metabolites		untargeted
MTBLS20	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS20	urinary metabolome		un-mapped
MTBLS20	spectral library building		un-mapped
MTBLS20	flow injection analysis	http://purl.obolibrary.org/obo/MS_1000058	target
MTBLS20	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS21	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS21	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS21	Peak detection	http://edamontology.org/operation_3215	target
MTBLS21	multiple peak alignment		un-mapped
MTBLS21	multiple alignment performance reference generation		un-mapped
MTBLS22	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS22	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS22	untargeted metabolites		untargeted
MTBLS22	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS22	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS23	untargeted metabolites		untargeted
MTBLS23	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS23	immunometabolism		un-mapped
MTBLS23	endometabolome		un-mapped
MTBLS23	genome-scale modeling		un-mapped
MTBLS23	metabolic network reconstruction		un-mapped
MTBLS24	Acute kidney injury	http://purl.obolibrary.org/obo/HP_0001919	target
MTBLS24	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS24	untargeted metabolites		untargeted
MTBLS25	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS25	targeted metabolites		un-mapped
MTBLS25	MetaboQuant		un-mapped
MTBLS25	Latin Square Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90402	target
MTBLS26	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS26	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS26	Lipid Droplets	http://purl.bioontology.org/ontology/MESH/D066292	target
MTBLS26	untargeted mwetabolites		untargeted
MTBLS26	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS26	Diet, High-Fat	http://purl.bioontology.org/ontology/MESH/D059305	target
MTBLS26	fasting	http://www.ebi.ac.uk/efo/EFO_0002756	target
MTBLS26	Steatosis		un-mapped
MTBLS26	Principal Component Analysis		un-mapped
MTBLS27	colorectal cancer	http://purl.obolibrary.org/obo/DOID_9256	target
MTBLS27	blood serum	http://purl.obolibrary.org/obo/BTO_0000133	target
MTBLS27	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS27	Fatty Acid Metabolism	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26565	target
MTBLS28	untargeted metabolites		untargeted
MTBLS28	urine global profiling		un-mapped
MTBLS28	Tobacco Smoke	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C829	target
MTBLS28	Early Detection	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16209	target
MTBLS28	lung cancer	http://purl.obolibrary.org/obo/DOID_1324	target
MTBLS29	Single-Cell Analysis	http://purl.bioontology.org/ontology/MESH/D059010	target
MTBLS29	matrix-assisted laser desorption-ionisation time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000520	target
MTBLS29	untargeted metabolites		untargeted
MTBLS29	Microarrays for Mass Spectrometry (MAMS)		un-mapped
MTBLS31	targeted metabolites		un-mapped
MTBLS31	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS31	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13195	target
MTBLS31	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320	target
MTBLS31	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954	target
MTBLS32	targeted metabolites		un-mapped
MTBLS32	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS32	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13195	target
MTBLS32	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320	target
MTBLS32	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954	target
MTBLS33	targeted metabolites		un-mapped
MTBLS33	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS33	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13195	target
MTBLS33	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320	target
MTBLS33	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954	target
MTBLS34	targeted metabolites		un-mapped
MTBLS34	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS34	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bronchoalveolar_Lavage_Fluid	target
MTBLS34	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320	target
MTBLS34	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954	target
MTBLS35	untargeted metabolites		untargeted
MTBLS35	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS35	endometabolome		un-mapped
MTBLS35	genome-scale modeling		un-mapped
MTBLS35	Systems biology	http://edamontology.org/topic_2259	target
MTBLS36	leaf development	http://purl.obolibrary.org/obo/GO_0048366	target
MTBLS36	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS36	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS36	untargeted metabolites		untargeted
MTBLS37	untargeted metabolites		untargeted
MTBLS37	Algorithm	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16275	target
MTBLS37	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886	target
MTBLS38	targeted metabolites		un-mapped
MTBLS38	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS38	MassCascade		un-mapped
MTBLS38	reference compound	http://www.bioassayontology.org/bao#BAO_0002092	target
MTBLS39	untargeted metabolites		untargeted
MTBLS39	Transcriptomics	http://www.mygrid.org.uk/ontology/JERMOntology#Transcriptomics	target
MTBLS39	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS40	untargeted metabolites		untargeted
MTBLS40	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS40	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS41	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS41	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS41	untargeted metabolites		untargeted
MTBLS41	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS41	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS42	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS42	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS42	untargeted metabolites		untargeted
MTBLS42	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS42	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS43	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS43	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS43	untargeted metabolites		untargeted
MTBLS43	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS43	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS44	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS44	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS44	untargeted metabolites		untargeted
MTBLS44	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS44	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS45	untargeted metabolites		untargeted
MTBLS45	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS45	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS45	Principal Component Analysis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49291	target
MTBLS46	untargeted metabolites		untargeted
MTBLS46	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319	target
MTBLS46	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS46	atherosclerosis	http://www.ebi.ac.uk/efo/EFO_0003914	target
MTBLS46	Oxidative Stress	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17741	target
MTBLS47	untargeted metabolites		untargeted
MTBLS47	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS47	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS48	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS48	municipal effluent		un-mapped
MTBLS48	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS48	untargeted metabolites		untargeted
MTBLS49	drug screening/evaluation	http://purl.bioontology.org/ontology/CSP/0963-9394	target
MTBLS49	culture medium	http://purl.obolibrary.org/obo/BTO_0000316	target
MTBLS49	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524	target
MTBLS49	untargeted metabolites		untargeted
MTBLS52	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276	target
MTBLS52	multivariate analysis	http://purl.obolibrary.org/obo/OBCS_0000023	target
MTBLS52	ultra high performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0000795	target
MTBLS52	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS52	untargeted metabolites		untargeted
MTBLS53	tracer-based metabolomics		un-mapped
MTBLS53	renal carcinoma	http://purl.obolibrary.org/obo/DOID_4451	target
MTBLS53	Cancer Immunology	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18670	target
MTBLS53	monocyte	http://purl.obolibrary.org/obo/CL_0000576	target
MTBLS53	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS54	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115	target
MTBLS54	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396	target
MTBLS54	untargeted metabolites		untargeted
MTBLS54	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS54	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651	target
MTBLS55	untargeted metabolites		untargeted
MTBLS55	Food Quality	http://purl.bioontology.org/ontology/MESH/D063427	target
MTBLS55	Sangiovese		un-mapped
MTBLS55	Food Storage	http://purl.bioontology.org/ontology/MESH/D061353	target
MTBLS55	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS56	untargeted metabolites		untargeted
MTBLS56	whole plant development stage	http://purl.obolibrary.org/obo/PO_0007033	target
MTBLS56	portion of plant tissue	http://purl.obolibrary.org/obo/PO_0009007	target
MTBLS56	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS56	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS57	untargeted metabolites		untargeted
MTBLS57	Transcriptomics	http://www.mygrid.org.uk/ontology/JERMOntology#Transcriptomics	target
MTBLS57	Stress tolerance	http://purl.bioontology.org/ontology/SNOMEDCT/39146006	target
MTBLS57	flavonol	http://purl.obolibrary.org/obo/CHEBI_5078	target
MTBLS57	anthocyanin	http://purl.obolibrary.org/obo/CHEBI_38697	target
MTBLS57	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS58	untargeted metabolites		untargeted
MTBLS58	matrix-assisted laser desorption-ionisation imaging mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000054	target
MTBLS58	MetaSpace		un-mapped
MTBLS58	infertility	http://www.ebi.ac.uk/efo/EFO_0000545	target
MTBLS59	Benchmarking dataset	http://ontology.neuinfo.org/NIF/DigitalEntities/NIF-Investigation.owl#nlx_inv_20090406	target
MTBLS59	Targeted metabolites		un-mapped
MTBLS59	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS59	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS59	spiking	http://purl.obolibrary.org/obo/CHMO_0002852	target
MTBLS61	Pseudoxanthoma elasticum	http://www.orpha.net/ORDO/Orphanet_758	target
MTBLS61	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS61	Multidrug Resistance-Associated Protein 6	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116948	target
MTBLS61	ABCC6 Gene	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116946	target
MTBLS61	Untargeted metabolites		un-mapped
MTBLS67	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS67	cellular response to nitrogen starvation	http://purl.obolibrary.org/obo/GO_0006995	target
MTBLS67	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS67	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS67	untargeted metabolites		untargeted
MTBLS69	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS69	Phenolics	http://purl.bioontology.org/ontology/RCD/x009P	target
MTBLS69	Untargeted metabolites		un-mapped
MTBLS69	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842	target
MTBLS69	stem cell	http://purl.obolibrary.org/obo/CL_0000034	target
MTBLS69	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS71	Untargeted metabolites		un-mapped
MTBLS71	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS71	urine	http://purl.obolibrary.org/obo/BTO_0001419	target
MTBLS71	Statistics	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17167	target
MTBLS71	urease pre-treatment		un-mapped
MTBLS72	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS72	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	target
MTBLS72	Biomarker	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16342	target
MTBLS72	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS72	Biocrates		un-mapped
MTBLS72	Targeted metabolites		un-mapped
MTBLS72	Untargeted metabolites		un-mapped
MTBLS72	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS72	flow injection analysis	http://purl.obolibrary.org/obo/MS_1000058	target
MTBLS72	Cognitive Status, Mood and Pain:-:Pt:^Patient:-	http://purl.bioontology.org/ontology/LNC/52487-6	target
MTBLS73	Plant Metabolomics		un-mapped
MTBLS73	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS73	Untargeted metabolites		un-mapped
MTBLS73	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS73	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS74	replicate design	http://www.ebi.ac.uk/efo/EFO_0001776	target
MTBLS74	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS74	time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000580	target
MTBLS75	species diversity	http://cerrado.linkeddata.es/ecology/ccon#SpeciesDiversity	target
MTBLS75	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS75	confocal microscopy	http://purl.obolibrary.org/obo/CHMO_0000103	target
MTBLS75	real-time PCR	http://www.bioassayontology.org/bao#BAO_0002084	target
MTBLS75	multi-species biofilm formation	http://purl.org/obo/owl/GO#GO_0044399	target
MTBLS75	Phototrophic Processes	http://purl.bioontology.org/ontology/MSH/D052817	target
MTBLS75	microbial mat	http://purl.obolibrary.org/obo/ENVO_01000008	target
MTBLS75	community dynamics	http://cerrado.linkeddata.es/ecology/ccon#ComunityDynamics	target
MTBLS75	Untargeted metabolites		un-mapped
MTBLS75	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497	target
MTBLS76	open lipid profiling		un-mapped
MTBLS76	Epidemiologic Studies	http://purl.bioontology.org/ontology/MESH/D016021	target
MTBLS76	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS76	Direct Infusion Mass Spectrometry		un-mapped
MTBLS76	untargeted metabolites		untargeted
MTBLS77	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752	target
MTBLS77	Callipyge mutation		un-mapped
MTBLS77	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591	target
MTBLS77	hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002460	target
MTBLS77	untargeted metabolites		untargeted
MTBLS77	Multivariate Analysis	http://purl.bioontology.org/ontology/MESH/D015999	target
MTBLS77	two-dimensional 1H nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0002443	target
MTBLS79	Direct infusion mass spectrometry		un-mapped
MTBLS79	Assay data processing method		un-mapped
MTBLS79	Quality Control	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311	target
MTBLS79	Signal processing		un-mapped
MTBLS79	Batch correction		un-mapped
MTBLS79	Relative standard deviation		un-mapped
MTBLS79	Reproducibility	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15318	target
MTBLS79	Data processing workflow		un-mapped
MTBLS81	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics	target
MTBLS81	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS81	ATGL-KO mouse		un-mapped
MTBLS81	Lipid Droplets	http://purl.bioontology.org/ontology/MESH/D066292	target
MTBLS81	untargeted mwetabolites		untargeted
MTBLS81	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS81	fasting	http://www.ebi.ac.uk/efo/EFO_0002756	target
MTBLS81	Steatosis		un-mapped
MTBLS83	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009	target
MTBLS83	targeted metabolomics		un-mapped
MTBLS85	isoprenoid	http://purl.obolibrary.org/obo/CHEBI_24913	target
MTBLS85	Multivariate Curve Resolution		un-mapped
MTBLS85	diode array detector	http://purl.obolibrary.org/obo/CHMO_0002503	target
MTBLS85	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS85	untargeted metabolites		untargeted
MTBLS86	untargeted metabolites		untargeted
MTBLS86	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044	target
MTBLS86	diode array detector	http://purl.obolibrary.org/obo/CHMO_0002503	target
MTBLS86	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715	target
MTBLS86	Multivariate Curve Resolution		un-mapped
MTBLS87	blood metabolome		un-mapped
MTBLS87	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS87	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS87	untargeted metabolites		untargeted
MTBLS88	blood metabolome		un-mapped
MTBLS88	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575	target
MTBLS88	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796	target
MTBLS88	untargeted metabolites		untargeted
