studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	IRI_label
MTBLS11	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS11	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS11	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS11	Total Light_100pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS11	Total Light_0pc_after_28d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS11	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS11	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS12	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS12	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS12	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS12	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS12	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS12	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS12	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS12	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS13	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS13	Container_after_14d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS13	Total Light_100pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS13	Total Light_0pc_after_initiation	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS13	Total Light_100pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS13	Total Light_0pc_after_07d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS13	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS13	Medium_after_14d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS14	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS14	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS14	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009	
MTBLS14	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	temperature
MTBLS14	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS14	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS14	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS14	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS14	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124	
MTBLS15	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS15	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS15	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009	
MTBLS15	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	temperature
MTBLS15	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS15	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS15	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS15	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS15	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124	
MTBLS16	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS16	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040	
MTBLS16	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009	
MTBLS16	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	temperature
MTBLS16	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS16	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	duration
MTBLS16	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS16	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS16	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124	
MTBLS17	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408	disease
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	technical replicate
MTBLS17	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	block
MTBLS18	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS18	Treatment	plant treatment	http://purl.obolibrary.org/obo/EO_0001001	plant treatment
MTBLS18	Sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS18	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS19	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408	disease
MTBLS19	Batch	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	technical replicate
MTBLS19	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	block
MTBLS20	Material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	material sample
MTBLS21	Cultivation Year	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	
MTBLS21	CO2 Concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	concentration
MTBLS22	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040	
MTBLS22	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS22	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124	
MTBLS24	Time Collected Urine sample	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS24	Acute Kidney Injury	injury	http://www.ebi.ac.uk/efo/EFO_0000546	injury
MTBLS26	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993	
MTBLS26	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS27	Disease staging	disease staging	http://www.ebi.ac.uk/efo/EFO_0000410	disease staging
MTBLS27	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS27	Sex	sex	http://www.ebi.ac.uk/efo/EFO_0000695	obsolete_sex
MTBLS27	Most recent treatment	Therapeutic Procedure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49236	
MTBLS27	Time elapsed between last chemotherapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS27	Time elapsed between last radiation therapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS28	Sample Type	sample	http://purl.obolibrary.org/obo/MS_1000457	sample
MTBLS28	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS28	Race	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049	
MTBLS28	Smoking	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
MTBLS29	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS29	Cell number	Cell Count	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48938	
MTBLS29	Glucose source	Isotope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47933	
MTBLS29	Cell line	Cell Lineage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17895	
MTBLS29	Timepoint	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS31	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS31	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	sampling time
MTBLS31	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS32	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS32	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	sampling time
MTBLS32	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS33	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS33	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	sampling time
MTBLS33	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS34	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	treatment
MTBLS34	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	sampling time
MTBLS34	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	dose
MTBLS35	growth conditon	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504	
MTBLS35	harvested	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS35	replication	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS36	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS36	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS36	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	block
MTBLS37	Strain	strain	http://www.ebi.ac.uk/efo/EFO_0005135	strain
MTBLS37	Cell Phase	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS39	Year of Harvesting	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	
MTBLS39	Vineyard	vineyard	http://purl.obolibrary.org/obo/ENVO_00000116	vineyard
MTBLS39	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS40	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS41	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040	
MTBLS41	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS41	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124	
MTBLS42	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040	
MTBLS42	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	media
MTBLS42	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124	
MTBLS45	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS47	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS47	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	block
MTBLS48	Chemical Exposure 	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS48	time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS49	Medium	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504	
MTBLS49	Cell density	Cell Density	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120538	
MTBLS52	variety	Variety	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709	
MTBLS52	drought treatment	drought environment	http://purl.obolibrary.org/obo/EO_0007404	drought environment
MTBLS52	time point of drought duration	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS53	Incubation time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS53	Renal cancer cells	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	
MTBLS55	Storage type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS55	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS55	Storage time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS56	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
MTBLS56	Development stage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS57	stress	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276	drought tolerance
MTBLS57	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS57	replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
MTBLS58	Condition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS58	Sample Growth Conditions	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS59	Spiking	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS59	Apple Sample	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS61	ABCC6 genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS61	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS61	Ectonucleotidase inhibition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS62	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	germline genotype
MTBLS62	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS62	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	geographic location
MTBLS62	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	population
MTBLS62	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS62	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	
MTBLS63	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	germline genotype
MTBLS63	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS63	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	geographic location
MTBLS63	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	population
MTBLS63	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS63	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	
MTBLS64	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	germline genotype
MTBLS64	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS64	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	geographic location
MTBLS64	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	population
MTBLS64	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS64	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	
MTBLS65	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	germline genotype
MTBLS65	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS65	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	geographic location
MTBLS65	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	population
MTBLS65	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS65	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	
MTBLS66	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	germline genotype
MTBLS66	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS66	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	geographic location
MTBLS66	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	population
MTBLS66	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS66	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	
MTBLS67	Time in nitrogen starvation	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS68	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	germline genotype
MTBLS68	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS68	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	geographic location
MTBLS68	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	population
MTBLS68	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS68	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	
MTBLS69	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
MTBLS71	sample treatment protocol	sample treatment protocol	http://www.ebi.ac.uk/efo/EFO_0003809	sample treatment protocol
MTBLS71	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS72	Cognitive Status	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS73	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	cultivar
MTBLS73	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS73	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	block
MTBLS73	Acquisition date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	
MTBLS74	Extraction replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	technical replicate
MTBLS74	Injection replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	technical replicate
MTBLS75	Primary Phototrophic cyanobacteria	organism	http://purl.obolibrary.org/obo/OBI_0100026	organism
MTBLS75	Harvesting Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS75	Experimental Replication	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
MTBLS76	Sample Type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS76	Batch Number	Batch Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104504	
MTBLS76	Plate Position	position	http://purl.obolibrary.org/obo/PATO_0000140	position
MTBLS77	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS77	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS77	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS79	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	block
MTBLS81	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS81	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993	
MTBLS81	Age at sacrifice	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS85	Addition of TEA	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	
MTBLS85	Storage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS86	EthAc percentage	volume percentage	http://purl.obolibrary.org/obo/UO_0000165	volume percentage
MTBLS86	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS87	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	material sample
MTBLS88	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	material sample
MTBLS89	Client Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	
MTBLS89	Run day	Day	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301	
MTBLS89	Column number	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	
MTBLS89	Subject Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	
MTBLS89	Challenge	Challenge	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78166	
MTBLS89	Challenge Day	day	http://purl.obolibrary.org/obo/UO_0000033	day
MTBLS89	Time of Day	time	http://www.ebi.ac.uk/efo/EFO_0000721	time
MTBLS89	Time Point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS90	injection number	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	technical replicate
MTBLS90	spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559	spectrum type
MTBLS90	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	age
MTBLS90	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS90	Rmsd	Root-mean-square deviation	http://edamontology.org/data_1497	Root-mean-square deviation
MTBLS90	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	
MTBLS90	Season of sample collection	Season	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94729	
MTBLS91	treatment days	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS91	temperature	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	temperature
MTBLS91	CO2 concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	concentration
MTBLS92	Chemotherapy response	Yes, No, or Unknown Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38148	
MTBLS92	Series	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS92	Timepoint	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS92	T-stage	tumor stage	http://www.ebi.ac.uk/efo/EFO_0004925	tumor stage
MTBLS92	N-stage	N stage	http://www.ebi.ac.uk/efo/EFO_0004927	N stage
MTBLS92	Her2	HER2 status	http://www.ebi.ac.uk/efo/EFO_0005514	HER2 status
MTBLS92	Grade	Tumor Regression Grade	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106304	
MTBLS92	ER	estrogen receptor status	http://www.ebi.ac.uk/efo/EFO_0005512	estrogen receptor status
MTBLS92	Menopause	Menopausal Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16151	
MTBLS92	BMI	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	body mass index
MTBLS93	Injection number	technical replicate	http://purl.obolibrary.org/obo/MS_1001808	technical replicate
MTBLS93	Spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559	spectrum type
MTBLS93	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
MTBLS93	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150	
MTBLS93	RMSD	Standard Deviation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53322	
MTBLS93	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	
MTBLS94	Arabidopsis	Plant cell	http://purl.obolibrary.org/obo/PO_0009002	plant cell
MTBLS94	whole plant development stage	Whole plant development stage	http://purl.obolibrary.org/obo/po#wholePlantDevelopmentStage	
MTBLS94	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	biological replicate
MTBLS95	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS95	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	replicate
MTBLS96	Infection	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	
MTBLS96	Sample Collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	timepoint
MTBLS96	Experimental Group	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
MTBLS98	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	genotype
MTBLS98	infection stage	Phase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25257	
MTBLS99	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
