studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		Biospecimen Type	http://purl.obolibrary.org/obo/NCIT_C70713	The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.
MTBLS6	Gap Penalty	Gap Penalty		
		Gap penalty	http://edamontology.org/data_2137	
MTBLS6	Threshold	Threshold		
		Threshold	http://purl.obolibrary.org/obo/NCIT_C48228	The lowest limit at which something becomes detectable or relevant.
		threshold	http://purl.obolibrary.org/obo/PATO_0000152	
MTBLS6	Window	Window		
		Window	http://purl.obolibrary.org/obo/NCIT_C48051	A part of a computer screen that contains a display different from the rest of the screen.
		Window	http://purl.obolibrary.org/obo/NCIT_C48921	A time period, or other type of interval, during which something may be achieved, obtained or observed.
		Window Device	http://purl.obolibrary.org/obo/NCIT_C50268	A transparent panel in a device designed for visual inspection.
MTBLS8	growth rate	Events per hour	http://mimi.case.edu/ontologies/2009/1/UnitsOntology#events_per_hour	
		growth rate	http://purl.obolibrary.org/obo/PATO_0001492	
		growth rate	http://purl.obolibrary.org/obo/OBA_0002215	The rate of a growth.
		growth rate	http://opendata.inra.fr/ATOL/ATOL_0002153	
		Growth rate	http://www.cropontology.org/rdf/CO_360:0000032	Growth rate
		growth rate	http://biomodels.net/SBO/SBO_0000610	A measure of the rate of growth of an organism, usually in culture. This can be expressed as increase in cell number or, more usually as an increase in dry weight of cells (grams), measured over a unit time period. Usually expressed as hour -1.
MTBLS10	Treatment	response to wounding	http://purl.obolibrary.org/obo/GO_0009611	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		injection	http://purl.obolibrary.org/obo/ERO_0000640	Agent delivery whereby a substance is introduced into a organism, usually by means of a hypodermic syringe, as a liquid into the veins or muscles of the body.
		injection	http://purl.obolibrary.org/obo/ExO_0000060	
		injection	http://purl.obolibrary.org/obo/OBI_0000426	injection is process which aims at introducing a compound or a mixture into a material entity (either biological entity or instrument) by relying on devices such as syringe or injector connection, attached or forced into a vascular system (veins of an organism or tubes of a machine) or in a tissue.
		Injection Dosing Unit	http://purl.obolibrary.org/obo/NCIT_C122632	A dosing unit equal to the amount of active ingredient(s) contained in an injection.
		Injection Method of Administration	http://purl.obolibrary.org/obo/NCIT_C149592	The technique of administration of a pharmaceutical product by introducing it into the body, usually after puncturing the skin; one or more of a variety of routes may be specified, the most common being intravenous, intramuscular and subcutaneous.
		Injection Route of Administration	http://purl.obolibrary.org/obo/NCIT_C28160	Administration of a drug into a location within the body; this can be achieved either through an established access or via a needle.
		Injectable Dosage Form	http://purl.obolibrary.org/obo/NCIT_C42946	A substance intended for injection.
MTBLS17	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		experimental process	http://www.ebi.ac.uk/efo/EFO_0002694	A process performed as part of an experiment or wider study, i.e. intentionally designed.
		Experiment Object	http://purl.obolibrary.org/obo/NCIT_C44173	The Experiment is the collection of all the BioAssays that are related by the ExperimentDesign. (caMAGE)
MTBLS18	Treatment	plant treatment	http://purl.obolibrary.org/obo/EO_0001001	
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS18	Sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
MTBLS18	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS19	Batch	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS19	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Experiment	http://purl.obolibrary.org/obo/NCIT_C42790	A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
		experiment	http://semanticscience.org/resource/SIO_000994	An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis. 
		experiment	http://purl.obolibrary.org/obo/AGRO_00000369	A planned process in which a procedure is carried out to support, refute, or validate a hypothesis.
		experimental process	http://www.ebi.ac.uk/efo/EFO_0002694	A process performed as part of an experiment or wider study, i.e. intentionally designed.
		Experiment Object	http://purl.obolibrary.org/obo/NCIT_C44173	The Experiment is the collection of all the BioAssays that are related by the ExperimentDesign. (caMAGE)
MTBLS23	Treatment	Lipopolysaccharide stimulation		
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
		Biomaterial Treatment	http://purl.obolibrary.org/obo/NCIT_C43442	The process by which a biomaterial is created (from source biomaterials).  Treatments have an order and an action. (caMAGE)
		Treatment Epoch	http://purl.obolibrary.org/obo/NCIT_C101526	A period in a clinical study during which subjects receive therapeutic treatment.
		Administration	http://purl.obolibrary.org/obo/NCIT_C25409	The act of the dispensing, applying, or tendering of something to another, such as administration of a medicine.
		Treatment Study	http://purl.obolibrary.org/obo/NCIT_C49656	A type of study protocol designed to evaluate intervention(s) for disease treatment.
		Treat	http://purl.obolibrary.org/obo/NCIT_C70742	Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.
MTBLS24	Acute Kidney Injury	injury	http://www.ebi.ac.uk/efo/EFO_0000546	
		Acute Kidney Injury	http://scdontology.h3abionet.org/ontology/SCDO_0000017	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia). Acute renal failure is usually classified into prerenal (response to severe volume depletion), intrinsic (response to acute cytotoxic, ischemic, or inflammatory insults) and postrenal (response to obstruction of the passage of urine) etiologies.
		Acute Kidney Injury	http://purl.obolibrary.org/obo/OMIT_0027135	
		Acute kidney injury	http://purl.obolibrary.org/obo/HP_0001919	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia).
		Acute Kidney Injury, CTCAE	http://purl.obolibrary.org/obo/NCIT_C143262	A disorder characterized by the acute loss of renal function (within 2 weeks) and is traditionally classified as pre-renal (low blood flow into kidney), renal (kidney damage) and post-renal causes (ureteral or bladder outflow obstruction).
		Acute Renal Failure	http://purl.obolibrary.org/obo/NCIT_C26808	Sudden and sustained deterioration of the kidney function characterized by decreased glomerular filtration rate, increased serum creatinine or oliguria.
		acute kidney failure	http://purl.obolibrary.org/obo/MONDO_0002492	Sudden and sustained deterioration of the kidney function characterized by decreased glomerular filtration rate, increased serum creatinine or oliguria.
MTBLS26	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993	
		Nutritional Status	http://purl.obolibrary.org/obo/NCIT_C17993	The state of the body as influenced by the diet and the ability of the diet to maintain an overall healthy condition.
		Nutritional Status	http://purl.obolibrary.org/obo/OMIT_0010771	
MTBLS27	Sex	sex	http://www.ebi.ac.uk/efo/EFO_0000695	
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		sex	http://purl.obolibrary.org/obo/FBcv_0000332	Qualifier that relates the expression of a phenotype to the sex of the individual.
		Sex	http://purl.obolibrary.org/obo/OMIT_0013619	
		Sex determination	http://www.cropontology.org/rdf/CO_357:1000066	Determination of the tree sex
		SEX	http://www.cropontology.org/rdf/CO_357:0000078	
		sex	http://purl.obolibrary.org/obo/PATO_0000047	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		CDISC SDTM Sex of Individual Terminology	http://purl.obolibrary.org/obo/NCIT_C66731	Terminology codelist used with Sex of Individual within the Clinical Data Interchange Standards Consortium Study Data Tabulation Model.
		Plant sex	http://www.cropontology.org/rdf/CO_343:0000093	Predominat plant or flower sex
		Sex Behavior	http://purl.obolibrary.org/obo/NCIT_C17127	A form of physical intimacy that can be directed to reproduction (one possible goal of sexual intercourse) and/or to enjoying the body of someone else; activities associated with sexual intercourse.
MTBLS28	Sample Type	sample	http://purl.obolibrary.org/obo/MS_1000457	
		Biospecimen Type	http://purl.obolibrary.org/obo/NCIT_C70713	The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.
MTBLS28	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS28	Race	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049	
		Race	http://purl.obolibrary.org/obo/NCIT_C17049	An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.
		race	http://semanticscience.org/resource/SIO_001015	race is a characteristic of an individual by heritable phenotypic characteristics, geographic ancestry, physical appearance, ethnicity, and social status.
		Race	http://scdontology.h3abionet.org/ontology/SCDO_0000962	An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.
		Rapid Amplification of cDNA Ends	http://www.ebi.ac.uk/efo/EFO_0004182	Rapid Amplification of cDNA Ends (RACE) is an experimental process used to obtain the full length sequence of an RNA transcript found within a cell. RACE produces a cDNA copy of the RNA through reverse transcription which is amplified and sequenced.
		CDISC SDTM Race Terminology	http://purl.obolibrary.org/obo/NCIT_C74457	Terminology codelist used to identify the race of an individual within the Clinical Data Interchange Standards Consortium Study Data Tabulation Model.
		alpha-methylacyl-CoA racemase	http://www.orpha.net/ORDO/Orphanet_159633	
		ethnic group	http://www.ebi.ac.uk/efo/EFO_0001799	An ethnic group is a population whose members have a common heritage that is real or presumed such as common culture, language, religion, behaviour or biological trait.
		AMACR Gene	http://purl.obolibrary.org/obo/NCIT_C48210	This gene plays a role in the formation of cholic acid in peroxisomes.
		AMACR wt Allele	http://purl.obolibrary.org/obo/NCIT_C50840	Human AMACR wild-type allele is located within 5p13.2-q11.1 and is approximately 21 kb in length. This allele, which encodes alpha-methylacyl-CoA racemase protein, is involved in the racemization of 2-methyl-branched fatty acid CoA esters. Certain allelic variants of the AMACR gene are associated with cancer risk.
		angiotensin-converting enzyme (rat)	http://purl.obolibrary.org/obo/PR_P47820	An angiotensin-converting enzyme that is encoded in the genome of rat.
MTBLS28	Smoking	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		Smoking	http://purl.obolibrary.org/obo/NCIT_C154329	The act of puffing and/or inhaling the combustion products of a substance so as to be tasted and absorbed into the bloodstream.
		smoking	http://purl.obolibrary.org/obo/PORO_0000100	Massive release of gametes.
		Smoking	http://scdontology.h3abionet.org/ontology/SCDO_0001079	Inhaling and exhaling the smoke of burning tobacco (Cigar, Cigarette, Hookah, Pipe, Smoking, Waterpipe).
		Smoking	http://purl.obolibrary.org/obo/OMIT_0013795	
		smoking behavior	http://www.ebi.ac.uk/efo/EFO_0004318	Inhaling and exhaling the smoke of tobacco or something similar to tobacco.
		Tobacco Smoking	http://purl.obolibrary.org/obo/NCIT_C17934	The act of puffing and/or inhaling smoke from a lit cigarette, cigar, or pipe.
		Device Smoking	http://purl.obolibrary.org/obo/NCIT_C63003	Problem associated with a cloud of vapor or gas generated from the device, generally associated after a fire or a burn.
		nicotine dependence	http://www.ebi.ac.uk/efo/EFO_0003768	Tobacco used to the detriment of a person's health or social functioning. Tobacco dependence is included.
MTBLS29	Cell line	Cell Lineage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17895	
		Cell Line	http://purl.obolibrary.org/obo/NCIT_C16403	A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.
		cell line	http://purl.obolibrary.org/obo/CLO_0000031	A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).
		cell line	http://semanticscience.org/resource/SIO_010054	A cell line is a collection of genetically identifical cells.
		Cell Line	http://purl.obolibrary.org/obo/OMIT_0003789	
		cell line	http://www.ebi.ac.uk/efo/EFO_0000322	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
		Epigenome	http://ensembl.org/glossary/ENSGLOSSARY_0000356	A cell type, such as a primary tissue or lab cell line, for which we have epigenome evidence and can predict regulatory features.
		cultured cell	http://purl.obolibrary.org/obo/CL_0000010	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
MTBLS31	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS32	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS33	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS34	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS35	replication	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replication	http://purl.obolibrary.org/obo/IDO_0000608	A production process in which a participant creates a copy of itself.
		replication	http://purl.obolibrary.org/obo/AGRO_00000321	Replication is the repetition of the set of all the treatment combinations used in an experiment.
		DNA Replication	http://purl.obolibrary.org/obo/NCIT_C16514	The process by which the two strands of a DNA double helix separate, allowing each strand to act as a template for the synthesis of a complementary strand by specific base pairing. Includes autonomous but not virus replication.
MTBLS36	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS39	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Repeat	http://purl.obolibrary.org/obo/NCIT_C47886	Make or do or perform again.
MTBLS46	gender	gender		
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS47	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
		block	http://www.ebi.ac.uk/efo/EFO_0005067	A block or batch is an experimental unit arrangement into a group which is similar to one another. Typically, a blocking factor is a source of variability that is not of primary interest to the experimenter. An example of a blocking factor might be the sex of a patient; by blocking on sex, this source of variability is controlled for, thus leading to greater accuracy.
		Batch Number	http://purl.obolibrary.org/obo/NCIT_C104504	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product that is produced in a manner that is expected to render it homogeneous.
MTBLS48	time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	
		Timepoint	http://purl.obolibrary.org/obo/NCIT_C68568	A specific point in the time continuum, including those established relative to an event.
MTBLS49	Medium	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504	
		Medium	http://purl.obolibrary.org/obo/NCIT_C48164	A substance holding another substance in solution or suspension.
		Medium	http://purl.obolibrary.org/obo/NCIT_C49507	Mid-way between small and large in number, quantity, magnitude or extent.
		medium	http://purl.obolibrary.org/obo/sep_00037	A medium is a substance role which an intervening substance through which something else is transmitted or carried on.
		medium	http://purl.bioontology.org/ontology/npo#NPO_1853	
		Moderately Bothered	http://purl.obolibrary.org/obo/NCIT_C156116	A response indicating that an individual is or was moderately bothered.
		Medium Growth Rate	http://purl.obolibrary.org/obo/NCIT_C124824	An indication that something is growing at an intermediate rate.
		A Medium Amount of Time	http://purl.obolibrary.org/obo/NCIT_C136333	A response indicating that something happens or happened for a medium amount of time.
		A Medium Amount	http://purl.obolibrary.org/obo/NCIT_C136334	A response indicating that something is or was of a moderate amount, intensity, or duration.
		Media	http://purl.obolibrary.org/obo/NCIT_C19442	Any mechanism of mass communication.
MTBLS49	Cell density	Cell Density	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120538	
		Cell Density	http://purl.obolibrary.org/obo/NCIT_C120538	A measurement of the number of cells per unit volume or area.
MTBLS52	variety	Variety	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709	
		Variety	http://purl.obolibrary.org/obo/NCIT_C62709	In botanical nomenclature, a rank below subspecies but above forma.
		varietas	http://purl.obolibrary.org/obo/TAXRANK_0000016	
		Assortment	http://purl.obolibrary.org/obo/NCIT_C69085	A collection of things containing a variety of sorts or kinds, a variety.
MTBLS55	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		Biospecimen Type	http://purl.obolibrary.org/obo/NCIT_C70713	The type of a material sample taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. This includes particular types of cellular molecules, cells, tissues, organs, body fluids, embryos, and body excretory substances.
MTBLS56	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
