terms
2'-deoxyadenosine
ipsilateral region of brain
ircinia campana
jacobaea
juniperus communis
jurkat cell
juvenile leaf
kalanchoe fedtschenkoi
kidney
kimchi soup
knautia arvensis
kunming white outbred strain mice
lactobacillus rhamnosus
lactuca sativa
landoltia punctata
larvae
laternula elliptica
leaf
leaf and stem
leaf lamina
leaf midvein
leave
left ventricle
leishmania infantum
leishmania mexicana
leishmania mexicana species complex
lemna gibba
lemna paucicostata
leonurus quinquelobatus
leucanthemum vulgare
levisticum officinale
linum usitatissimum
liothyrella uva
litoria verreauxii
liver
liver cancer cell
lobophora monticola
lobophora obscura
lobophora rosacea
lobophora sonderii
lolium perenne
lotus burttii
lotus burttiiwhole plant
lotus corniculatus
lotus creticus
lotus filicaulis
lotus japonicus
lotus tenuis
lotus uliginosus
lung
lung fibroblast cell line
lysiphlebia japonica
macaca mulatta
macleaya cordata
macrobrachium nipponense
macrophage
malus domestica
manihot esculenta
marchantia polymorpha
marchantia polymorpha s. l.
marseniopsis mollis
matricaria chamomilla
matrix
mccoys media
mcf-10a cell
mcf-7 cell
mda-mb-231 cell
media
medicago sativa
medium
melilotus officinalis
mentha x piperita
mesocarp and exocarp
metabolite
meyerozyma guilliermondii
mice
microbial mat
microbiota
micrococcus luteus
micromonas pusilla
midgut
milk
minced meat
mix
mixture
momordica charantia
monocyte
montipora
montipora aequituberculata
mouse
mouse kidney
mus
mus musculus
mus musculus xenograft
muscle
mustela putorius
mycelium
mycobacterium bovis
mycobacterium tuberculosis
mycoplasma bovis
mycoplasma gallisepticum
navicula pelliculosa
negative media
nepenthes ampullaria
nepenthes rafflesiana
nepenthes x hookeriana
neutrophil
nicotiana attenuata
nicotiana tabacum
nih-3t3 cell
not applicable
not applicablehomo sapiens
nuptial gift
odor
olea europaea
olive oil
oplopanax elatus
origanum vulgare
oryctolagus cuniculus
oryza sativa
ovarian serous adenocarcinoma cell line
ovis aries
panax ginseng
papio anubis
paraceradocus miersii
parachlorella
pbs
pbs buffer
pericarp
peritoneal macrophage
petroselinum crispum
phaeodactylum tricornutum 1
phaeodactylum tricornutum 11
phaeodactylum tricornutum 2
phleum pratense
phoenix dactylifera
phosphate buffered saline
photinus pyralis
phyllanthus niruri
pichia kudriavzevii
pimpinella anisum
pimpinella saxifraga
pinus sylvestris
plagiomnium undulatum
plantago lanceolata
plantago major
plasma
plasmaplasma
plasmodium coatneyi
plasmodium cynomolgi
plasmodium falciparum
plasmodium knowlesi
plasmodium vivax
platycodon grandiflorus
pluripotent stem cell-derived cardiomyocyte
poa pratensis
pocillopora acuta
pocillopora damicornis
pocillopora meandrina
polemonium caeruleum
polytrichum strictum
pooled quality control
populus balsamifera
populus deltoides
populus tremula x populus alba
populus tremula x populus tremuloides
porites
porites compressa
porites lobata
porites rus
potentilla erecta
pre-b-lymphocyte
primary root
pristionchus pacificus
prochlorococcus
prothorax plus head
prunus padus
pseudo-nitzschia arenysensis cm63
pseudo-nitzschia multistriata pmf3.7
pseudomonas aeruginosa
pseudomonas fluorescens
pseudomonas putida
pseudomonas syringae
pseudostellaria heterophylla
pure substance
qc
ranunculus acris
rattus
rattus andamanensis
rattus norvegicus
rattus rattus
raw-264.7 cell
recombinant protein
reference compound
renal epithelial cell
renal proximal tubule
renal tubule
rhamnus cathartica
rhizoctonia solani
rhodiola rosea
rhopalosiphum padi
rhytidiadelphus squarrosus
right ventricle
root
rosa majalis
roseiflexus
rosette
rosette leaf
rubus idaeus
ruegeria pomeroyi
saccharomyces cerevisiae
sake
saliva
salmonella enterica
salvia officinalis
sambucus nigra
schizosaccharomyces pombe
schizosaccharomyces pombe 972h-
sea water
seed
seedling
semen
seminal plasma
seminavis robusta 85a
seminavis robusta 85a nosex
seminavis robusta 85a sex
seminavis robusta 85b
seminavis robusta 85b nosex
seminavis robusta 85b sex
senna alexandrina
seriatopora hystrix
serum
sh-sy5y cell
shoot system
silybum marianum
simulated data
simulated squares
simulation experiment
sinorhizobium meliloti
sk-n-as cell
sk-n-be(2) cell
skeletal muscle
skeletal muscle organ
skeletonema marinoi
skin fibroblast cell line
soil biocrust
solanum habrochaites
solanum lycopersicum
solanum lycopersicum x solanum pennellii
solvent
sorghum bicolor
soybean
spent medium
spermatophore
spheciospongia vesparium
spike
spirodela polyrhizawhole plant
spleen
stalk
standard
standard mixture
staphylococcus aureus
staphylococcus aureussorbent blanknutrient brothpseudomonas aeruginosaklebsiella pneumoniae
stationary phase culture
steam
stem
stem internode
stigma
streptomyces viridochromogenes
study reference pool
subcutaneous adipose tissue
suf_fe1.1
sulfolobus acidocaldarius
suricata suricatta
sus scrofa
sus scrofa domesticus
symbiodinium sp. ex acropora aspera
synechococcus elongatus
synechococcus sp.
synechocystis sp. pcc 6803
synovia
synthetic
tanacetum vulgare
taraxacum officinale
testis
thalassiosira pseudonana
thorax
thp-1 cell
thymus serpyllum
tilia cordata
tissue
triticum aestivum
trotter horse
trypanosoma brucei
tussilago farfara
twig
u2-os cell
unclassified cyanobacteria
urinary metabolite measurement
urine
urtica dioica
vaccinium myrtillus
valeriana officinalis
vegetative shoot system
vero cells (kidney epithelial)
viburnum opulus
viola tricolor
vitis
vitis vinifera
water
wax ester
wheat ears
white adipose tissue
whole
whole alga
whole body
whole cell
whole organism
whole plant
wine
wolffia
xenopus laevis
xylem
yoldia eightsi
zea mays
