studyID	name	type	iri
MTBLS14	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS14	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS14	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS14	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS14	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS14	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS15	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS15	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS15	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009
MTBLS15	Salt_Quantity_after_initiation	Concentration	
MTBLS15	Salt_Quantity_after_08d	Concentration	
MTBLS15	Salt_Quantity_after_12d	Concentration	
MTBLS15	Salt_Quantity_after_16d	Concentration	
MTBLS15	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS15	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS15	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS15	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS15	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS15	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS16	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS16	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040
MTBLS16	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009
MTBLS16	Salt_Quantity_after_initiation	Concentration	
MTBLS16	Salt_Quantity_after_08d	Concentration	
MTBLS16	Salt_Quantity_after_12d	Concentration	
MTBLS16	Salt_Quantity_after_16d	Concentration	
MTBLS16	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS16	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS16	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433
MTBLS16	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS16	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS16	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS17	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS17	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS18	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS18	Treatment	plant treatment	http://purl.obolibrary.org/obo/EO_0001001
MTBLS18	Sampling time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS18	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS19	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408
MTBLS19	Batch	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS19	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS20	Material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747
MTBLS21	Cultivation Year	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS21	CO2 Concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS22	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040
MTBLS22	Salt_Quantity_after_initiation	Quantity	
MTBLS22	Salt_Quantity_after_04d	Quantity	
MTBLS22	Salt_Quantity_after_08d	Quantity	
MTBLS22	Salt_Quantity_after_12d	Quantity	
MTBLS22	Salt_Quantity_after_16d	Quantity	
MTBLS22	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS22	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS23	Treatment	Lipopolysaccharide stimulation	
MTBLS24	Time Collected Urine sample	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS24	Acute Kidney Injury	injury	http://www.ebi.ac.uk/efo/EFO_0000546
MTBLS25			
MTBLS26	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993
MTBLS26	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS27	Disease staging	disease staging	http://www.ebi.ac.uk/efo/EFO_0000410
MTBLS27	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246
MTBLS27	Sex	sex	http://www.ebi.ac.uk/efo/EFO_0000695
MTBLS27	Most recent treatment	Therapeutic Procedure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49236
MTBLS27	Time elapsed between last chemotherapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS27	Time elapsed between last radiation therapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS28	Sample Type	sample	http://purl.obolibrary.org/obo/MS_1000457
MTBLS28	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS28	Race	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049
MTBLS28	Smoking	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796
MTBLS29	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
MTBLS29	Level measurement type	Level measurement type	
MTBLS29	Cell number	Cell Count	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48938
MTBLS29	Glucose source	Isotope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47933
MTBLS29	Cell line	Cell Lineage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17895
MTBLS29	Timepoint	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS30	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS30	tissue source	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801
MTBLS30	feeding	Feeding	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88198
MTBLS30	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS31	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
MTBLS31	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS31	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428
MTBLS32	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
MTBLS32	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS32	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428
MTBLS33	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
MTBLS33	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS33	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428
MTBLS34	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
MTBLS34	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689
MTBLS34	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428
MTBLS35	growth conditon	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504
MTBLS35	harvested	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS35	replication	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS36	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS36	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS36	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS37	Strain	strain	http://www.ebi.ac.uk/efo/EFO_0005135
MTBLS37	Cell Phase	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS38			
MTBLS39	Year of Harvesting	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS39	Vineyard	vineyard	http://purl.obolibrary.org/obo/ENVO_00000116
MTBLS39	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS40	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS41	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040
MTBLS41	Salt_Quantity_after_initiation	Quantity	
MTBLS41	Salt_Quantity_after_04d	Quantity	
MTBLS41	Salt_Quantity_after_08d	Quantity	
MTBLS41	Salt_Quantity_after_12d	Quantity	
MTBLS41	Salt_Quantity_after_16d	Quantity	
MTBLS41	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS41	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS42	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040
MTBLS42	Salt_Quantity_after_initiation	Quantity	
MTBLS42	Salt_Quantity_after_04d	Quantity	
MTBLS42	Salt_Quantity_after_08d	Quantity	
MTBLS42	Salt_Quantity_after_12d	Quantity	
MTBLS42	Salt_Quantity_after_16d	Quantity	
MTBLS42	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579
MTBLS42	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124
MTBLS43	Salt_Quantity_after_initiation	Quantity	
MTBLS43	Salt_Quantity_after_08d	Quantity	
MTBLS43	Salt_Quantity_after_12d	Quantity	
MTBLS43	Salt_Quantity_after_16d	Quantity	
MTBLS44	Salt_Quantity_after_initiation	Quantity	
MTBLS44	Salt_Quantity_after_08d	Quantity	
MTBLS44	Salt_Quantity_after_12d	Quantity	
MTBLS44	Salt_Quantity_after_16d	Quantity	
MTBLS45	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS46	cardiovascular risk status	cardiovascular risk status	
MTBLS46	gender	gender	
MTBLS47	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS47	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS48	Chemical Exposure 	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS48	time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS49	Medium	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504
MTBLS49	Cell density	Cell Density	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120538
MTBLS50	Sepsis	sepsis	http://www.ebi.ac.uk/efo/EFO_0001420
MTBLS50	Sepsis Outcome	Disease Outcome	
MTBLS50	Time	Hour	
MTBLS50	Validation	Validation	
MTBLS51	Sepsis	sepsis	
MTBLS51	Sepsis Outcome	Sepsis Outcomes	
MTBLS51	Time	hour	
MTBLS51	Validation	validation flag	
MTBLS52	variety	Variety	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709
MTBLS52	drought treatment	drought environment	http://purl.obolibrary.org/obo/EO_0007404
MTBLS52	time point of drought duration	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS53	Incubation time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS53	Renal cancer cells	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147
MTBLS54	Salt_Quantity_after_initiation	Quantity	
MTBLS54	Salt_Quantity_after_08d	Quantity	
MTBLS54	Salt_Quantity_after_12d	Quantity	
MTBLS54	Salt_Quantity_after_16d	Quantity	
MTBLS55	Storage type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS55	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS55	Storage time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS56	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801
MTBLS56	Development stage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS57	stress	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276
MTBLS57	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS57	replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683
MTBLS58	Condition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS58	Sample Growth Conditions	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS59	Spiking	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS59	Apple Sample	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS60	ID	ID	
MTBLS60	Male	Male	
MTBLS60	Age	Age	
MTBLS60	nICA	nICA	
MTBLS60	nMIAA	nMIAA	
MTBLS60	nmIAA	nmIAA	
MTBLS60	nGADA	nGADA	
MTBLS60	nIA2A	nIA2A	
MTBLS60	SampleAge	SampleAge	
MTBLS60	IsSeroc	IsSeroc	
MTBLS60	Time2Diag	Time2Diag	
MTBLS60	Diagnosis	Diagnosis	
MTBLS60	nIAA	nIAA	
MTBLS60	Age122days	Age122days	
MTBLS60	MO 	MO	
MTBLS61	ABCC6 genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS61	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS61	Ectonucleotidase inhibition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS62	Genotype	germline genotype	
MTBLS62	Replicate	biological replicate	
MTBLS63	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS63	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS64	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS64	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS65	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS65	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS66	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS66	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS67	Time in nitrogen starvation	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS68	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS68	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS69	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683
MTBLS70	Plant tissue	plant ontology	PO:0009075
MTBLS71	sample treatment protocol	sample treatment protocol	http://www.ebi.ac.uk/efo/EFO_0003809
MTBLS71	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS72	Cognitive Status	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS73	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS73	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS73	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS73	Acquisition date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS74	Extraction replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS74	Injection replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS75	Primary Phototrophic cyanobacteria	organism	http://purl.obolibrary.org/obo/OBI_0100026
MTBLS75	Harvesting Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS75	Experimental Replication	replicate	http://www.ebi.ac.uk/efo/EFO_0000683
MTBLS76	Sample Type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS76	Batch Number	Batch Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104504
MTBLS76	Plate Position	position	http://purl.obolibrary.org/obo/PATO_0000140
MTBLS77	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246
MTBLS77	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS77	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS78			
MTBLS79	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS80			
MTBLS81	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513
MTBLS81	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993
MTBLS81	Total Protein in LD	Total Protein in LD	
MTBLS81	Total acylglycerol in LD	Total acylglycerol in LD	
MTBLS81	Age at sacrifice	age	http://www.ebi.ac.uk/efo/EFO_0000246
MTBLS82			
MTBLS83	eg. gender		
MTBLS84	eg. gender		
MTBLS85	Addition of TEA	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147
MTBLS85	Storage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS86	EthAc percentage	volume percentage	http://purl.obolibrary.org/obo/UO_0000165
MTBLS86	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS87	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747
MTBLS88	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747
MTBLS89	Client Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364
MTBLS89	Run day	Day	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301
MTBLS89	Column number	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364
MTBLS89	OSMO		
MTBLS89	Subject Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364
MTBLS89	Challenge	Challenge	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78166
MTBLS89	Challenge Day	day	http://purl.obolibrary.org/obo/UO_0000033
MTBLS89	Challenge Time of Day		
MTBLS89	Time of Day	time	http://www.ebi.ac.uk/efo/EFO_0000721
MTBLS89	Time Point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS90	injection number	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS90	spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559
MTBLS90	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246
MTBLS90	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS90	Rmsd	Root-mean-square deviation	http://edamontology.org/data_1497
MTBLS90	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS90	Season of sample collection	Season	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94729
MTBLS91	treatment days	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS91	temperature	temperature	http://www.ebi.ac.uk/efo/EFO_0001702
MTBLS91	CO2 concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS92	Chemotherapy response	Yes, No, or Unknown Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38148
MTBLS92	Series	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS92	Timepoint	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS92	T-stage	tumor stage	http://www.ebi.ac.uk/efo/EFO_0004925
MTBLS92	N-stage	N stage	http://www.ebi.ac.uk/efo/EFO_0004927
MTBLS92	Her2	HER2 status	http://www.ebi.ac.uk/efo/EFO_0005514
MTBLS92	Grade	Tumor Regression Grade	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106304
MTBLS92	ER	estrogen receptor status	http://www.ebi.ac.uk/efo/EFO_0005512
MTBLS92	Menopause	Menopausal Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16151
MTBLS92	BMI	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340
MTBLS93	Injection number	technical replicate	http://purl.obolibrary.org/obo/MS_1001808
MTBLS93	Spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559
MTBLS93	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS93	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150
MTBLS93	RMSD	Standard Deviation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53322
MTBLS93	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS93	Cluster effect	Cluster effect	
MTBLS94	Arabidopsis	Plant cell	http://purl.obolibrary.org/obo/PO_0009002
MTBLS94	whole plant development stage	Whole plant development stage	http://purl.obolibrary.org/obo/po#wholePlantDevelopmentStage
