studyID	type	iri
MTBLS24	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS24	untargeted metabolites	
MTBLS25	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS25	targeted metabolites	
MTBLS25	MetaboQuant	
MTBLS25	Latin Square Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90402
MTBLS26	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS26	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS26	Lipid Droplets	http://purl.bioontology.org/ontology/MESH/D066292
MTBLS26	untargeted mwetabolites	
MTBLS26	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS26	Diet, High-Fat	http://purl.bioontology.org/ontology/MESH/D059305
MTBLS26	fasting	http://www.ebi.ac.uk/efo/EFO_0002756
MTBLS26	Steatosis	
MTBLS26	Principal Component Analysis	
MTBLS27	colorectal cancer	http://purl.obolibrary.org/obo/DOID_9256
MTBLS27	blood serum	http://purl.obolibrary.org/obo/BTO_0000133
MTBLS27	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS27	Fatty Acid Metabolism	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26565
MTBLS28	untargeted metabolites	
MTBLS28	urine global profiling	
MTBLS28	Tobacco Smoke	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C829
MTBLS28	Early Detection	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16209
MTBLS28	lung cancer	http://purl.obolibrary.org/obo/DOID_1324
MTBLS29	Single-Cell Analysis	http://purl.bioontology.org/ontology/MESH/D059010
MTBLS29	matrix-assisted laser desorption-ionisation time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000520
MTBLS29	untargeted metabolites	
MTBLS29	Microarrays for Mass Spectrometry (MAMS)	
MTBLS31	targeted metabolites	
MTBLS31	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS31	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13195
MTBLS31	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320
MTBLS31	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954
MTBLS32	targeted metabolites	
MTBLS32	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS32	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13195
MTBLS32	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320
MTBLS32	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954
MTBLS33	targeted metabolites	
MTBLS33	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS33	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13195
MTBLS33	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320
MTBLS33	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954
MTBLS34	targeted metabolites	
MTBLS34	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS34	Bronchoalveolar Lavage Fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bronchoalveolar_Lavage_Fluid
MTBLS34	Influenza A virus	http://purl.obolibrary.org/obo/NCBITaxon_11320
MTBLS34	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954
MTBLS35	untargeted metabolites	
MTBLS35	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS35	endometabolome	
MTBLS35	genome-scale modeling	
MTBLS35	Systems biology	http://edamontology.org/topic_2259
MTBLS36	leaf development	http://purl.obolibrary.org/obo/GO_0048366
MTBLS36	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS36	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS36	untargeted metabolites	
MTBLS37	untargeted metabolites	
MTBLS37	Algorithm	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16275
MTBLS37	two-dimensional gas chromatography	http://purl.obolibrary.org/obo/CHMO_0002886
MTBLS38	targeted metabolites	
MTBLS38	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS38	MassCascade	
MTBLS38	reference compound	http://www.bioassayontology.org/bao#BAO_0002092
MTBLS39	untargeted metabolites	
MTBLS39	Transcriptomics	http://www.mygrid.org.uk/ontology/JERMOntology#Transcriptomics
MTBLS39	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS40	untargeted metabolites	
MTBLS40	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS40	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS41	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS41	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS41	untargeted metabolites	
MTBLS41	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS41	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS42	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS42	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS42	untargeted metabolites	
MTBLS42	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS42	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS43	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS43	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS43	untargeted metabolites	
MTBLS43	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS43	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS44	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS44	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS44	untargeted metabolites	
MTBLS44	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS44	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS45	untargeted metabolites	
MTBLS45	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS45	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS45	Principal Component Analysis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49291
MTBLS46	untargeted metabolites	
MTBLS46	cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
MTBLS46	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS46	atherosclerosis	http://www.ebi.ac.uk/efo/EFO_0003914
MTBLS46	Oxidative Stress	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17741
MTBLS47	untargeted metabolites	
MTBLS47	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS47	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS48	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS48	municipal effluent	
MTBLS48	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS48	untargeted metabolites	
MTBLS49	drug screening/evaluation	http://purl.bioontology.org/ontology/CSP/0963-9394
MTBLS49	culture medium	http://purl.obolibrary.org/obo/BTO_0000316
MTBLS49	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524
MTBLS49	untargeted metabolites	
MTBLS52	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276
MTBLS52	multivariate analysis	http://purl.obolibrary.org/obo/OBCS_0000023
MTBLS52	ultra high performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0000795
MTBLS52	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS52	untargeted metabolites	
MTBLS53	tracer-based metabolomics	
MTBLS53	renal carcinoma	http://purl.obolibrary.org/obo/DOID_4451
MTBLS53	Cancer Immunology	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18670
MTBLS53	monocyte	http://purl.obolibrary.org/obo/CL_0000576
MTBLS53	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS54	intervention design	http://purl.bioontology.org/ontology/OBI/OBI_0000115
MTBLS54	stimulus or stress design	http://purl.bioontology.org/ontology/OBI/OBI_0001396
MTBLS54	untargeted metabolites	
MTBLS54	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS54	response to salt stress	http://purl.obolibrary.org/obo/GO_0009651
MTBLS55	untargeted metabolites	
MTBLS55	Food Quality	http://purl.bioontology.org/ontology/MESH/D063427
MTBLS55	Sangiovese	
MTBLS55	Food Storage	http://purl.bioontology.org/ontology/MESH/D061353
MTBLS55	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS56	untargeted metabolites	
MTBLS56	whole plant development stage	http://purl.obolibrary.org/obo/PO_0007033
MTBLS56	portion of plant tissue	http://purl.obolibrary.org/obo/PO_0009007
MTBLS56	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS56	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS57	untargeted metabolites	
MTBLS57	Transcriptomics	http://www.mygrid.org.uk/ontology/JERMOntology#Transcriptomics
MTBLS57	Stress tolerance	http://purl.bioontology.org/ontology/SNOMEDCT/39146006
MTBLS57	flavonol	http://purl.obolibrary.org/obo/CHEBI_5078
MTBLS57	anthocyanin	http://purl.obolibrary.org/obo/CHEBI_38697
MTBLS57	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS58	untargeted metabolites	
MTBLS58	matrix-assisted laser desorption-ionisation imaging mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000054
MTBLS58	MetaSpace	
MTBLS58	infertility	http://www.ebi.ac.uk/efo/EFO_0000545
MTBLS59	Benchmarking dataset	http://ontology.neuinfo.org/NIF/DigitalEntities/NIF-Investigation.owl#nlx_inv_20090406
MTBLS59	Targeted metabolites	
MTBLS59	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS59	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS59	spiking	http://purl.obolibrary.org/obo/CHMO_0002852
MTBLS61	Pseudoxanthoma elasticum	http://www.orpha.net/ORDO/Orphanet_758
MTBLS61	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS61	Multidrug Resistance-Associated Protein 6	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116948
MTBLS61	ABCC6 Gene	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116946
MTBLS61	Untargeted metabolites	
MTBLS67	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS67	cellular response to nitrogen starvation	http://purl.obolibrary.org/obo/GO_0006995
MTBLS67	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS67	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS67	untargeted metabolites	
MTBLS69	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS69	Phenolics	http://purl.bioontology.org/ontology/RCD/x009P
MTBLS69	Untargeted metabolites	
MTBLS69	colorectal cancer	http://www.ebi.ac.uk/efo/EFO_0005842
MTBLS69	stem cell	http://purl.obolibrary.org/obo/CL_0000034
MTBLS69	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS71	Untargeted metabolites	
MTBLS71	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS71	urine	http://purl.obolibrary.org/obo/BTO_0001419
MTBLS71	Statistics	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17167
MTBLS71	urease pre-treatment	
MTBLS72	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS72	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249
MTBLS72	Biomarker	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16342
MTBLS72	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS72	Biocrates	
MTBLS72	Targeted metabolites	
MTBLS72	Untargeted metabolites	
MTBLS72	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS72	flow injection analysis	http://purl.obolibrary.org/obo/MS_1000058
MTBLS72	Cognitive Status, Mood and Pain:-:Pt:^Patient:-	http://purl.bioontology.org/ontology/LNC/52487-6
MTBLS73	Plant Metabolomics	
MTBLS73	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS73	Untargeted metabolites	
MTBLS73	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS73	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS74	replicate design	http://www.ebi.ac.uk/efo/EFO_0001776
MTBLS74	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS74	time-of-flight mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000580
MTBLS75	species diversity	http://cerrado.linkeddata.es/ecology/ccon#SpeciesDiversity
MTBLS75	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS75	confocal microscopy	http://purl.obolibrary.org/obo/CHMO_0000103
MTBLS75	real-time PCR	http://www.bioassayontology.org/bao#BAO_0002084
MTBLS75	multi-species biofilm formation	http://purl.org/obo/owl/GO#GO_0044399
MTBLS75	Phototrophic Processes	http://purl.bioontology.org/ontology/MSH/D052817
MTBLS75	microbial mat	http://purl.obolibrary.org/obo/ENVO_01000008
MTBLS75	community dynamics	http://cerrado.linkeddata.es/ecology/ccon#ComunityDynamics
MTBLS75	Untargeted metabolites	
MTBLS75	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
MTBLS76	open lipid profiling	
MTBLS76	Epidemiologic Studies	http://purl.bioontology.org/ontology/MESH/D016021
MTBLS76	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS76	Direct Infusion Mass Spectrometry	
MTBLS76	untargeted metabolites	
MTBLS77	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS77	Callipyge mutation	
MTBLS77	nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000591
MTBLS77	hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002460
MTBLS77	untargeted metabolites	
MTBLS77	Multivariate Analysis	http://purl.bioontology.org/ontology/MESH/D015999
MTBLS77	two-dimensional 1H nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0002443
MTBLS79	Direct infusion mass spectrometry	
MTBLS79	Assay data processing method	
MTBLS79	Quality Control	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311
MTBLS79	Signal processing	
MTBLS79	Batch correction	
MTBLS79	Relative standard deviation	
MTBLS79	Reproducibility	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15318
MTBLS79	Data processing workflow	
MTBLS81	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS81	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS81	ATGL-KO mouse	
MTBLS81	Lipid Droplets	http://purl.bioontology.org/ontology/MESH/D066292
MTBLS81	untargeted mwetabolites	
MTBLS81	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS81	fasting	http://www.ebi.ac.uk/efo/EFO_0002756
MTBLS81	Steatosis	
MTBLS83	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS83	targeted metabolomics	
MTBLS85	isoprenoid	http://purl.obolibrary.org/obo/CHEBI_24913
MTBLS85	Multivariate Curve Resolution	
MTBLS85	diode array detector	http://purl.obolibrary.org/obo/CHMO_0002503
MTBLS85	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS85	untargeted metabolites	
MTBLS86	untargeted metabolites	
MTBLS86	carotenoid	http://purl.obolibrary.org/obo/CHEBI_23044
MTBLS86	diode array detector	http://purl.obolibrary.org/obo/CHMO_0002503
MTBLS86	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS86	Multivariate Curve Resolution	
MTBLS87	blood metabolome	
MTBLS87	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS87	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS87	untargeted metabolites	
MTBLS88	blood metabolome	
MTBLS88	tandem mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000575
MTBLS88	high-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000796
MTBLS88	untargeted metabolites	
MTBLS89	high-performance liquid chromatography	http://purl.obolibrary.org/obo/CHMO_0001009
MTBLS89	untargeted metabolomics	
MTBLS89	Human challenge study	
MTBLS90	Cohort Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15208
MTBLS90	Population Based Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53307
MTBLS90	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS90	untargeted metabolites	
MTBLS91	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752
MTBLS91	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS91	Direct Infusion Mass Spectrometry	
MTBLS91	Multivariate Analysis	http://purl.bioontology.org/ontology/MESH/D015999
MTBLS91	untargeted metabolites	
MTBLS92	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS92	Lipidomics	http://scai.fraunhofer.de/CSEO#lipidomics
MTBLS92	breast cancer	http://purl.obolibrary.org/obo/DOID_1612
MTBLS92	Chemotherapy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15632
MTBLS92	untargeted metabolites	
MTBLS93	Cohort Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15208
MTBLS93	Population Based Study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53307
MTBLS93	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS93	Twin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73427
MTBLS93	untargeted metabolites	
MTBLS94	untargeted metabolites	
MTBLS94	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
MTBLS94	ligand-binding protein	
MTBLS94	Protein-Protein Interaction	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18469
MTBLS94	protein-small molecule interaction	
MTBLS94	Proteomics	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20085
