terms
2'-deoxyadenosine
marchantia polymorpha s. l.
marseniopsis mollis
matricaria chamomilla
matrix
mccoys media
mcf-10a cell
mcf-7 cell
mda-mb-231 cell
medicago sativa
medium
melilotus officinalis
mentha x piperita
mesocarp and exocarp
metabolite
meyerozyma guilliermondii
mice
microbial mat
microbiota
micrococcus luteus
micromonas pusilla
milk
minced meat
mix
mixture
momordica charantia
montipora
montipora aequituberculata
mouse
mouse kidney
mus
mus musculus xenograft
mustela putorius
mycobacterium bovis
mycoplasma bovis
mycoplasma gallisepticum
navicula pelliculosa
negative media
nepenthes ampullaria
nepenthes rafflesiana
nepenthes x hookeriana
nicotiana attenuata
nicotiana tabacum
nih-3t3 cell
not applicable
not applicablehomo sapiens
nuptial gift
odor
olea europaea
olive oil
oplopanax elatus
origanum vulgare
ovarian serous adenocarcinoma cell line
panax ginseng
paraceradocus miersii
parachlorella
pbs buffer
petroselinum crispum
phaeodactylum tricornutum 1
phaeodactylum tricornutum 11
phaeodactylum tricornutum 2
phleum pratense
phoenix dactylifera
phosphate buffered saline
photinus pyralis
phyllanthus niruri
pichia kudriavzevii
pimpinella anisum
pimpinella saxifraga
pinus sylvestris
plagiomnium undulatum
plantago lanceolata
plantago major
plasmaplasma
plasmodium coatneyi
plasmodium cynomolgi
plasmodium knowlesi
plasmodium vivax
platycodon grandiflorus
pluripotent stem cell-derived cardiomyocyte
poa pratensis
pocillopora acuta
pocillopora damicornis
pocillopora meandrina
polemonium caeruleum
polytrichum strictum
pooled quality control
populus tremula x populus alba
populus tremula x populus tremuloides
porites
porites compressa
porites lobata
porites rus
potentilla erecta
pre-b-lymphocyte
pristionchus pacificus
prochlorococcus
prothorax plus head
prunus padus
pseudo-nitzschia arenysensis cm63
pseudo-nitzschia multistriata pmf3.7
pseudomonas putida
pseudomonas syringae
pseudostellaria heterophylla
pure substance
qc
ranunculus acris
rattus
rattus andamanensis
raw-264.7 cell
recombinant protein
reference compound
renal epithelial cell
renal proximal tubule
renal tubule
rhamnus cathartica
rhizoctonia solani
rhodiola rosea
rhopalosiphum padi
rhytidiadelphus squarrosus
rosa majalis
roseiflexus
rosette
rubus idaeus
ruegeria pomeroyi
sake
salmonella enterica
salvia officinalis
sambucus nigra
schizosaccharomyces pombe 972h-
sea water
seed
semen
seminal plasma
seminavis robusta 85a
seminavis robusta 85a nosex
seminavis robusta 85a sex
seminavis robusta 85b
seminavis robusta 85b nosex
seminavis robusta 85b sex
senna alexandrina
seriatopora hystrix
serum
sh-sy5y cell
shoot system
silybum marianum
simulated data
simulated squares
simulation experiment
sinorhizobium meliloti
sk-n-as cell
sk-n-be(2) cell
skeletonema marinoi
skin fibroblast cell line
soil biocrust
solanum habrochaites
solanum lycopersicum x solanum pennellii
solvent
soybean
spent medium
spermatophore
spheciospongia vesparium
spike
spirodela polyrhizawhole plant
stalk
standard
standard mixture
staphylococcus aureussorbent blanknutrient brothpseudomonas aeruginosaklebsiella pneumoniae
stationary phase culture
steam
stigma
streptomyces viridochromogenes
study reference pool
suf_fe1.1
sulfolobus acidocaldarius
suricata suricatta
sus scrofa domesticus
symbiodinium sp. ex acropora aspera
synechococcus elongatus
synechococcus sp.
synechocystis sp. pcc 6803
synovia
synthetic
tanacetum vulgare
taraxacum officinale
thalassiosira pseudonana
thp-1 cell
thymus serpyllum
tilia cordata
tissue
trotter horse
trypanosoma brucei
tussilago farfara
twig
u2-os cell
unclassified cyanobacteria
urinary metabolite measurement
urine
urtica dioica
vaccinium myrtillus
valeriana officinalis
vegetative shoot system
vero cells (kidney epithelial)
viburnum opulus
viola tricolor
vitis
wax ester
wheat ears
whole
whole alga
whole body
wine
wolffia
yoldia eightsi
