studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number	Definition
		treatment	http://purl.obolibrary.org/obo/NCRO_0000123	
		treatment	http://purl.obolibrary.org/obo/OGMS_0000090	A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder
		treatment	http://purl.obolibrary.org/obo/AGRO_00000322	A process during which some material is applied to a subject
		treatment	http://purl.obolibrary.org/obo/MCO_0000866	A process in which the act is intended to modify or alter some other material entity,
		treatment	http://www.ebi.ac.uk/efo/EFO_0000727	A process in which the act is intended to modify or alter some other material entity,
MTBLS24	Acute Kidney Injury	injury	http://www.ebi.ac.uk/efo/EFO_0000546	
		Acute Kidney Injury	http://scdontology.h3abionet.org/ontology/SCDO_0000017	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia). Acute renal failure is usually classified into prerenal (response to severe volume depletion), intrinsic (response to acute cytotoxic, ischemic, or inflammatory insults) and postrenal (response to obstruction of the passage of urine) etiologies.
		Acute Kidney Injury	http://purl.obolibrary.org/obo/OMIT_0027135	
		Acute kidney injury	http://purl.obolibrary.org/obo/HP_0001919	Sudden loss of renal function, as manifested by decreased urine production, and a rise in serum creatinine or blood urea nitrogen concentration (azotemia).
MTBLS26	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993	
		Nutritional Status	http://purl.obolibrary.org/obo/OMIT_0010771	
		Nutritional Status	http://purl.obolibrary.org/obo/NCIT_C17993	The state of the body as influenced by the diet and the ability of the diet to maintain an overall healthy condition.
MTBLS27	Sex	sex	http://www.ebi.ac.uk/efo/EFO_0000695	
		sex	http://purl.obolibrary.org/obo/FBcv_0000332	Qualifier that relates the expression of a phenotype to the sex of the individual.
		Sex	http://purl.obolibrary.org/obo/OMIT_0013619	
		Sex	http://purl.obolibrary.org/obo/NCIT_C28421	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
		SEX	http://www.cropontology.org/rdf/CO_357:0000078	
		sex	http://purl.obolibrary.org/obo/PATO_0000047	The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.
MTBLS28	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS28	Race	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049	
		race	http://semanticscience.org/resource/SIO_001015	race is a characteristic of an individual by heritable phenotypic characteristics, geographic ancestry, physical appearance, ethnicity, and social status.
		Race	http://scdontology.h3abionet.org/ontology/SCDO_0000962	An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.
		Race	http://purl.obolibrary.org/obo/NCIT_C17049	An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution.
MTBLS28	Smoking	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	
		smoking	http://purl.obolibrary.org/obo/PORO_0000100	Massive release of gametes.
		Smoking	http://scdontology.h3abionet.org/ontology/SCDO_0001079	Inhaling and exhaling the smoke of burning tobacco (Cigar, Cigarette, Hookah, Pipe, Smoking, Waterpipe).
		Smoking	http://purl.obolibrary.org/obo/OMIT_0013795	
		Smoking	http://purl.obolibrary.org/obo/NCIT_C154329	The act of puffing and/or inhaling the combustion products of a substance so as to be tasted and absorbed into the bloodstream.
MTBLS29	Cell line	Cell Lineage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17895	
		cell line	http://purl.obolibrary.org/obo/CLO_0000031	A cultured cell population that represents a genetically stable and homogenous population of cultured cells that shares a common propagation history (i.e. has been successively passaged together in culture).
		cell line	http://semanticscience.org/resource/SIO_010054	A cell line is a collection of genetically identifical cells.
		Cell Line	http://purl.obolibrary.org/obo/OMIT_0003789	
		cell line	http://www.ebi.ac.uk/efo/EFO_0000322	A cell line is a population of cells cultured in vitro that are descended through one or more generations (and possible sub-cultures) from a single primary culture which was originally derived from part of an organism.
		Cell Line	http://purl.obolibrary.org/obo/NCIT_C16403	A permanently established cell culture that will proliferate indefinitely given appropriate fresh medium and space.
MTBLS31	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS32	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS33	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS34	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	
		time	http://purl.obolibrary.org/obo/PATO_0000165	A quality in which events occur in sequence.
		time	http://purl.obolibrary.org/obo/ExO_0000070	
		Time	http://www.cropontology.org/rdf/Time	
		time	http://purl.org/obo/owl/PATO#PATO_0000165	A quality in which events occur in sequence.
		Time	http://purl.obolibrary.org/obo/OMIT_0014839	
		time	http://www.ebi.ac.uk/efo/EFO_0000721	
		Time	http://purl.obolibrary.org/obo/WBbt_0005765	concerns with temporal aspects of cells and anatomical parts, e.g. development
		Time	http://purl.obolibrary.org/obo/NCIT_C25207	The continuum of experience in which events pass from the future through the present to the past.
		time	http://biomodels.net/SBO/SBO_0000345	"Fundmental quantity of the measuring system used to sequence events, to compare the durations of events and the intervals between them, and to quantify the motions or the transformation of entities. The SI base unit for time is the SI second. The second is the duration of
9,192,631,770 periods of the radiation corresponding to the transition
between the two hyperfine levels of the ground state of the caesium 133
atom."
MTBLS35	replication	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replication	http://purl.obolibrary.org/obo/IDO_0000608	A production process in which a participant creates a copy of itself.
		replication	http://purl.obolibrary.org/obo/AGRO_00000321	Replication is the repetition of the set of all the treatment combinations used in an experiment.
MTBLS36	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS39	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS46	gender	gender		
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS47	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	
		Batch	http://purl.obolibrary.org/obo/NCIT_C67073	A quantity of people or things treated or regarded as a group, especially when subdivided from a larger group.
MTBLS49	Medium	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504	
		medium	http://purl.obolibrary.org/obo/sep_00037	A medium is a substance role which an intervening substance through which something else is transmitted or carried on.
		medium	http://purl.bioontology.org/ontology/npo#NPO_1853	
		Medium	http://purl.obolibrary.org/obo/NCIT_C48164	A substance holding another substance in solution or suspension.
		Medium	http://purl.obolibrary.org/obo/NCIT_C49507	Mid-way between small and large in number, quantity, magnitude or extent.
MTBLS49	Cell density	Cell Density	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120538	
		Cell Density	http://purl.obolibrary.org/obo/NCIT_C120538	A measurement of the number of cells per unit volume or area.
MTBLS52	variety	Variety	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709	
		Variety	http://purl.obolibrary.org/obo/NCIT_C62709	In botanical nomenclature, a rank below subspecies but above forma.
MTBLS56	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	
		tissue	http://purl.obolibrary.org/obo/UBERON_0000479	Anatomical structure, that consists of similar cells and intercellular matrix, aggregated according to genetically determined spatial relationships.
		tissue	http://purl.obolibrary.org/obo/ExO_0000045	
		tissue	http://purl.obolibrary.org/obo/MA_0003002	
		tissue	http://purl.obolibrary.org/obo/FBcv_0003046	A biosample derived from a multicellular structure comprising similar cells with some specific function, typically isolated by dissection.
		tissue	http://semanticscience.org/resource/SIO_010002	A tissue is a mereologically maximal collection of cells that together perform some function.
		tissue	http://purl.obolibrary.org/obo/XAO_0003040	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organization is at least partly a repetition of their short-range organization.
		Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
		tissue	http://purl.obolibrary.org/obo/CARO_0000043	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
		Tissue	http://purl.obolibrary.org/obo/WBbt_0005729	Association of cells with a common embryological origin or pathway and similar structure and function. Usually, cells of a tissue are contiguous at cell membranes and may be of one or more types. Tissues aggregate to form organs.
		Tissue	http://purl.obolibrary.org/obo/NCIT_C12801	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.
MTBLS57	stress	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276	
		stress	http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000131	
		Stress	http://purl.obolibrary.org/obo/NCIT_C35041	The negative mental, emotional, and physical reactions that occur when environmental stressors are perceived as exceeding the individual's adaptive capacities.
		Stress	http://www.cropontology.org/rdf/CO_357:Stress	
MTBLS58	Condition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		condition	http://purl.obolibrary.org/obo/IDOMAL_0001241	A realizable dependent continuant that inheres in substances.
		Condition	http://purl.obolibrary.org/obo/NCIT_C25457	A state of being, such as a state of health.
MTBLS59	Spiking	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	
		spiking	http://purl.obolibrary.org/obo/CHMO_0002852	A material processing step that involves taking a test material with an adequately low background level of the intended analyte and mixing it with a known amount of analyte.
MTBLS61	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	
		Gender	http://scdontology.h3abionet.org/ontology/SCDO_0001341	The respondent's self-conception of being male or female.
		Gender	http://purl.obolibrary.org/obo/GAZ_00325165	A river.
		Gender	http://purl.obolibrary.org/obo/NCIT_C17357	The assemblage of properties that distinguish people on the basis of the societal roles expected for the two sexes.
MTBLS62	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS62	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS62	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	
		type	http://purl.obolibrary.org/obo/aeo#type	
		type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	
		type	http://purl.org/dc/elements/1.1/type	
		Type	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25284	Something distinguishable as an identifiable class based on common qualities.
		Type	http://purl.obolibrary.org/obo/NCIT_C25284	Something distinguishable as an identifiable class based on common qualities.
		TYPE	http://www.cropontology.org/rdf/CO_333:1000059	
MTBLS63	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS63	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS63	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	
		type	http://purl.obolibrary.org/obo/aeo#type	
		type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	
		type	http://purl.org/dc/elements/1.1/type	
		Type	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25284	Something distinguishable as an identifiable class based on common qualities.
		Type	http://purl.obolibrary.org/obo/NCIT_C25284	Something distinguishable as an identifiable class based on common qualities.
		TYPE	http://www.cropontology.org/rdf/CO_333:1000059	
MTBLS64	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS64	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS64	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	
		type	http://purl.obolibrary.org/obo/aeo#type	
		type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	
		type	http://purl.org/dc/elements/1.1/type	
		Type	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25284	Something distinguishable as an identifiable class based on common qualities.
		Type	http://purl.obolibrary.org/obo/NCIT_C25284	Something distinguishable as an identifiable class based on common qualities.
		TYPE	http://www.cropontology.org/rdf/CO_333:1000059	
MTBLS65	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
		genotype	http://semanticscience.org/resource/SIO_001079	A genotype is a functional specification of a biological entity in terms of its genetic composition (or lack thereof).
		genotype	http://purl.obolibrary.org/obo/SO_0001027	
		Genotype	http://purl.obolibrary.org/obo/OMIT_0007033	
		genotype	http://www.ebi.ac.uk/efo/EFO_0000513	The total sum of the genetic information of an organism that is known and relevant to the experiment being performed, including chromosomal, plasmid, viral or other genetic material which has been introduced into the organism either prior to or during the experiment.
		Genotype	http://purl.obolibrary.org/obo/NCIT_C16631	The genetic constitution of an organism or cell, as distinct from its expressed features or phenotype.
		genotype	http://purl.obolibrary.org/obo/GENO_0000536	A specification of the genetic state of an organism, whether complete (defined over the whole genome) or incomplete (defined over a subset of the genome). Genotypes typically describe this genetic state as a diff between some variant component and a canonical reference.
		genotype	http://purl.obolibrary.org/obo/MCO_0000383	
		Genotype	http://ensembl.org/glossary/ENSGLOSSARY_0000117	The specific alleles that are present in an individual's genome. In diploid organisms two alleles make up the genotype (except for the sex chromosomes).
MTBLS65	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	
		replicate	http://www.ebi.ac.uk/efo/EFO_0000683	
		Replicate	http://purl.obolibrary.org/obo/NCIT_C28038	
MTBLS65	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	
		type	http://purl.obolibrary.org/obo/aeo#type	
		type	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	
		type	http://purl.org/dc/elements/1.1/type	
		Type	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25284	Something distinguishable as an identifiable class based on common qualities.
		Type	http://purl.obolibrary.org/obo/NCIT_C25284	Something distinguishable as an identifiable class based on common qualities.
		TYPE	http://www.cropontology.org/rdf/CO_333:1000059	
MTBLS66	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	
		genotype	http://purl.obolibrary.org/obo/OGI_0000082	collective of allele which comes from different homologus  chromosomes respecitvely.
