studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number
MTBLS286	rice seed developmental stage	days after flowering	
MTBLS287	rice seed developmental stage	days after flowering	
MTBLS288	rice seed developmental stage	days after flowering	
MTBLS298	low dose insulin infusion	low dose insulin infusion	
MTBLS315	diff_basophils	basophils differential	
MTBLS315	diff_eosinophils	eosinophils differential	
MTBLS315	diff_monocytes	monocytes differential	
MTBLS315	diff_lymphocytes	lymphocytes differential	
MTBLS315	diff_neutrophils	neutrophils differential	
MTBLS315	platelet count	number density	
MTBLS315	total red blood cell count	number density	
MTBLS315	total white blood cell count	number density	
MTBLS315	P. falciparum parasite density	number density	
MTBLS342	Spectral Normalization	Extract Weight	
MTBLS370	Extract	Extraction	
MTBLS399	Plant	Plant	
MTBLS399	Location	geographic location	
MTBLS404	Sampling	Sampling	
MTBLS404	Injection order	Injection order	
MTBLS404	Subset	Subset	
MTBLS408	Run order	Run order	
MTBLS432	inflammation	colitis score	
MTBLS437	Cultivation technique	Cultivation technique	
MTBLS437	Postharvest handling	Postharvest handling	
MTBLS493	Run order	Run order	
MTBLS520	Exposition		
MTBLS532	Run order	Run order	
MTBLS567	Light	photon flux density	
MTBLS579	Analytical run order	Run order	
MTBLS579	Gall stones	Number of gallstones	
MTBLS591	COPD GOLD Stage	FEV1 Stage	
MTBLS664	Freeze-Thaw		
MTBLS687	Fertilized / unfertilized		
MTBLS687	Plant	Functional group	
MTBLS687	Plot type	Land use	
MTBLS687	Plot type_Explo_fert		
MTBLS687	Species explo		
MTBLS691	Timepoint	timepoint	
MTBLS691	Well Position	position	
MTBLS691	Arthemeter Treatment	treatment	
MTBLS699	LED PPF	photosynthetic photon flux density	
MTBLS771	Injection order	Injection order	
MTBLS772	Injection order	Injection order	
MTBLS862	Subsampling Method	Subsampling Method	
MTBLS869	Tumour grade	Tumour grade	
