studyID	Study Factor Name	Study Factor Type	Study Factor Type Term Accession Number
MTBLS61	Ectonucleotidase inhibition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS62	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS62	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS62	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448
MTBLS62	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181
MTBLS62	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS62	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402
MTBLS63	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS63	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS63	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448
MTBLS63	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181
MTBLS63	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS63	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402
MTBLS64	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS64	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS64	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448
MTBLS64	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181
MTBLS64	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS64	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402
MTBLS65	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS65	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS65	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448
MTBLS65	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181
MTBLS65	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS65	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402
MTBLS66	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS66	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS66	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448
MTBLS66	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181
MTBLS66	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS66	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402
MTBLS67	Time in nitrogen starvation	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS68	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973
MTBLS68	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS68	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448
MTBLS68	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181
MTBLS68	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS68	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402
MTBLS71	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS72	Cognitive Status	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS73	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136
MTBLS73	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS73	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS73	Acquisition date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS74	Extraction replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS74	Injection replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS75	Primary Phototrophic cyanobacteria	organism	http://purl.obolibrary.org/obo/OBI_0100026
MTBLS75	Harvesting Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS75	Experimental Replication	replicate	http://www.ebi.ac.uk/efo/EFO_0000683
MTBLS76	Sample Type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS76	Batch Number	Batch Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104504
MTBLS76	Plate Position	position	http://purl.obolibrary.org/obo/PATO_0000140
MTBLS77	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS79	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS81	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993
MTBLS81	Total Protein in LD	Total Protein in LD	
MTBLS81	Total acylglycerol in LD	Total acylglycerol in LD	
MTBLS81	Age at sacrifice	age	http://www.ebi.ac.uk/efo/EFO_0000246
MTBLS83	eg. gender		
MTBLS85	Addition of TEA	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147
MTBLS85	Storage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS86	EthAc percentage	volume percentage	http://purl.obolibrary.org/obo/UO_0000165
MTBLS86	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS89	Client Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364
MTBLS89	Run day	Day	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301
MTBLS89	Column number	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364
MTBLS89	OSMO		
MTBLS89	Subject Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364
MTBLS89	Challenge	Challenge	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78166
MTBLS89	Challenge Day	day	http://purl.obolibrary.org/obo/UO_0000033
MTBLS89	Challenge Time of Day		
MTBLS89	Time of Day	time	http://www.ebi.ac.uk/efo/EFO_0000721
MTBLS89	Time Point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS90	injection number	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS90	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS90	Rmsd	Root-mean-square deviation	http://edamontology.org/data_1497
MTBLS90	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS90	Season of sample collection	Season	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94729
MTBLS91	treatment days	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS91	CO2 concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS92	Chemotherapy response	"Yes, No, or Unknown Response"	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38148
MTBLS92	Series	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS92	Timepoint	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS92	T-stage	tumor stage	http://www.ebi.ac.uk/efo/EFO_0004925
MTBLS92	N-stage	N stage	http://www.ebi.ac.uk/efo/EFO_0004927
MTBLS92	Her2	HER2 status	http://www.ebi.ac.uk/efo/EFO_0005514
MTBLS92	Grade	Tumor Regression Grade	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106304
MTBLS92	ER	estrogen receptor status	http://www.ebi.ac.uk/efo/EFO_0005512
MTBLS92	Menopause	Menopausal Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16151
MTBLS92	BMI	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340
MTBLS93	Injection number	technical replicate	http://purl.obolibrary.org/obo/MS_1001808
MTBLS93	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357
MTBLS93	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150
MTBLS93	RMSD	Standard Deviation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53322
MTBLS93	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164
MTBLS93	Cluster effect	Cluster effect	
MTBLS94	Arabidopsis	Plant cell	http://purl.obolibrary.org/obo/PO_0009002
MTBLS94	whole plant development stage	Whole plant development stage	http://purl.obolibrary.org/obo/po#wholePlantDevelopmentStage
MTBLS94	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS96	Infection	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147
MTBLS96	Sample Collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
MTBLS96	Experimental Group	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS98	infection stage	Phase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25257
MTBLS99	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS99	Apple number	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091
MTBLS99	Replicate	Replicate	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28038
MTBLS99	Batch	Batch Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104504
MTBLS99	Injection number	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090
MTBLS100	control sample group	Control	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61299
MTBLS102	host cell line	cell line	http://www.ebi.ac.uk/efo/EFO_0000322
MTBLS103	HIAE	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS104	Neuropeptide Y and Y2 receptorblocker treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
MTBLS105	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067
MTBLS106	Cell line	cell line	http://purl.obolibrary.org/obo/CLO_0000031
MTBLS107	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS107	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS108	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS108	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS109	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS109	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS110	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS110	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS111	Phytohormones	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS111	Carotenoids	concentration	http://purl.obolibrary.org/obo/CHMO_0002820
MTBLS112	Treatment	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359
MTBLS112	Time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724
