studyID	organism
MTBLS106	Homo sapiens
MTBLS107	Solanum lycopersicum
MTBLS108	Solanum lycopersicum
MTBLS109	Solanum lycopersicum
MTBLS110	Solanum lycopersicum
MTBLS111	Solanum lycopersicum
MTBLS112	Triticum aestivum
MTBLS113	Euglena gracilis
MTBLS114	Rattus norvegicus
MTBLS115	Saccharomyces cerevisiae
MTBLS116	Porites lobata
MTBLS116	Porites compressa
MTBLS116	Seriatopora hystrix
MTBLS116	Pocillopora damicornis
MTBLS116	Montipora aequituberculata
MTBLS117	Glycine max
MTBLS117	Glycine max/NCBITAXON:Rhizoctonia solani
MTBLS118	Glycine max
MTBLS118	Glycine max/NCBITAXON:Rhizoctonia solani
MTBLS119	Populus tremula x Populus alba
MTBLS120	Glycine max
MTBLS123	Sus scrofa domesticus
MTBLS124	Homo sapiens
MTBLS125	Mus musculus
MTBLS126	Mus musculus
MTBLS127	Homo sapiens
MTBLS127	Mus musculus
MTBLS128	Corynebacterium glutamicum
MTBLS129	Arabidopsis thaliana
MTBLS131	Solanum lycopersicum
MTBLS132	Solanum lycopersicum
MTBLS135	Mus musculus
MTBLS136	Homo sapiens
MTBLS137	Vitis vinifera
MTBLS140	Homo sapiens
MTBLS143	Mus musculus
MTBLS144	Thalassiosira pseudonana
MTBLS145	Mus musculus
MTBLS146	Homo sapiens
MTBLS147	Homo sapiens
MTBLS148	Homo sapiens
MTBLS149	Rattus norvegicus
MTBLS150	Homo sapiens
MTBLS151	Oryza sativa
MTBLS152	Homo sapiens
MTBLS154	Thalassiosira pseudonana
MTBLS155	Synechococcus elongatus
MTBLS156	Homo sapiens
MTBLS157	Ruegeria pomeroyi
MTBLS158	Mus musculus
MTBLS159	Mus Musculus
MTBLS160	Arabidopsis thaliana
MTBLS161	Homo sapiens
MTBLS162	Homo sapiens
MTBLS163	Homo sapiens
MTBLS164	Homo sapiens
MTBLS165	Ailuropoda melanoleuca
MTBLS166	Mus musculus
MTBLS168	Saccharomyces cerevisiae
MTBLS169	Arabidopsis thaliana
MTBLS170	Ilex paraguariensis
MTBLS171	Rattus norvegicus
MTBLS172	Homo sapiens
MTBLS173	Mus musculus
MTBLS174	Homo sapiens
MTBLS175	Centella asiatica
MTBLS176	Bacillus subtilis and Streptomyces coelicolor
MTBLS176	Homo sapiens
MTBLS176	Mus musculus
MTBLS177	Homo sapiens
MTBLS178	Homo sapiens
MTBLS179	Homo spaiens
MTBLS182	Homo sapiens
MTBLS183	Homo sapiens
MTBLS184	Homo sapiens
MTBLS185	Bos taurus
MTBLS187	Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus
MTBLS188	Arabidopsis thaliana
MTBLS189	Astragalus mongholicus
MTBLS189	Mus musculus
MTBLS191	Homo sapiens
MTBLS193	Chlorella
MTBLS193	matrix
MTBLS193	Parachlorella
MTBLS194	Mus musculus
MTBLS196	Mustela putorius
MTBLS197	Mus musculus
MTBLS198	Homo sapiens
MTBLS200	Homo sapiens
MTBLS203	Nicotiana attenuata
MTBLS208	Chlamydomonas reinhardtii
MTBLS209	Vitis
MTBLS210	Aedes albopictus
MTBLS212	Vitis vinifera
MTBLS213	Homo sapiens
MTBLS214	Homo sapiens
MTBLS216	Mus musculus
MTBLS217	Mus musculus
MTBLS218	Homo sapiens
MTBLS219	alkane reference
MTBLS219	Mus musculus
MTBLS225	Mus musculus
MTBLS226	Homo sapiens
MTBLS227	Homo sapiens
MTBLS228	Bacillus methanolicus
MTBLS229	Escherichia coli
MTBLS230	Homo sapiens
MTBLS230	McCoys Media
MTBLS230	conditioned DMEM Media
MTBLS230	Negative Media
MTBLS230	Buffer
MTBLS233	Homo sapiens
MTBLS234	Homo sapiens
MTBLS235	simulated data
MTBLS237	Homo sapiens
MTBLS240	Mus musculus
MTBLS241	Homo sapiens
MTBLS242	Homo sapiens
MTBLS243	Mus musculus
MTBLS244	Chemical
MTBLS244	Mus musculus
MTBLS247	Homo sapiens
MTBLS249	Homo sapiens
MTBLS253	Homo sapiens
MTBLS256	Mus musculus
MTBLS259	solvent
MTBLS259	Daphnia pulex
MTBLS260	Daphnia magna
MTBLS261	Mus musculus
MTBLS263	Homo sapiens
MTBLS264	Homo sapiens
MTBLS265	Homo sapiens
MTBLS266	Homo sapiens
MTBLS267	Homo sapiens
MTBLS269	Mus musculus
MTBLS270	Cichorium intybus
MTBLS272	Arabidopsis thaliana
MTBLS273	Homo sapiens
MTBLS274	Carica papaya
MTBLS275	Mus musculus
MTBLS276	Xenopus laevis
MTBLS276	Escherichia coli
MTBLS277	Homo sapiens
MTBLS278	Rattus norvegicus
MTBLS279	Homo sapiens
MTBLS280	Homo sapiens
MTBLS281	Spheciospongia vesparium
MTBLS281	Coral reef sea water
MTBLS281	Ircinia campana
MTBLS281	sea water
MTBLS281	Pooled quality control
MTBLS282	Homo sapiens/Mus musculus xenograft
MTBLS283	Mus musculus
MTBLS286	Oryza sativa
MTBLS287	Oryza sativa
MTBLS288	Oryza sativa
MTBLS289	Homo sapiens/Mus musculus xenograft
MTBLS290	Homo sapiens
MTBLS291	Sus scrofa
MTBLS291	Gallus gallus
MTBLS291	Caenorhabditis elegans
MTBLS292	Homo sapiens
MTBLS292	Mus musculus
MTBLS293	sea water
MTBLS295	Micromonas pusilla
MTBLS296	Saccharomyces cerevisiae
MTBLS297	Solanum habrochaites
MTBLS297	Solanum lycopersicum
MTBLS298	Homo sapiens
MTBLS303	Rattus norvegicus
MTBLS304	Mycobacterium tuberculosis
MTBLS306	Homo sapiens
MTBLS307	Homo sapiens
MTBLS309	Brassica napus
MTBLS311	Arabidopsis thaliana
MTBLS312	Brassica napus
MTBLS313	Rattus rattus
MTBLS313	Mus musculus
MTBLS315	Homo sapiens
MTBLS316	Schizosaccharomyces pombe
MTBLS317	Simulation experiment
MTBLS319	Pseudomonas putida
MTBLS320	Pseudomonas putida
MTBLS321	Homo sapiens
MTBLS322	Ovis aries
MTBLS323	Homo sapiens
MTBLS323	Blank
MTBLS326	Homo sapiens
MTBLS327	Mus musculus
MTBLS328	Homo sapiens
MTBLS328	Lactobacillus rhamnosus
MTBLS330	Spirodela polyrhiza
MTBLS330	Landoltia punctata
MTBLS330	Wolffia
MTBLS330	Solanum lycopersicum
MTBLS330	Lemna gibba
MTBLS330	Arabidopsis thaliana
MTBLS331	Crocus sativus
MTBLS332	Populus deltoides
MTBLS333	Rubus idaeus
MTBLS334	Mus musculus
MTBLS335	Nicotiana attenuata
MTBLS336	Yoldia eightsi
MTBLS336	Liothyrella uva
MTBLS336	Marseniopsis mollis
MTBLS336	Cucumaria georgiana
MTBLS336	Laternula elliptica
MTBLS336	Paraceradocus miersii
MTBLS337	Homo sapiens
MTBLS338	Arabidopsis thaliana
MTBLS340	Rattus norvegicus
MTBLS341	Arabidopsis thaliana
MTBLS342	Acropora
MTBLS342	Porites lobata
MTBLS342	Montipora
MTBLS342	Porites
MTBLS342	Porites rus
MTBLS342	Pocillopora meandrina
MTBLS342	Montipora aequituberculata
MTBLS342	Pocillopora acuta
MTBLS343	Lactuca sativa
MTBLS345	Food
MTBLS345	Mus musculus
MTBLS346	Vitis vinifera
MTBLS349	Oryctolagus cuniculus
MTBLS350	Panax ginseng
MTBLS352	Homo sapiens
MTBLS354	Homo sapiens
MTBLS355	Arabidopsis thaliana
MTBLS356	Homo sapiens
MTBLS358	Homo sapiens
MTBLS359	Salmonella enterica
MTBLS360	Trypanosoma brucei
MTBLS361	Rattus norvegicus
MTBLS362	Photinus pyralis
MTBLS363	Agave americana
MTBLS363	Arabidopsis thaliana
MTBLS364	Homo sapiens
MTBLS366	sea water
MTBLS367	Sus scrofa
MTBLS368	Homo sapiens
MTBLS368	Mus musculus
MTBLS370	Culture Media
MTBLS370	Staphylococcus aureus
MTBLS370	Staphylococcus aureus; NCBITAXON:Candida albicans
MTBLS370	Candida albicans
MTBLS370	Standard
MTBLS370	Internal Standard
MTBLS370	Bos taurus
MTBLS372	Fraxinus excelsior
MTBLS373	Escherichia coli
MTBLS374	Homo sapiens
MTBLS375	Arabidopsis thaliana
MTBLS376	Mus musculus
MTBLS378	Mus musculus
MTBLS379	Apis cerana
MTBLS380	Mus musculus
MTBLS382	Mus musculus
MTBLS383	Candida tropicalis
MTBLS383	Candida glabrata
MTBLS383	Candida albicans
MTBLS383	Candida inconspicua
MTBLS383	Candida parapsilosis
MTBLS383	Clavispora lusitaniae
MTBLS383	Pichia kudriavzevii
MTBLS383	Meyerozyma guilliermondii
MTBLS384	Sus scrofa
MTBLS385	Homo sapiens
MTBLS386	Homo sapiens
MTBLS387	Homo sapiens
MTBLS389	Arabidopsis thaliana
MTBLS390	Mus musculus
MTBLS392	Vitis vinifera
MTBLS393	Escherichia coli
MTBLS395	Homo sapiens
MTBLS396	Mus musculus
MTBLS397	Mus musculus
MTBLS399	Pseudostellaria heterophylla
MTBLS400	Mus musculus
MTBLS401	Homo sapiens
MTBLS402	Homo sapiens
MTBLS403	Camellia sinensis
MTBLS404	Homo sapiens
MTBLS405	Homo sapiens
MTBLS408	Homo sapiens
MTBLS409	Lysiphlebia japonica
MTBLS409	Blank
MTBLS409	Aphis gossypii
MTBLS410	Blank
MTBLS410	Aphis gossypii
MTBLS411	Bos taurus
MTBLS412	Homo sapiens
MTBLS413	Homo sapiens
MTBLS413	reference compound 
MTBLS414	Homo sapiens
MTBLS415	Homo sapiens
MTBLS417	Homo sapiens
MTBLS418	Mus musculus
MTBLS419	Homo sapiens
MTBLS420	Homo sapiens
MTBLS422	Mus musculus
MTBLS423	Homo sapiens
MTBLS424	Homo sapiens
MTBLS425	Homo sapiens
MTBLS426	Papio anubis
MTBLS427	Homo sapiens
MTBLS428	sea water
MTBLS429	Jacobaea
MTBLS430	Homo sapiens
MTBLS431	Pseudomonas aeruginosa
MTBLS432	Mus musculus
MTBLS433	Olea europaea
MTBLS434	Saccharomyces cerevisiae
MTBLS435	Macleaya cordata
MTBLS436	Bos taurus
MTBLS437	Oryza sativa
MTBLS441	Arabidopsis thaliana
MTBLS444	Homo sapiens
MTBLS445	Espeletia
MTBLS447	Solanum lycopersicum
MTBLS449	Homo sapiens
MTBLS450	Arabidopsis thaliana
MTBLS451	Oryza sativa
MTBLS452	Trypanosoma brucei
MTBLS453	Rattus norvegicus
MTBLS454	Escherichia coli
MTBLS455	Homo sapiens
MTBLS456	Bos taurus
MTBLS457	Litoria verreauxii
MTBLS459	Trypanosoma brucei
MTBLS460	Brassica oleracea
MTBLS461	sea water
MTBLS462	Mus musculus
MTBLS463	Pseudomonas fluorescens
MTBLS464	Escherichia coli
MTBLS465	Homo sapiens
MTBLS470	Homo sapiens
MTBLS471	Acromyrmex octospinosus
MTBLS472	Mus musculus
MTBLS473	Homo sapiens
MTBLS478	Populus tremula x Populus tremuloides
MTBLS479	Homo sapiens
MTBLS479	PBS buffer
MTBLS481	Medicago sativa
MTBLS482	Rattus norvegicus
MTBLS483	Rattus
MTBLS484	Nepenthes rafflesiana
MTBLS484	Nepenthes ampullaria
MTBLS484	Nepenthes x hookeriana
MTBLS487	Mus musculus
MTBLS488	Bos taurus
MTBLS492	soil biocrust
MTBLS493	Cricetulus griseus
MTBLS494	Platycodon grandiflorus
MTBLS495	Mus musculus
MTBLS496	Campylobacter jejuni
MTBLS497	Nutrient broth
MTBLS497	Staphylococcus aureus
MTBLS497	Klebsiella pneumoniae
MTBLS497	Pseudomonas aeruginosa
MTBLS497	Escherichia coli
MTBLS497	Artificial sputum medium
MTBLS516	Rattus rattus
MTBLS517	Homo sapiens
MTBLS517	Macaca mulatta;NCBITAXON:Plasmodium cynomolgi
MTBLS518	Homo sapiens
MTBLS518	Macaca mulatta;NCBITAXON:Plasmodium coatneyi
MTBLS519	Kalanchoe fedtschenkoi
MTBLS520	Rhytidiadelphus squarrosus
MTBLS520	Marchantia polymorpha
MTBLS520	Grimmia pulvinata
MTBLS520	Hypnum cupressiforme
MTBLS520	Calliergonella cuspidata
MTBLS520	blank value
MTBLS520	Fissidens taxifolius
MTBLS520	Plagiomnium undulatum
MTBLS520	Polytrichum strictum
MTBLS520	Brachythecium rutabulum
MTBLS522	Rattus norvegicus
MTBLS523	Heligmosomoides polygyrus
MTBLS524	Homo sapiens
MTBLS525	Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae
MTBLS526	Lemna paucicostata
MTBLS527	Mus musculus
MTBLS528	Arabidopsis thaliana
MTBLS529	Lolium perenne
MTBLS530	Mus musculus
MTBLS531	Glycine max
MTBLS532	Eisenia fetida
MTBLS535	Mycoplasma gallisepticum
MTBLS535	Mycoplasma bovis
MTBLS538	Symbiodinium sp. ex Acropora aspera
MTBLS538	Acropora aspera
MTBLS539	Mus musculus
MTBLS540	Homo sapiens
MTBLS541	Homo sapiens
MTBLS542	Homo sapiens
MTBLS542	Macaca mulatta;NCBITAXON:Plasmodium cynomolgi
MTBLS543	Equus caballus
MTBLS545	Mus musculus
MTBLS546	Mus musculus
MTBLS547	Mus musculus
MTBLS548	Mus musculus
MTBLS549	Homo sapiens
MTBLS552	Homo sapiens
MTBLS553	Arabidopsis thaliana
MTBLS553	Triticum aestivum
MTBLS553	Brassica napus
MTBLS553	Streptomyces viridochromogenes
MTBLS553	Brassica juncea
MTBLS553	Glycine max
MTBLS554	Bos taurus
MTBLS555	Arabidopsis thaliana
MTBLS558	Homo sapiens
MTBLS559	Nicotiana tabacum
MTBLS560	Gallus gallus
MTBLS561	Bos taurus
MTBLS562	Mus musculus
MTBLS564	Homo sapiens
MTBLS566	Rhodiola rosea
MTBLS567	Prochlorococcus
MTBLS570	Mus musculus
MTBLS571	Skeletonema marinoi
MTBLS572	Escherichia coli
MTBLS573	Gossypium hirsutum
MTBLS574	Inga alba
MTBLS574	Inga microcoma
MTBLS574	Inga laurina
MTBLS574	Inga obidensis
MTBLS574	Inga coruscans
MTBLS574	Inga pezizifera
MTBLS574	Inga auristellae
MTBLS574	Inga leiocalycina
MTBLS574	Inga alata
MTBLS574	Inga brachystachys
MTBLS574	Inga umbellifera
MTBLS574	Inga marginata
MTBLS574	Inga acreana
MTBLS574	Inga chartacea
MTBLS575	Zea mays
MTBLS576	Sinorhizobium meliloti
MTBLS577	Schizosaccharomyces pombe
MTBLS578	Schizosaccharomyces pombe
MTBLS579	Homo sapiens
MTBLS581	Cunila
MTBLS582	Homo sapiens
MTBLS591	Homo sapiens
MTBLS597	Rattus norvegicus
MTBLS597	Sus scrofa domesticus
MTBLS598	Homo sapiens
MTBLS602	Mus musculus
MTBLS614	Mus musculus
MTBLS616	Homo sapiens
MTBLS618	Solanum lycopersicum
MTBLS619	Dicentrarchus labrax
MTBLS620	Homo sapiens
MTBLS622	Triticum aestivum
MTBLS622	Rhopalosiphum padi
MTBLS626	Homo sapiens
MTBLS626	Mus musculus
MTBLS629	Mus musculus
MTBLS630	Pseudomonas aeruginosa
MTBLS631	Mus musculus
MTBLS633	Mus musculus
MTBLS634	Mus musculus
MTBLS640	Mus musculus
MTBLS643	Sus scrofa
MTBLS648	Caenorhabditis elegans
MTBLS650	Mus musculus
MTBLS654	Brassica rapa
MTBLS656	Homo sapiens
MTBLS658	Homo sapiens
MTBLS661	Mycobacterium bovis
MTBLS661	Mycobacterium tuberculosis
MTBLS664	Homo sapiens;Plasmodium vivax
MTBLS664	Homo sapiens
MTBLS664	Homo sapiens;Plasmodium vivax;Plasmodium falciparum
MTBLS664	Homo sapiens;Plasmodium falciparum
MTBLS665	Homo sapiens
MTBLS665	Homo sapiens;NCBITAXON:Plasmodium vivax
MTBLS667	Mus musculus
MTBLS669	Homo sapiens
MTBLS673	Ctenopharyngodon idella
MTBLS674	Mus musculus
MTBLS675	Equus caballus
MTBLS687	Plantago lanceolata
MTBLS687	Alopecurus pratensis
MTBLS687	Galium mollugo
MTBLS687	Dactylis glomerata
MTBLS687	derivatisation blank
MTBLS687	Achillea millefolium
MTBLS687	Lolium perenne
MTBLS687	Ranunculus acris
MTBLS687	Poa pratensis
MTBLS687	Arrhenatherum elatius
MTBLS687	Galium verum
MTBLS687	study reference pool
MTBLS690	Homo sapiens
MTBLS691	Homo sapiens
MTBLS691	Macaca mulatta;NCBITAXON:Plasmodium coatneyi
MTBLS693	Solanum lycopersicum x Solanum pennellii
MTBLS694	Homo sapiens
MTBLS694	Synthetic
MTBLS696	Mus musculus
MTBLS698	Aquatica lateralis
MTBLS698	Photinus pyralis
MTBLS698	Ignelater luminosus
MTBLS699	Solanum lycopersicum
MTBLS703	Thalassiosira pseudonana
MTBLS706	standard 
MTBLS706	Trypanosoma brucei
MTBLS708	Fistulifera pelliculosa
MTBLS720	Bos taurus
MTBLS723	Mus musculus
MTBLS724	Drosophila melanogaster
MTBLS737	Culture Media
MTBLS737	solvent
MTBLS737	Homo sapiens
MTBLS743	Homo sapiens
MTBLS750	Mus musculus
MTBLS751	Pseudomonas aeruginosa
MTBLS751	standard
MTBLS756	Ficus deltoidea
MTBLS757	Cricetulus griseus
MTBLS761	Homo sapiens
MTBLS762	Homo sapiens
MTBLS763	Gallus gallus
MTBLS767	Emiliania huxleyi
MTBLS769	Emiliania huxleyi
MTBLS770	Mus musculus
MTBLS771	Camellia sinensis
MTBLS771	acetonitrile
MTBLS772	Camellia sinensis
MTBLS772	acetonitrile
MTBLS773	Ribes nigrum
MTBLS780	Saccharomyces cerevisiae
MTBLS788	Staphylococcus aureus
MTBLS789	Homo sapiens
MTBLS793	Glossina morsitans
MTBLS797	Hyacinthoides non-scripta
MTBLS803	Homo sapiens
MTBLS807	Posidonia oceanica
MTBLS807	Homo sapiens
MTBLS807	Lumbricus terrestris L2
MTBLS807	Saccharomyces cerevisiae
MTBLS812	Homo sapiens
MTBLS826	Artifical sea water
MTBLS836	Rattus norvegicus
MTBLS836	buffer
MTBLS839	Artifical sea water
MTBLS839	Artifical water sample
MTBLS841	Bos grunniens
MTBLS843	Marinobacter adhaerens
MTBLS844	sea water
MTBLS848	Artifical sea water
MTBLS849	Artifical sea water
MTBLS862	Acropora cervicornis
MTBLS862	Orbicella faveolata
MTBLS862	Porites compressa
MTBLS867	Rattus norvegicus
MTBLS869	Homo sapiens
