studyID	organism
MTBLS103	Homo sapiens
MTBLS104	Homo sapiens
MTBLS105	Homo sapiens
MTBLS106	Homo sapiens
MTBLS107	Solanum lycopersicum
MTBLS108	Solanum lycopersicum
MTBLS109	Solanum lycopersicum
MTBLS110	Solanum lycopersicum
MTBLS111	Solanum lycopersicum
MTBLS112	Triticum aestivum
MTBLS113	Euglena gracilis
MTBLS114	Rattus norvegicus
MTBLS115	Saccharomyces cerevisiae
MTBLS116	Pocillopora damicornis
MTBLS116	Montipora aequituberculata
MTBLS116	Porites lobata
MTBLS116	Porites compressa
MTBLS116	Seriatopora hystrix
MTBLS117	Glycine max/NCBITAXON:Rhizoctonia solani
MTBLS117	Glycine max
MTBLS118	Glycine max/NCBITAXON:Rhizoctonia solani
MTBLS118	Glycine max
MTBLS119	Populus tremula x Populus alba
MTBLS120	Glycine max
MTBLS123	Sus scrofa domesticus
MTBLS124	Homo sapiens
MTBLS125	Mus musculus
MTBLS126	Mus musculus
MTBLS127	Mus musculus
MTBLS127	Homo sapiens
MTBLS128	Corynebacterium glutamicum
MTBLS129	Arabidopsis thaliana
MTBLS131	Solanum lycopersicum
MTBLS132	Solanum lycopersicum
MTBLS135	Mus musculus
MTBLS137	Vitis vinifera
MTBLS140	Homo sapiens
MTBLS141	Arabidopsis thaliana
MTBLS143	Mus musculus
MTBLS144	Thalassiosira pseudonana
MTBLS146	Homo sapiens
MTBLS147	Homo sapiens
MTBLS148	Homo sapiens
MTBLS149	Rattus norvegicus
MTBLS150	Homo sapiens
MTBLS151	Oryza sativa
MTBLS152	Homo sapiens
MTBLS153	Triticum aestivum
MTBLS154	Thalassiosira pseudonana
MTBLS155	Synechococcus elongatus
MTBLS156	Homo sapiens
MTBLS157	Ruegeria pomeroyi
MTBLS158	Mus musculus
MTBLS160	Arabidopsis thaliana
MTBLS161	Homo sapiens
MTBLS163	Homo sapiens
MTBLS164	Homo sapiens
MTBLS165	Ailuropoda melanoleuca
MTBLS166	Mus musculus
MTBLS167	Vitis vinifera
MTBLS168	Saccharomyces cerevisiae
MTBLS169	Arabidopsis thaliana
MTBLS170	Ilex paraguariensis
MTBLS171	Rattus norvegicus
MTBLS172	Homo sapiens
MTBLS173	Mus musculus
MTBLS174	Homo sapiens
MTBLS175	Centella asiatica
MTBLS176	Mus musculus
MTBLS176	Homo sapiens
MTBLS176	Bacillus subtilis and Streptomyces coelicolor
MTBLS177	Homo sapiens
MTBLS178	Homo sapiens
MTBLS182	Homo sapiens
MTBLS183	Homo sapiens
MTBLS184	Homo sapiens
MTBLS185	Bos taurus
MTBLS187	Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus
MTBLS188	Arabidopsis thaliana
MTBLS189	Mus musculus
MTBLS189	Astragalus mongholicus
MTBLS190	Rattus andamanensis
MTBLS191	Homo sapiens
MTBLS192	Homo sapiens
MTBLS193	matrix
MTBLS193	Parachlorella
MTBLS193	Chlorella
MTBLS194	Mus musculus
MTBLS195	Arabidopsis thaliana
MTBLS196	Mustela putorius
MTBLS197	Mus musculus
MTBLS198	Homo sapiens
MTBLS199	Homo sapiens
MTBLS200	Homo sapiens
MTBLS202	Homo sapiens
MTBLS203	Nicotiana attenuata
MTBLS208	Chlamydomonas reinhardtii
MTBLS209	Vitis
MTBLS210	Aedes albopictus
MTBLS212	Vitis vinifera
MTBLS213	Homo sapiens
MTBLS214	Homo sapiens
MTBLS216	Mus musculus
MTBLS217	Mus musculus
MTBLS218	Homo sapiens
MTBLS219	Mus musculus
MTBLS219	alkane reference
MTBLS222	Homo sapiens
MTBLS223	calibrant
MTBLS223	Homo sapiens
MTBLS223	Blank
MTBLS223	PBS
MTBLS224	Phyllanthus niruri
MTBLS225	Mus musculus
MTBLS226	Homo sapiens
MTBLS227	Homo sapiens
MTBLS228	Bacillus methanolicus
MTBLS229	Escherichia coli
MTBLS230	Homo sapiens
MTBLS230	Negative Media
MTBLS230	McCoys Media
MTBLS230	conditioned DMEM Media
MTBLS230	Buffer
MTBLS231	calibrant
MTBLS231	Homo sapiens
MTBLS232	Homo sapiens
MTBLS233	Homo sapiens
MTBLS234	Homo sapiens
MTBLS235	simulated data
MTBLS236	Homo sapiens
MTBLS237	Homo sapiens
MTBLS238	Homo sapiens
MTBLS239	Homo sapiens
MTBLS240	Mus musculus
MTBLS241	Homo sapiens
MTBLS242	Homo sapiens
MTBLS243	Mus musculus
MTBLS244	Mus musculus
MTBLS244	Chemical
MTBLS245	Homo sapiens
MTBLS246	Homo sapiens
MTBLS247	Homo sapiens
MTBLS248	Homo sapiens
MTBLS249	Homo sapiens
MTBLS250	Homo sapiens
MTBLS253	Homo sapiens
MTBLS256	Mus musculus
MTBLS257	Mus musculus
MTBLS259	solvent
MTBLS259	Daphnia pulex
MTBLS260	Daphnia magna
MTBLS261	Mus musculus
MTBLS263	Homo sapiens
MTBLS264	Homo sapiens
MTBLS265	Homo sapiens
MTBLS266	Homo sapiens
MTBLS267	Homo sapiens
MTBLS268	Homo sapiens
MTBLS269	Mus musculus
MTBLS270	Cichorium intybus
MTBLS271	Rattus norvegicus
MTBLS272	Arabidopsis thaliana
MTBLS273	Homo sapiens
MTBLS274	Carica papaya
MTBLS275	Mus musculus
MTBLS276	Escherichia coli
MTBLS276	Xenopus laevis
MTBLS277	Homo sapiens
MTBLS278	Rattus norvegicus
MTBLS279	Homo sapiens
MTBLS280	Homo sapiens
MTBLS281	Ircinia campana
MTBLS281	Coral reef sea water
MTBLS281	Pooled quality control
MTBLS281	Spheciospongia vesparium
MTBLS281	sea water
MTBLS282	Homo sapiens/Mus musculus xenograft
MTBLS283	Mus musculus
MTBLS285	Homo sapiens
MTBLS286	Oryza sativa
MTBLS287	Oryza sativa
MTBLS288	Oryza sativa
MTBLS289	Homo sapiens/Mus musculus xenograft
MTBLS290	Homo sapiens
MTBLS291	Caenorhabditis elegans
MTBLS291	Sus scrofa
MTBLS291	Gallus gallus
MTBLS292	Mus musculus
MTBLS292	Homo sapiens
MTBLS293	sea water
MTBLS295	Micromonas pusilla
MTBLS296	Saccharomyces cerevisiae
MTBLS297	Solanum lycopersicum
MTBLS297	Solanum habrochaites
MTBLS298	Homo sapiens
MTBLS303	Rattus norvegicus
MTBLS304	Mycobacterium tuberculosis
MTBLS306	Homo sapiens
MTBLS307	Homo sapiens
MTBLS308	Mus musculus
MTBLS309	Brassica napus
MTBLS311	Arabidopsis thaliana
MTBLS312	Brassica napus
MTBLS313	Mus musculus
MTBLS313	Rattus rattus
MTBLS314	Mus musculus
MTBLS315	Homo sapiens
MTBLS316	Schizosaccharomyces pombe
MTBLS317	Simulation experiment
MTBLS319	Pseudomonas putida
MTBLS320	Pseudomonas putida
MTBLS321	Homo sapiens
MTBLS322	Ovis aries
MTBLS323	Homo sapiens
MTBLS323	Blank
MTBLS325	Homo sapiens
MTBLS326	Homo sapiens
MTBLS327	Mus musculus
MTBLS328	Homo sapiens
MTBLS328	Lactobacillus rhamnosus
MTBLS330	Solanum lycopersicum
MTBLS330	Landoltia punctata
MTBLS330	Arabidopsis thaliana
MTBLS330	Spirodela polyrhiza
MTBLS330	Wolffia
MTBLS330	Lemna gibba
MTBLS331	Crocus sativus
MTBLS332	Populus deltoides
MTBLS333	Rubus idaeus
MTBLS334	Mus musculus
MTBLS335	Nicotiana attenuata
MTBLS336	Yoldia eightsi
MTBLS336	Laternula elliptica
MTBLS336	Marseniopsis mollis
MTBLS336	Cucumaria georgiana
MTBLS336	Paraceradocus miersii
MTBLS336	Liothyrella uva
MTBLS337	Homo sapiens
MTBLS338	Arabidopsis thaliana
MTBLS339	Human
MTBLS339	Anopheles gambiae
MTBLS340	Rattus norvegicus
MTBLS341	Arabidopsis thaliana
MTBLS342	Montipora aequituberculata
MTBLS342	Porites
MTBLS342	Pocillopora meandrina
MTBLS342	Porites lobata
MTBLS342	Montipora
MTBLS342	Acropora
MTBLS342	Pocillopora acuta
MTBLS342	Porites rus
MTBLS343	Lactuca sativa
MTBLS344	Bos taurus
MTBLS344	Sus scrofa
MTBLS344	Bos taurus;NCBITAXON:Sus scrofa 
MTBLS345	Mus musculus
MTBLS345	Food
MTBLS346	Vitis vinifera
MTBLS347	Microbiota
MTBLS349	Oryctolagus cuniculus
MTBLS350	Panax ginseng
MTBLS351	Homo sapiens
MTBLS352	Homo sapiens
MTBLS354	Homo sapiens
MTBLS355	Arabidopsis thaliana
MTBLS356	Homo sapiens
MTBLS358	Homo sapiens
MTBLS359	Salmonella enterica
MTBLS360	Trypanosoma brucei
MTBLS361	Rattus norvegicus
MTBLS362	Photinus pyralis
MTBLS363	Agave americana
MTBLS363	Arabidopsis thaliana
MTBLS364	Homo sapiens
MTBLS366	sea water
MTBLS367	Sus scrofa
MTBLS368	Mus musculus
MTBLS368	Homo sapiens
MTBLS369	Homo sapiens
MTBLS370	Culture Media
MTBLS370	Candida albicans
MTBLS370	Bos taurus
MTBLS370	Internal Standard
MTBLS370	Standard
MTBLS370	Staphylococcus aureus; NCBITAXON:Candida albicans
MTBLS370	Staphylococcus aureus
MTBLS371	Phoenix dactylifera
MTBLS372	Fraxinus excelsior
MTBLS373	Escherichia coli
MTBLS374	Homo sapiens
MTBLS375	Arabidopsis thaliana
MTBLS376	Mus musculus
MTBLS377	mus musculus
MTBLS378	Mus musculus
MTBLS379	Apis cerana
MTBLS380	Mus musculus
MTBLS382	Mus musculus
MTBLS383	Clavispora lusitaniae
MTBLS383	Candida albicans
MTBLS383	Meyerozyma guilliermondii
MTBLS383	Candida glabrata
MTBLS383	Candida tropicalis
MTBLS383	Candida inconspicua
MTBLS383	Candida parapsilosis
MTBLS383	Pichia kudriavzevii
MTBLS384	Sus scrofa
MTBLS385	Homo sapiens
MTBLS386	Homo sapiens
MTBLS387	Homo sapiens
MTBLS389	Arabidopsis thaliana
MTBLS390	Mus musculus
MTBLS392	Vitis vinifera
MTBLS393	Escherichia coli
MTBLS396	Mus musculus
MTBLS397	Mus musculus
MTBLS399	Pseudostellaria heterophylla
MTBLS400	Mus musculus
MTBLS401	Homo sapiens
MTBLS402	Homo sapiens
MTBLS403	Camellia sinensis
MTBLS404	Homo sapiens
MTBLS405	Homo sapiens
MTBLS407	Homo sapiens
MTBLS408	Homo sapiens
MTBLS409	Blank
MTBLS409	Aphis gossypii
MTBLS409	Lysiphlebia japonica
MTBLS410	Blank
MTBLS410	Aphis gossypii
MTBLS411	Bos taurus
MTBLS412	Homo sapiens
MTBLS413	reference compound 
MTBLS413	Homo sapiens
MTBLS414	Homo sapiens
MTBLS415	Homo sapiens
MTBLS417	Homo sapiens
MTBLS418	Mus musculus
MTBLS419	Homo sapiens
MTBLS420	Homo sapiens
MTBLS421	Homo sapiens
MTBLS423	Homo sapiens
MTBLS424	Homo sapiens
MTBLS425	Homo sapiens
MTBLS426	Papio anubis
MTBLS427	Homo sapiens
MTBLS428	sea water
MTBLS429	Jacobaea
MTBLS430	Homo sapiens
MTBLS431	Pseudomonas aeruginosa
MTBLS432	Mus musculus
MTBLS433	Olea europaea
MTBLS434	Saccharomyces cerevisiae
MTBLS435	Macleaya cordata
MTBLS436	Bos taurus
MTBLS437	Oryza sativa
MTBLS438	Mice
MTBLS439	steam
MTBLS439	root
MTBLS439	leave
MTBLS441	Arabidopsis thaliana
MTBLS443	Leishmania mexicana species complex
MTBLS443	Leishmania infantum
MTBLS444	Homo sapiens
MTBLS445	Espeletia
MTBLS447	Solanum lycopersicum
MTBLS448	Oryza sativa
MTBLS449	Homo sapiens
MTBLS451	Oryza sativa
MTBLS452	Trypanosoma brucei
MTBLS453	Rattus norvegicus
MTBLS454	Escherichia coli
MTBLS455	Homo sapiens
MTBLS456	Bos taurus
MTBLS457	Litoria verreauxii
MTBLS458	Homo sapiens
MTBLS459	Trypanosoma brucei
MTBLS460	Brassica oleracea
MTBLS461	sea water
MTBLS462	Mus musculus
MTBLS463	Pseudomonas fluorescens
MTBLS464	Escherichia coli
MTBLS465	Homo sapiens
MTBLS469	Homo sapiens
MTBLS470	Homo sapiens
MTBLS471	Acromyrmex octospinosus
MTBLS472	Mus musculus
MTBLS473	Homo sapiens
MTBLS475	Homo sapiens
MTBLS476	Homo sapiens
MTBLS478	Populus tremula x Populus tremuloides
MTBLS479	Homo sapiens
MTBLS479	PBS buffer
MTBLS480	Mus musculus
MTBLS481	Medicago sativa
MTBLS482	Rattus norvegicus
MTBLS483	Rattus
MTBLS484	Nepenthes ampullaria
MTBLS484	Nepenthes x hookeriana
MTBLS484	Nepenthes rafflesiana
MTBLS486	soybean
MTBLS487	Mus musculus
MTBLS488	Bos taurus
MTBLS491	Leishmania mexicana
MTBLS492	soil biocrust
MTBLS493	Cricetulus griseus
MTBLS494	Platycodon grandiflorus
MTBLS495	Mus musculus
MTBLS496	Campylobacter jejuni
MTBLS497	Escherichia coli
MTBLS497	Artificial sputum medium
MTBLS497	Pseudomonas aeruginosa
MTBLS497	Klebsiella pneumoniae
MTBLS497	Nutrient broth
MTBLS497	Staphylococcus aureus
MTBLS516	Rattus rattus
MTBLS517	Homo sapiens
MTBLS517	Macaca mulatta;NCBITAXON:Plasmodium cynomolgi
MTBLS518	Homo sapiens
MTBLS518	Macaca mulatta;NCBITAXON:Plasmodium coatneyi
MTBLS519	Kalanchoe fedtschenkoi
MTBLS520	Grimmia pulvinata
MTBLS520	Polytrichum strictum
MTBLS520	Plagiomnium undulatum
MTBLS520	blank value
MTBLS520	Hypnum cupressiforme
MTBLS520	Fissidens taxifolius
MTBLS520	Rhytidiadelphus squarrosus
MTBLS520	Brachythecium rutabulum
MTBLS520	Marchantia polymorpha
MTBLS520	Calliergonella cuspidata
MTBLS521	Gossypium hirsutum
MTBLS522	Rattus norvegicus
MTBLS523	Heligmosomoides polygyrus
MTBLS524	Homo sapiens
MTBLS525	Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae
MTBLS526	Lemna paucicostata
MTBLS527	Mus musculus
MTBLS528	Arabidopsis thaliana
MTBLS529	Lolium perenne
MTBLS530	Mus musculus
MTBLS531	Glycine max
MTBLS532	Eisenia fetida
MTBLS533	human
MTBLS535	Mycoplasma bovis
MTBLS535	Mycoplasma gallisepticum
MTBLS537	Gallus gallus
MTBLS538	Acropora aspera
MTBLS538	Symbiodinium sp. ex Acropora aspera
MTBLS539	Mus musculus
MTBLS540	Homo sapiens
MTBLS542	Homo sapiens
MTBLS542	Macaca mulatta;NCBITAXON:Plasmodium cynomolgi
MTBLS543	Equus caballus
MTBLS545	Mus musculus
MTBLS546	Mus musculus
MTBLS547	Mus musculus
MTBLS548	Mus musculus
MTBLS549	Homo sapiens
MTBLS550	Brassica oleracea
MTBLS552	Homo sapiens
MTBLS553	Brassica napus
MTBLS553	Streptomyces viridochromogenes
MTBLS553	Brassica juncea
MTBLS553	Arabidopsis thaliana
MTBLS553	Glycine max
MTBLS553	Triticum aestivum
MTBLS554	Bos taurus
MTBLS555	Arabidopsis thaliana
MTBLS557	Suricata suricatta
MTBLS558	Homo sapiens
MTBLS559	Nicotiana tabacum
MTBLS560	Gallus gallus
MTBLS561	Bos taurus
MTBLS562	Mus musculus
MTBLS563	Homo sapiens
MTBLS564	Homo sapiens
MTBLS566	Rhodiola rosea
MTBLS567	Prochlorococcus
MTBLS570	Mus musculus
MTBLS571	Skeletonema marinoi
MTBLS572	Escherichia coli
MTBLS573	Gossypium hirsutum
MTBLS574	Inga leiocalycina
MTBLS574	Inga coruscans
MTBLS574	Inga umbellifera
MTBLS574	Inga chartacea
MTBLS574	Inga acreana
MTBLS574	Inga marginata
MTBLS574	Inga obidensis
MTBLS574	Inga laurina
MTBLS574	Inga microcoma
MTBLS574	Inga alata
MTBLS574	Inga brachystachys
MTBLS574	Inga auristellae
MTBLS574	Inga alba
MTBLS574	Inga pezizifera
MTBLS575	Zea mays
MTBLS576	Sinorhizobium meliloti
MTBLS577	Schizosaccharomyces pombe
MTBLS578	Schizosaccharomyces pombe
MTBLS579	Homo sapiens
MTBLS580	Mice
MTBLS581	Cunila
MTBLS582	Homo sapiens
MTBLS585	Macrobrachium nipponense
MTBLS586	Mus musculus
MTBLS587	Mus musculus
MTBLS588	Mus musculus
MTBLS589	Mus musculus
MTBLS591	Homo sapiens
MTBLS593	Mus musculus
MTBLS594	Mus musculus
MTBLS594	Homo sapiens/Mus musculus xenograft
MTBLS594	Homo sapiens
MTBLS594	Saccharomyces cerevisiae
MTBLS595	Garcinia mangostana
MTBLS596	Mus musculus
MTBLS597	Sus scrofa domesticus
MTBLS597	Rattus norvegicus
MTBLS598	Homo sapiens
MTBLS607	Drosophila melanogaster x Drosophila simulans
MTBLS608	Mouse
MTBLS608	Reference compound
MTBLS611	Pristionchus pacificus
MTBLS613	Gomphrena 
MTBLS614	Mus musculus
MTBLS617	Enterobacter cloacae
MTBLS617	Artificial sputum medium
MTBLS617	Pseudomonas aeruginosa
MTBLS617	Enterobacter cloacae;NCBITAXON:Pseudomonas aeruginosa
MTBLS618	Solanum lycopersicum
MTBLS619	Dicentrarchus labrax
MTBLS620	Homo sapiens
MTBLS621	Bos taurus
MTBLS622	Triticum aestivum
MTBLS622	Rhopalosiphum padi
MTBLS623	Bos taurus
MTBLS624	Medium
MTBLS624	Blank
MTBLS624	Trypanosoma brucei
MTBLS625	Homo sapiens
MTBLS626	Mus musculus
MTBLS626	Homo sapiens
MTBLS627	Kunming White outbred strain mice
MTBLS628	Populus tremula x Populus tremuloides
MTBLS629	Mus musculus
MTBLS630	Pseudomonas aeruginosa
MTBLS631	Mus musculus
MTBLS633	Mus musculus
MTBLS634	Mus musculus
MTBLS636	Danio rerio
MTBLS636	Sus scrofa
MTBLS636	Aspergillus fumigatus
MTBLS636	Cricetulus griseus
MTBLS636	Escherichia coli
MTBLS636	Homo sapiens
MTBLS636	Drosophila melanogaster
MTBLS636	Arabidopsis thaliana
MTBLS636	Pseudomonas putida
MTBLS636	Mus musculus
MTBLS636	Micrococcus luteus
MTBLS636	Oryza sativa
MTBLS636	Saccharomyces cerevisiae
MTBLS636	Bacillus drentensis
MTBLS636	Dictyostelium discoideum
MTBLS638	Haliclona mucosa
MTBLS638	Haliclona fulva
MTBLS639	Chlorocebus sp.
MTBLS640	Mus musculus
MTBLS642	Escherichia coli
MTBLS643	Sus scrofa
MTBLS644	Pseudomonas aeruginosa
MTBLS646	Homo sapiens
MTBLS647	Caenorhabditis elegans
MTBLS648	Caenorhabditis elegans
MTBLS650	Mus musculus
MTBLS651	Human
MTBLS653	Human
MTBLS654	Brassica rapa
MTBLS655	Homo sapiens
MTBLS655	Food
MTBLS656	Homo sapiens
MTBLS658	Homo sapiens
MTBLS661	Mycobacterium tuberculosis
MTBLS661	Mycobacterium bovis
MTBLS662	Arabidopsis thaliana
MTBLS664	Homo sapiens;Plasmodium vivax;Plasmodium falciparum
MTBLS664	Homo sapiens;Plasmodium vivax
MTBLS664	Homo sapiens
MTBLS664	Homo sapiens;Plasmodium falciparum
MTBLS665	Homo sapiens
MTBLS665	Homo sapiens;NCBITAXON:Plasmodium vivax
MTBLS666	Sus scrofa
MTBLS667	Mus musculus
MTBLS668	Homo sapiens
MTBLS669	Homo sapiens
MTBLS670	Homo sapiens
MTBLS672	Sulfolobus acidocaldarius
MTBLS673	Ctenopharyngodon idella
MTBLS674	Mus musculus
MTBLS675	Equus caballus
MTBLS676	human
MTBLS677	Mus musculus
MTBLS677	Culture Media
MTBLS677	 Conditioned
MTBLS677	Culture Media
MTBLS678	Homo sapiens
MTBLS678	Culture Media
MTBLS679	Ranunculus acris
MTBLS679	Centaurea jacea
MTBLS679	Plantago lanceolata
MTBLS679	standard
MTBLS679	Dactylis glomerata
MTBLS679	Geranium pratense
MTBLS679	Poa pratensis
MTBLS679	Knautia arvensis
MTBLS679	Holcus lanatus
MTBLS679	Mix
MTBLS679	Leucanthemum vulgare
MTBLS679	Anthoxanthum odoratum
MTBLS679	Festuca rubra
MTBLS679	Avenula pubescens
MTBLS679	Phleum pratense
MTBLS681	Homo sapiens
MTBLS682	Homo Sapiens
MTBLS683	Homo sapiens
MTBLS684	Lichina pygmea
MTBLS686	Homo sapiens
MTBLS687	Ranunculus acris
MTBLS687	Galium mollugo
MTBLS687	derivatisation blank
MTBLS687	Plantago lanceolata
MTBLS687	study reference pool
MTBLS687	Dactylis glomerata
MTBLS687	Achillea millefolium
MTBLS687	Poa pratensis
MTBLS687	Alopecurus pratensis
MTBLS687	Lolium perenne
MTBLS687	Arrhenatherum elatius
MTBLS687	Galium verum
MTBLS688	Eleutherococcus sessiliflorus
MTBLS688	Glycyrrhiza glabra
MTBLS688	Senna alexandrina
MTBLS688	Linum usitatissimum
MTBLS688	Origanum vulgare
MTBLS688	Humulus lupulus
MTBLS688	Potentilla erecta
MTBLS688	Hypericum perforatum
MTBLS688	Aegopodium podagraria
MTBLS688	Aronia melanocarpa
MTBLS688	Mentha x piperita
MTBLS688	Foeniculum vulgare
MTBLS688	Viburnum opulus
MTBLS688	Artemisia absinthium
MTBLS688	Calendula officinalis
MTBLS688	Inula helenium
MTBLS688	Bidens tripartita
MTBLS688	Matricaria chamomilla
MTBLS688	Tanacetum vulgare
MTBLS688	Taraxacum officinale
MTBLS688	Silybum marianum
MTBLS688	Melilotus officinalis
MTBLS688	Helichrysum arenarium
MTBLS688	Bergenia crassifolia
MTBLS688	Coriandrum sativum
MTBLS688	Helianthus tuberosus
MTBLS688	Bupleurum aureum
MTBLS688	Eleutherococcus senticosus
MTBLS688	Betula pendula
MTBLS688	Salvia officinalis
MTBLS688	Frangula alnus
MTBLS688	Viola tricolor
MTBLS688	Convallaria keiskei
MTBLS688	Tussilago farfara
MTBLS688	Populus balsamifera
MTBLS688	Pinus sylvestris
MTBLS688	Equisetum arvense
MTBLS688	Daucus carota
MTBLS688	Petroselinum crispum
MTBLS688	Ginkgo biloba
MTBLS688	Aerva lanata
MTBLS688	Heracleum sibiricum
MTBLS688	Urtica dioica
MTBLS688	Rosa majalis
MTBLS688	Fragaria vesca
MTBLS688	Tilia cordata
MTBLS688	Hedysarum neglectum
MTBLS688	Astragalus propinquus
MTBLS688	Anethum graveolens
MTBLS688	Cichorium intybus
MTBLS688	Sambucus nigra
MTBLS688	Angelica archangelica
MTBLS688	Pimpinella anisum
MTBLS688	Asarum europaeum
MTBLS688	Rhodiola rosea
MTBLS688	Polemonium caeruleum
MTBLS688	Prunus padus
MTBLS688	Acorus calamus
MTBLS688	Levisticum officinale
MTBLS688	Oplopanax elatus
MTBLS688	Rhamnus cathartica
MTBLS688	Plantago major
MTBLS688	Echinacea purpurea
MTBLS688	Althaea officinalis
MTBLS688	Pimpinella saxifraga
MTBLS688	Thymus serpyllum
MTBLS688	Aralia elata
MTBLS688	Juniperus communis
MTBLS688	Panax ginseng
MTBLS688	Valeriana officinalis
MTBLS688	Leonurus quinquelobatus
MTBLS688	Dioscorea caucasica
MTBLS688	Vaccinium myrtillus
MTBLS688	Arctium lappa
MTBLS689	Homo sapiens
MTBLS690	Homo sapiens
MTBLS691	Homo sapiens
MTBLS691	Macaca mulatta;NCBITAXON:Plasmodium coatneyi
MTBLS692	Arabidopsis thaliana
MTBLS693	Solanum lycopersicum x Solanum pennellii
MTBLS694	Homo sapiens
MTBLS694	Synthetic
MTBLS695	Mouse
MTBLS696	Mus musculus
MTBLS698	Aquatica lateralis
MTBLS698	Photinus pyralis
MTBLS698	Ignelater luminosus
MTBLS699	Solanum lycopersicum
MTBLS700	Homo sapiens
MTBLS701	Momordica charantia
MTBLS704	Homo sapiens
MTBLS706	standard 
MTBLS706	Trypanosoma brucei
MTBLS707	Lobophora monticola
MTBLS707	Lobophora rosacea
MTBLS707	Lobophora sonderii
MTBLS707	Lobophora obscura
MTBLS709	Grimmia pulvinata
