studyID	organism
MTBLS107	Solanum lycopersicum
MTBLS108	Solanum lycopersicum
MTBLS109	Solanum lycopersicum
MTBLS110	Solanum lycopersicum
MTBLS111	Solanum lycopersicum
MTBLS112	Triticum aestivum
MTBLS113	"reference compound,Euglena gracilis"
MTBLS114	Rattus norvegicus
MTBLS115	Saccharomyces cerevisiae
MTBLS116	"Porites lobata,Porites compressa,Pocillopora damicornis,Montipora aequituberculata,Seriatopora hystrix"
MTBLS117	"Glycine max,Glycine max/NCBITAXON:Rhizoctonia solani"
MTBLS118	"Glycine max,Glycine max/NCBITAXON:Rhizoctonia solani"
MTBLS119	Populus tremula x Populus alba
MTBLS120	Glycine max
MTBLS123	Sus scrofa domesticus
MTBLS124	Homo sapiens
MTBLS125	Mus musculus
MTBLS126	Mus musculus
MTBLS127	"Homo sapiens,Mus musculus"
MTBLS128	"blank,Corynebacterium glutamicum"
MTBLS129	Arabidopsis thaliana
MTBLS131	Solanum lycopersicum
MTBLS132	Solanum lycopersicum
MTBLS133	reference compound
MTBLS134	reference compound
MTBLS135	Mus musculus
MTBLS136	Homo sapiens
MTBLS137	Vitis vinifera
MTBLS140	"reference compound,Homo sapiens"
MTBLS142	reference compound
MTBLS143	Mus musculus
MTBLS144	Thalassiosira pseudonana
MTBLS145	Mus musculus
MTBLS146	Homo sapiens
MTBLS147	Homo sapiens
MTBLS148	Homo sapiens
MTBLS149	Rattus norvegicus
MTBLS150	Homo sapiens
MTBLS151	Oryza sativa
MTBLS152	Homo sapiens
MTBLS154	Thalassiosira pseudonana
MTBLS155	Synechococcus elongatus
MTBLS156	Homo sapiens
MTBLS157	Ruegeria pomeroyi
MTBLS158	Mus musculus
MTBLS159	Mus Musculus
MTBLS160	"Arabidopsis thaliana,blank"
MTBLS161	Homo sapiens
MTBLS162	"blank,Homo sapiens"
MTBLS163	"reference compound,Homo sapiens"
MTBLS164	Homo sapiens
MTBLS165	Ailuropoda melanoleuca
MTBLS166	Mus musculus
MTBLS168	Saccharomyces cerevisiae
MTBLS169	Arabidopsis thaliana
MTBLS170	Ilex paraguariensis
MTBLS171	Rattus norvegicus
MTBLS172	Homo sapiens
MTBLS173	Mus musculus
MTBLS174	Homo sapiens
MTBLS175	Centella asiatica
MTBLS176	"Bacillus subtilis and Streptomyces coelicolor,Homo sapiens,Mus musculus"
MTBLS177	Homo sapiens
MTBLS178	Homo sapiens
MTBLS179	Homo spaiens
MTBLS182	"reference compound,Homo sapiens"
MTBLS183	Homo sapiens
MTBLS184	"reference compound,Homo sapiens"
MTBLS185	Bos taurus
MTBLS187	Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus
MTBLS188	"Arabidopsis thaliana,blank,reference compound"
MTBLS189	"Astragalus mongholicus,Mus musculus"
MTBLS191	Homo sapiens
MTBLS193	"matrix,Parachlorella,Chlorella,blank"
MTBLS194	Mus musculus
MTBLS196	Mustela putorius
MTBLS197	Mus musculus
MTBLS198	Homo sapiens
MTBLS200	Homo sapiens
MTBLS203	Nicotiana attenuata
MTBLS208	Chlamydomonas reinhardtii
MTBLS209	Vitis
MTBLS210	"Aedes albopictus,blank"
MTBLS212	Vitis vinifera
MTBLS213	Homo sapiens
MTBLS214	Homo sapiens
MTBLS215	reference compound
MTBLS216	Mus musculus
MTBLS217	Mus musculus
MTBLS218	"blank,Homo sapiens"
MTBLS219	"blank,alkane reference,Mus musculus"
MTBLS225	Mus musculus
MTBLS226	Homo sapiens
MTBLS227	Homo sapiens
MTBLS228	Bacillus methanolicus
MTBLS229	Escherichia coli
MTBLS230	"Buffer,McCoys Media,Homo sapiens,Negative Media,conditioned DMEM Media"
MTBLS233	"blank,Homo sapiens"
MTBLS234	Homo sapiens
MTBLS235	simulated data
MTBLS237	Homo sapiens
MTBLS240	Mus musculus
MTBLS241	"reference compound,Homo sapiens"
MTBLS242	Homo sapiens
MTBLS243	Mus musculus
MTBLS244	"Chemical,Mus musculus"
MTBLS247	Homo sapiens
MTBLS249	Homo sapiens
MTBLS253	Homo sapiens
MTBLS256	Mus musculus
MTBLS259	"Daphnia pulex,solvent,blank"
MTBLS260	Daphnia magna
MTBLS261	Mus musculus
MTBLS263	Homo sapiens
MTBLS264	Homo sapiens
MTBLS265	Homo sapiens
MTBLS266	Homo sapiens
MTBLS267	Homo sapiens
MTBLS269	Mus musculus
MTBLS270	Cichorium intybus
MTBLS272	Arabidopsis thaliana
MTBLS273	Homo sapiens
MTBLS274	Carica papaya
MTBLS275	Mus musculus
MTBLS276	"blank,Xenopus laevis,reference compound,Escherichia coli"
MTBLS277	Homo sapiens
MTBLS278	Rattus norvegicus
MTBLS279	Homo sapiens
MTBLS280	Homo sapiens
MTBLS281	"Ircinia campana,Coral reef sea water,Pooled quality control,sea water,Spheciospongia vesparium"
MTBLS282	Homo sapiens/Mus musculus xenograft
MTBLS283	Mus musculus
MTBLS286	"blank,Oryza sativa"
MTBLS287	"blank,Oryza sativa"
MTBLS288	"blank,Oryza sativa"
MTBLS289	Homo sapiens/Mus musculus xenograft
MTBLS290	"blank,Homo sapiens"
MTBLS291	"Gallus gallus,Sus scrofa,reference compound,Caenorhabditis elegans"
MTBLS292	"Homo sapiens,Mus musculus"
MTBLS293	sea water
MTBLS295	Micromonas pusilla
MTBLS296	Saccharomyces cerevisiae
MTBLS297	"Solanum lycopersicum,Solanum habrochaites"
MTBLS298	Homo sapiens
MTBLS303	Rattus norvegicus
MTBLS304	Mycobacterium tuberculosis
MTBLS306	"reference compound,Homo sapiens"
MTBLS307	"reference compound,blank,Homo sapiens"
MTBLS309	Brassica napus
MTBLS311	Arabidopsis thaliana
MTBLS312	Brassica napus
MTBLS313	"Rattus rattus,Mus musculus"
MTBLS315	Homo sapiens
MTBLS316	Schizosaccharomyces pombe
MTBLS317	Simulation experiment
MTBLS319	Pseudomonas putida
MTBLS320	Pseudomonas putida
MTBLS321	Homo sapiens
MTBLS322	Ovis aries
MTBLS323	"Blank,Homo sapiens"
MTBLS326	Homo sapiens
MTBLS327	Mus musculus
MTBLS328	"Lactobacillus rhamnosus,Homo sapiens"
MTBLS330	"Spirodela polyrhiza,Lemna gibba,Landoltia punctata,Solanum lycopersicum,Wolffia,Arabidopsis thaliana"
MTBLS331	Crocus sativus
MTBLS332	Populus deltoides
MTBLS333	Rubus idaeus
MTBLS334	Mus musculus
MTBLS335	Nicotiana attenuata
MTBLS336	"Paraceradocus miersii,Yoldia eightsi,Marseniopsis mollis,blank,Liothyrella uva,Laternula elliptica,Cucumaria georgiana"
MTBLS337	Homo sapiens
MTBLS338	Arabidopsis thaliana
MTBLS340	Rattus norvegicus
MTBLS341	Arabidopsis thaliana
MTBLS342	"Porites rus,Acropora,Pocillopora meandrina,Porites lobata,Pocillopora acuta,Montipora aequituberculata,Montipora,Porites"
MTBLS343	Lactuca sativa
MTBLS345	"Food,Mus musculus"
MTBLS346	Vitis vinifera
MTBLS349	Oryctolagus cuniculus
MTBLS350	Panax ginseng
MTBLS352	Homo sapiens
MTBLS354	Homo sapiens
MTBLS355	Arabidopsis thaliana
MTBLS356	Homo sapiens
MTBLS358	Homo sapiens
MTBLS359	Salmonella enterica
MTBLS360	"Trypanosoma brucei,blank"
MTBLS361	Rattus norvegicus
MTBLS362	"Photinus pyralis,blank"
MTBLS363	"Arabidopsis thaliana,Agave americana"
MTBLS364	Homo sapiens
MTBLS366	sea water
MTBLS367	Sus scrofa
MTBLS368	"reference compound,blank,Homo sapiens,Mus musculus"
MTBLS370	"Culture Media,Candida albicans,Standard,Staphylococcus aureus; NCBITAXON:Candida albicans,Bos taurus,Staphylococcus aureus,Internal Standard"
MTBLS372	Fraxinus excelsior
MTBLS373	Escherichia coli
MTBLS374	Homo sapiens
MTBLS375	Arabidopsis thaliana
MTBLS376	Mus musculus
MTBLS378	Mus musculus
MTBLS379	Apis cerana
MTBLS380	Mus musculus
MTBLS381	reference compound
MTBLS382	Mus musculus
MTBLS383	"Pichia kudriavzevii,Candida parapsilosis,Meyerozyma guilliermondii,Candida albicans,Candida inconspicua,Candida glabrata,Clavispora lusitaniae,Candida tropicalis"
MTBLS384	Sus scrofa
MTBLS385	Homo sapiens
MTBLS386	Homo sapiens
MTBLS387	Homo sapiens
MTBLS389	Arabidopsis thaliana
MTBLS390	Mus musculus
MTBLS391	reference compound
MTBLS392	Vitis vinifera
MTBLS393	Escherichia coli
MTBLS394	reference compound
MTBLS395	Homo sapiens
MTBLS396	Mus musculus
MTBLS397	"reference compound,Mus musculus"
MTBLS398	reference compound
MTBLS399	Pseudostellaria heterophylla
MTBLS400	Mus musculus
MTBLS401	Homo sapiens
MTBLS402	Homo sapiens
MTBLS403	Camellia sinensis
MTBLS404	Homo sapiens
MTBLS405	Homo sapiens
MTBLS408	Homo sapiens
MTBLS409	"Blank,Lysiphlebia japonica,Aphis gossypii"
MTBLS410	"Blank,Aphis gossypii"
MTBLS411	Bos taurus
MTBLS412	"reference compound,Homo sapiens"
MTBLS413	"reference compound ,blank,Homo sapiens"
MTBLS414	Homo sapiens
MTBLS415	Homo sapiens
MTBLS417	Homo sapiens
MTBLS418	Mus musculus
MTBLS419	Homo sapiens
MTBLS420	Homo sapiens
MTBLS422	Mus musculus
MTBLS423	Homo sapiens
MTBLS424	Homo sapiens
MTBLS425	Homo sapiens
MTBLS426	Papio anubis
MTBLS427	Homo sapiens
MTBLS428	"blank,sea water"
MTBLS429	Jacobaea
MTBLS430	Homo sapiens
MTBLS431	Pseudomonas aeruginosa
MTBLS432	Mus musculus
MTBLS433	Olea europaea
MTBLS434	"blank,Saccharomyces cerevisiae,reference compound"
MTBLS435	Macleaya cordata
MTBLS436	"reference compound,Bos taurus"
MTBLS437	Oryza sativa
MTBLS441	Arabidopsis thaliana
MTBLS444	Homo sapiens
MTBLS445	Espeletia
MTBLS447	Solanum lycopersicum
MTBLS449	Homo sapiens
MTBLS450	Arabidopsis thaliana
MTBLS451	Oryza sativa
MTBLS452	"Trypanosoma brucei,blank"
MTBLS453	Rattus norvegicus
MTBLS454	Escherichia coli
MTBLS455	Homo sapiens
MTBLS456	Bos taurus
MTBLS457	Litoria verreauxii
MTBLS459	Trypanosoma brucei
MTBLS460	Brassica oleracea
MTBLS461	sea water
MTBLS462	"reference compound,Mus musculus"
MTBLS463	Pseudomonas fluorescens
MTBLS464	"reference compound,blank,Escherichia coli"
MTBLS465	Homo sapiens
MTBLS470	Homo sapiens
MTBLS471	Acromyrmex octospinosus
MTBLS472	Mus musculus
MTBLS473	Homo sapiens
MTBLS478	Populus tremula x Populus tremuloides
MTBLS479	"blank,PBS buffer,Homo sapiens"
MTBLS481	Medicago sativa
MTBLS482	Rattus norvegicus
MTBLS483	Rattus
MTBLS484	"Nepenthes x hookeriana,blank,Nepenthes rafflesiana,Nepenthes ampullaria"
MTBLS487	Mus musculus
MTBLS488	Bos taurus
MTBLS492	soil biocrust
MTBLS493	Cricetulus griseus
MTBLS494	Platycodon grandiflorus
MTBLS495	Mus musculus
MTBLS496	Campylobacter jejuni
MTBLS497	"Artificial sputum medium,blank,Klebsiella pneumoniae,Nutrient broth,Staphylococcus aureus,Escherichia coli,Pseudomonas aeruginosa"
MTBLS516	Rattus rattus
MTBLS517	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi,Homo sapiens"
MTBLS518	"Homo sapiens,Macaca mulatta;NCBITAXON:Plasmodium coatneyi"
MTBLS519	Kalanchoe fedtschenkoi
MTBLS520	"blank value,Plagiomnium undulatum,Polytrichum strictum,Rhytidiadelphus squarrosus,Fissidens taxifolius,Brachythecium rutabulum,Hypnum cupressiforme,Calliergonella cuspidata,Grimmia pulvinata,Marchantia polymorpha"
MTBLS522	Rattus norvegicus
MTBLS523	Heligmosomoides polygyrus
MTBLS524	Homo sapiens
MTBLS525	Burkholderia thailandensis;NCBITAXON:Chromobacterium violaceum;NCBITAXON:Pseudomonas syringae
MTBLS526	Lemna paucicostata
MTBLS527	Mus musculus
MTBLS528	Arabidopsis thaliana
MTBLS529	"Lolium perenne,blank"
MTBLS530	Mus musculus
MTBLS531	Glycine max
MTBLS532	Eisenia fetida
MTBLS535	"Mycoplasma bovis,Mycoplasma gallisepticum"
MTBLS538	"Symbiodinium sp. ex Acropora aspera,Acropora aspera"
MTBLS539	Mus musculus
MTBLS540	Homo sapiens
MTBLS541	Homo sapiens
MTBLS542	"Macaca mulatta;NCBITAXON:Plasmodium cynomolgi,Homo sapiens"
MTBLS543	Equus caballus
MTBLS545	Mus musculus
MTBLS546	Mus musculus
MTBLS547	Mus musculus
MTBLS548	Mus musculus
MTBLS549	Homo sapiens
MTBLS552	Homo sapiens
MTBLS553	"Brassica juncea,Glycine max,Arabidopsis thaliana,Brassica napus,Triticum aestivum,Streptomyces viridochromogenes,reference compound"
MTBLS554	Bos taurus
MTBLS555	Arabidopsis thaliana
MTBLS558	"blank,Homo sapiens"
MTBLS559	Nicotiana tabacum
MTBLS560	Gallus gallus
MTBLS561	Bos taurus
MTBLS562	Mus musculus
MTBLS564	Homo sapiens
MTBLS566	Rhodiola rosea
MTBLS567	Prochlorococcus
MTBLS570	"blank,reference compound,Mus musculus"
MTBLS571	Skeletonema marinoi
MTBLS572	Escherichia coli
MTBLS573	Gossypium hirsutum
MTBLS574	"Inga chartacea,Inga acreana,Inga obidensis,Inga alba,Inga coruscans,Inga brachystachys,Inga alata,Inga marginata,Inga auristellae,Inga leiocalycina,Inga laurina,Inga microcoma,Inga pezizifera,Inga umbellifera"
MTBLS575	Zea mays
MTBLS576	Sinorhizobium meliloti
MTBLS577	Schizosaccharomyces pombe
MTBLS578	Schizosaccharomyces pombe
MTBLS579	Homo sapiens
MTBLS581	Cunila
MTBLS582	Homo sapiens
MTBLS591	Homo sapiens
MTBLS597	"Rattus norvegicus,reference compound,Sus scrofa domesticus"
MTBLS598	Homo sapiens
MTBLS602	Mus musculus
MTBLS614	"blank,Mus musculus"
MTBLS616	Homo sapiens
MTBLS618	Solanum lycopersicum
MTBLS619	Dicentrarchus labrax
MTBLS620	Homo sapiens
MTBLS622	"Triticum aestivum,Rhopalosiphum padi"
MTBLS626	"Homo sapiens,Mus musculus"
MTBLS629	Mus musculus
MTBLS630	Pseudomonas aeruginosa
MTBLS631	Mus musculus
MTBLS633	Mus musculus
MTBLS634	Mus musculus
MTBLS640	Mus musculus
MTBLS641	reference compound
MTBLS643	Sus scrofa
MTBLS648	Caenorhabditis elegans
MTBLS650	Mus musculus
MTBLS654	Brassica rapa
MTBLS656	Homo sapiens
MTBLS658	Homo sapiens
MTBLS661	"Mycobacterium tuberculosis,Mycobacterium bovis"
MTBLS664	"Homo sapiens;Plasmodium falciparum,blank,Homo sapiens,Homo sapiens;Plasmodium vivax;Plasmodium falciparum,Homo sapiens;Plasmodium vivax,reference compound"
MTBLS665	"Homo sapiens;NCBITAXON:Plasmodium vivax,Homo sapiens"
MTBLS667	Mus musculus
MTBLS669	Homo sapiens
MTBLS673	Ctenopharyngodon idella
MTBLS674	Mus musculus
MTBLS675	Equus caballus
MTBLS687	"Lolium perenne,Arrhenatherum elatius,Plantago lanceolata,Alopecurus pratensis,Dactylis glomerata,Galium verum,Ranunculus acris,Poa pratensis,blank,Achillea millefolium,derivatisation blank,Galium mollugo,study reference pool"
MTBLS690	Homo sapiens
MTBLS691	"blank,reference compound,Homo sapiens,Macaca mulatta;NCBITAXON:Plasmodium coatneyi"
MTBLS693	Solanum lycopersicum x Solanum pennellii
MTBLS694	"Synthetic,Homo sapiens"
MTBLS696	Mus musculus
MTBLS698	"Photinus pyralis,Aquatica lateralis,Ignelater luminosus"
MTBLS699	"reference compound,Solanum lycopersicum"
MTBLS703	Thalassiosira pseudonana
MTBLS706	"Trypanosoma brucei,standard ,blank"
MTBLS708	Fistulifera pelliculosa
MTBLS720	Bos taurus
MTBLS723	Mus musculus
MTBLS724	Drosophila melanogaster
MTBLS737	"solvent,reference compound,Homo sapiens,Culture Media"
MTBLS743	Homo sapiens
MTBLS750	Mus musculus
MTBLS751	"standard,Pseudomonas aeruginosa"
MTBLS756	Ficus deltoidea
MTBLS757	Cricetulus griseus
MTBLS761	Homo sapiens
MTBLS762	Homo sapiens
MTBLS763	Gallus gallus
MTBLS767	Emiliania huxleyi
MTBLS769	Emiliania huxleyi
MTBLS770	Mus musculus
MTBLS771	"Camellia sinensis,acetonitrile"
MTBLS772	"Camellia sinensis,acetonitrile"
MTBLS773	"Ribes nigrum,blank"
MTBLS780	Saccharomyces cerevisiae
MTBLS788	Staphylococcus aureus
MTBLS789	Homo sapiens
MTBLS793	"Glossina morsitans,blank"
MTBLS797	"Hyacinthoides non-scripta,blank"
MTBLS803	Homo sapiens
MTBLS807	"Saccharomyces cerevisiae,Homo sapiens,Posidonia oceanica,reference compound,Lumbricus terrestris L2"
MTBLS812	"blank,Homo sapiens"
MTBLS826	Artifical sea water
MTBLS836	"buffer,Rattus norvegicus"
MTBLS839	"Artifical water sample,Artifical sea water"
MTBLS841	Bos grunniens
MTBLS843	Marinobacter adhaerens
MTBLS844	sea water
MTBLS848	Artifical sea water
MTBLS849	Artifical sea water
MTBLS862	"Porites compressa,Orbicella faveolata,Acropora cervicornis"
MTBLS867	Rattus norvegicus
MTBLS869	Homo sapiens
