studyID	name	type	iri	ontoName
MTBLS14	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS14	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS14	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS14	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124	XEML
MTBLS15	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS15	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS15	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009	SNOMEDCT
MTBLS15	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	EFO
MTBLS15	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS15	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS15	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS15	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS15	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124	XEML
MTBLS16	Container_after_initiation	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS16	Container_after_04d	Container	http://purl.obolibrary.org/obo/XEO_00040	XEML
MTBLS16	RelativeHumidity_after_04d	Relative humidity	http://purl.bioontology.org/ontology/SNOMEDCT/250829009	SNOMEDCT
MTBLS16	Temperature_after_04d	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	EFO
MTBLS16	Total Light_On_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS16	Total Light_Off_after_04d	duration	http://www.ebi.ac.uk/efo/EFO_0000433	EFO
MTBLS16	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS16	Medium_after_04d	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS16	Watering_after_04d	Watering	http://purl.obolibrary.org/obo/XEO_00124	XEML
MTBLS17	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408	EFO
MTBLS17	Injection	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	EFO
MTBLS17	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS19	Disease	disease	http://www.ebi.ac.uk/efo/EFO_0000408	EFO
MTBLS19	Batch	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	EFO
MTBLS19	Experiment	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS20	Material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	OBI
MTBLS21	Cultivation Year	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	NCIT
MTBLS21	CO2 Concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	CHMO
MTBLS22	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040	XEML
MTBLS22	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS22	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124	XEML
MTBLS24	Time Collected Urine sample	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS24	Acute Kidney Injury	injury	http://www.ebi.ac.uk/efo/EFO_0000546	EFO
MTBLS26	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993	NCIT
MTBLS26	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS27	Disease staging	disease staging	http://www.ebi.ac.uk/efo/EFO_0000410	EFO
MTBLS27	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	EFO
MTBLS27	Sex	sex	http://www.ebi.ac.uk/efo/EFO_0000695	EFO
MTBLS27	Most recent treatment	Therapeutic Procedure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49236	NCIT
MTBLS27	Time elapsed between last chemotherapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS27	Time elapsed between last radiation therapy and serum collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS28	Sample Type	sample	http://purl.obolibrary.org/obo/MS_1000457	MS
MTBLS28	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS28	Race	Race	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049	NCIT
MTBLS28	Smoking	Smoking Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19796	NCIT
MTBLS30	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS30	tissue source	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	NCIT
MTBLS30	feeding	Feeding	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88198	NCIT
MTBLS30	replicate	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	EFO
MTBLS31	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	EFO
MTBLS31	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	EFO
MTBLS31	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	EFO
MTBLS32	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	EFO
MTBLS32	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	EFO
MTBLS32	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	EFO
MTBLS33	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	EFO
MTBLS33	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	EFO
MTBLS33	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	EFO
MTBLS34	Treatment	treatment	http://www.ebi.ac.uk/efo/EFO_0000727	EFO
MTBLS34	Time	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689	EFO
MTBLS34	Dose	dose	http://www.ebi.ac.uk/efo/EFO_0000428	EFO
MTBLS35	growth conditon	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504	NCIT
MTBLS35	harvested	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS35	replication	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS36	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS36	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS36	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS37	Strain	strain	http://www.ebi.ac.uk/efo/EFO_0005135	EFO
MTBLS37	Cell Phase	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS39	Year of Harvesting	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	NCIT
MTBLS39	Vineyard	vineyard	http://purl.obolibrary.org/obo/ENVO_00000116	ENVO
MTBLS39	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS40	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS41	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040	XEML
MTBLS41	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS41	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124	XEML
MTBLS42	Container_after_initiation	ContainerEnum	http://purl.bioontology.org/ontology/XEO/XEO:00040	XEML
MTBLS42	Medium_after_initiation	media	http://www.ebi.ac.uk/efo/EFO_0000579	EFO
MTBLS42	Watering_after_initiation	Watering	http://purl.obolibrary.org/obo/XEO_00124	XEML
MTBLS45	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS47	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS47	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS48	Chemical Exposure 	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS48	time point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS49	Medium	Growth Medium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85504	NCIT
MTBLS49	Cell density	Cell Density	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120538	NCIT
MTBLS50	Sepsis	sepsis	http://www.ebi.ac.uk/efo/EFO_0001420	EFO
MTBLS52	variety	Variety	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62709	NCIT
MTBLS52	drought treatment	drought environment	http://purl.obolibrary.org/obo/EO_0007404	EO
MTBLS52	time point of drought duration	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS53	Incubation time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS53	Renal cancer cells	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	NCIT
MTBLS55	Storage type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS55	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS55	Storage time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS56	Tissue	Tissue	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12801	NCIT
MTBLS56	Development stage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS57	stress	drought tolerance	http://purl.obolibrary.org/obo/TO_0000276	TO
MTBLS57	genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS57	replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	EFO
MTBLS58	Condition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS58	Sample Growth Conditions	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS59	Spiking	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS59	Apple Sample	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS61	ABCC6 genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS61	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS61	Ectonucleotidase inhibition	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS62	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	EFO
MTBLS62	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS62	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	GAZ
MTBLS62	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	OBI
MTBLS62	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS62	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	NCIT
MTBLS63	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	EFO
MTBLS63	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS63	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	GAZ
MTBLS63	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	OBI
MTBLS63	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS63	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	NCIT
MTBLS64	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	EFO
MTBLS64	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS64	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	GAZ
MTBLS64	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	OBI
MTBLS64	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS64	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	NCIT
MTBLS65	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	EFO
MTBLS65	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS65	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	GAZ
MTBLS65	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	OBI
MTBLS65	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS65	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	NCIT
MTBLS66	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	EFO
MTBLS66	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS66	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	GAZ
MTBLS66	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	OBI
MTBLS66	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS66	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	NCIT
MTBLS67	Time in nitrogen starvation	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS68	Genotype	germline genotype	http://www.ebi.ac.uk/efo/EFO_0004973	EFO
MTBLS68	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS68	Country of origin	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	GAZ
MTBLS68	Population ID	population	http://purl.obolibrary.org/obo/OBI_0000181	OBI
MTBLS68	Type	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS68	MFFGC accession no.	Accession Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25402	NCIT
MTBLS69	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	EFO
MTBLS70	Plant tissue	plant ontology	PO:0009075	
MTBLS71	sample treatment protocol	sample treatment protocol	http://www.ebi.ac.uk/efo/EFO_0003809	EFO
MTBLS71	gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS72	Cognitive Status	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS73	Cultivars	cultivar	http://www.ebi.ac.uk/efo/EFO_0005136	EFO
MTBLS73	Sample Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS73	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS73	Acquisition date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	NCIT
MTBLS75	Primary Phototrophic cyanobacteria	organism	http://purl.obolibrary.org/obo/OBI_0100026	OBI
MTBLS75	Harvesting Time	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS75	Experimental Replication	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	EFO
MTBLS76	Sample Type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS76	Batch Number	Batch Number	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104504	NCIT
MTBLS76	Plate Position	position	http://purl.obolibrary.org/obo/PATO_0000140	PATO
MTBLS77	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	EFO
MTBLS77	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS77	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS79	Batch	block	http://www.ebi.ac.uk/efo/EFO_0005067	EFO
MTBLS81	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS81	Nutritional status	Nutritional Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17993	NCIT
MTBLS81	Age at sacrifice	age	http://www.ebi.ac.uk/efo/EFO_0000246	EFO
MTBLS85	Addition of TEA	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	NCIT
MTBLS85	Storage	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS86	EthAc percentage	volume percentage	http://purl.obolibrary.org/obo/UO_0000165	UO
MTBLS86	Sample type	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS87	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	OBI
MTBLS88	material sample	material sample	http://purl.obolibrary.org/obo/OBI_0000747	OBI
MTBLS89	Client Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	NCIT
MTBLS89	Run day	Day	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25301	NCIT
MTBLS89	Column number	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	NCIT
MTBLS89	Subject Identifier	Identifier	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364	NCIT
MTBLS89	Challenge	Challenge	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78166	NCIT
MTBLS89	Challenge Day	day	http://purl.obolibrary.org/obo/UO_0000033	UO
MTBLS89	Time of Day	time	http://www.ebi.ac.uk/efo/EFO_0000721	EFO
MTBLS89	Time Point	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS90	injection number	technical replicate	http://www.ebi.ac.uk/efo/EFO_0002090	EFO
MTBLS90	spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559	MS
MTBLS90	Age	age	http://www.ebi.ac.uk/efo/EFO_0000246	EFO
MTBLS90	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS90	Rmsd	Root-mean-square deviation	http://edamontology.org/data_1497	EDAM
MTBLS90	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	NCIT
MTBLS90	Season of sample collection	Season	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94729	NCIT
MTBLS91	treatment days	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
MTBLS91	temperature	temperature	http://www.ebi.ac.uk/efo/EFO_0001702	EFO
MTBLS91	CO2 concentration	concentration	http://purl.obolibrary.org/obo/CHMO_0002820	CHMO
MTBLS92	Chemotherapy response	Yes, No, or Unknown Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38148	NCIT
MTBLS92	Series	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS92	Timepoint	Group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	NCIT
MTBLS92	T-stage	tumor stage	http://www.ebi.ac.uk/efo/EFO_0004925	EFO
MTBLS92	N-stage	N stage	http://www.ebi.ac.uk/efo/EFO_0004927	EFO
MTBLS92	Her2	HER2 status	http://www.ebi.ac.uk/efo/EFO_0005514	EFO
MTBLS92	Grade	Tumor Regression Grade	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106304	NCIT
MTBLS92	ER	estrogen receptor status	http://www.ebi.ac.uk/efo/EFO_0005512	EFO
MTBLS92	Menopause	Menopausal Status	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16151	NCIT
MTBLS92	BMI	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	EFO
MTBLS93	Injection number	technical replicate	http://purl.obolibrary.org/obo/MS_1001808	MS
MTBLS93	Spectrum type	spectrum type	http://purl.obolibrary.org/obo/MS_1000559	MS
MTBLS93	Gender	Gender	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17357	NCIT
MTBLS93	Age	Age	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150	NCIT
MTBLS93	RMSD	Standard Deviation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53322	NCIT
MTBLS93	Analysis date	Date	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25164	NCIT
MTBLS94	Arabidopsis	Plant cell	http://purl.obolibrary.org/obo/PO_0009002	PO
MTBLS94	whole plant development stage	Whole plant development stage	http://purl.obolibrary.org/obo/po#wholePlantDevelopmentStage	
MTBLS94	Replicate	biological replicate	http://www.ebi.ac.uk/efo/EFO_0002091	EFO
MTBLS95	Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	EFO
MTBLS95	Replicate	replicate	http://www.ebi.ac.uk/efo/EFO_0000683	EFO
MTBLS96	Infection	Yes or No Response	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38147	NCIT
MTBLS96	Sample Collection	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724	EFO
