StudyID	1D/2D	Technique
MTBLS626	1D	"1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr);2D HSQC using echo-antiecho-TPPI gradient selection, constant time, trim pulses, shaped pulses for inversion, no refocussing, off-resonance pulse (hsqcctetgpsp.2)"
MTBLS640	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS643	1D	1D 1H spectrum (zg)
MTBLS643	2D	2D Interleaved Ultrafast COSY (iufcosy)
MTBLS643	2D	2D Zero-quantum-filtered total correlation spectra (zTOCSY-em-3)
MTBLS654	1D	1D 1H with presaturation (presat)
MTBLS658	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS667	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS667	1D	1D NOESY with presaturation (noesypr1d)
MTBLS669	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS675	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS694	1D	noesygppr1d
MTBLS720	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS723	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
