studyID	factor
MTBLS13	Total Light_100pc_after_initiation
MTBLS13	Total Light_0pc_after_initiation
MTBLS13	Total Light_100pc_after_07d
MTBLS13	Total Light_0pc_after_07d
MTBLS13	Medium_after_initiation
MTBLS13	Medium_after_14d
MTBLS14	Container_after_initiation
MTBLS14	Container_after_04d
MTBLS14	RelativeHumidity_after_04d
MTBLS14	Salt_Quantity_after_initiation
MTBLS14	Salt_Quantity_after_08d
MTBLS14	Salt_Quantity_after_12d
MTBLS14	Salt_Quantity_after_16d
MTBLS14	Temperature_after_04d
MTBLS14	Total Light_On_after_04d
MTBLS14	Total Light_Off_after_04d
MTBLS14	Medium_after_initiation
MTBLS14	Medium_after_04d
MTBLS14	Watering_after_04d
MTBLS15	Container_after_initiation
MTBLS15	Container_after_04d
MTBLS15	RelativeHumidity_after_04d
MTBLS15	Salt_Quantity_after_initiation
MTBLS15	Salt_Quantity_after_08d
MTBLS15	Salt_Quantity_after_12d
MTBLS15	Salt_Quantity_after_16d
MTBLS15	Temperature_after_04d
MTBLS15	Total Light_On_after_04d
MTBLS15	Total Light_Off_after_04d
MTBLS15	Medium_after_initiation
MTBLS15	Medium_after_04d
MTBLS15	Watering_after_04d
MTBLS16	Container_after_initiation
MTBLS16	Container_after_04d
MTBLS16	RelativeHumidity_after_04d
MTBLS16	Salt_Quantity_after_initiation
MTBLS16	Salt_Quantity_after_08d
MTBLS16	Salt_Quantity_after_12d
MTBLS16	Salt_Quantity_after_16d
MTBLS16	Temperature_after_04d
MTBLS16	Total Light_On_after_04d
MTBLS16	Total Light_Off_after_04d
MTBLS16	Medium_after_initiation
MTBLS16	Medium_after_04d
MTBLS16	Watering_after_04d
MTBLS17	Disease
MTBLS17	Injection
MTBLS17	Experiment
MTBLS18	Genotype
MTBLS18	Treatment
MTBLS18	Sampling time
MTBLS18	Replicate
MTBLS19	Disease
MTBLS19	Batch
MTBLS19	Experiment
MTBLS20	Material sample
MTBLS21	Cultivation Year
MTBLS21	CO2 Concentration
MTBLS22	Container_after_initiation
MTBLS22	Salt_Quantity_after_initiation
MTBLS22	Salt_Quantity_after_04d
MTBLS22	Salt_Quantity_after_08d
MTBLS22	Salt_Quantity_after_12d
MTBLS22	Salt_Quantity_after_16d
MTBLS22	Medium_after_initiation
MTBLS22	Watering_after_initiation
MTBLS23	Treatment
MTBLS24	Time Collected Urine sample
MTBLS24	Acute Kidney Injury
MTBLS26	Nutritional status
MTBLS26	Genotype
MTBLS27	Disease staging
MTBLS27	Age
MTBLS27	Sex
MTBLS27	Most recent treatment
MTBLS27	Time elapsed between last chemotherapy and serum collection
MTBLS27	Time elapsed between last radiation therapy and serum collection
MTBLS28	Sample Type
MTBLS28	Gender
MTBLS28	Race
MTBLS28	Smoking
MTBLS29	Treatment
MTBLS29	Level measurement type
MTBLS29	Cell number
MTBLS29	Glucose source
MTBLS29	Cell line
MTBLS29	Timepoint
MTBLS30	genotype
MTBLS30	tissue source
MTBLS30	feeding
MTBLS30	replicate
MTBLS31	Treatment
MTBLS31	Time
MTBLS31	Dose
MTBLS32	Treatment
MTBLS32	Time
MTBLS32	Dose
MTBLS33	Treatment
MTBLS33	Time
MTBLS33	Dose
MTBLS34	Treatment
MTBLS34	Time
MTBLS34	Dose
MTBLS35	growth conditon
MTBLS35	harvested
MTBLS35	replication
MTBLS36	Cultivars
MTBLS36	Sample Time
MTBLS36	Batch
MTBLS37	Strain
MTBLS37	Cell Phase
MTBLS39	Year of Harvesting
MTBLS39	Vineyard
MTBLS39	Replicate
MTBLS40	Genotype
MTBLS41	Container_after_initiation
MTBLS41	Salt_Quantity_after_initiation
MTBLS41	Salt_Quantity_after_04d
MTBLS41	Salt_Quantity_after_08d
MTBLS41	Salt_Quantity_after_12d
MTBLS41	Salt_Quantity_after_16d
MTBLS41	Medium_after_initiation
MTBLS41	Watering_after_initiation
MTBLS42	Container_after_initiation
MTBLS42	Salt_Quantity_after_initiation
MTBLS42	Salt_Quantity_after_04d
MTBLS42	Salt_Quantity_after_08d
MTBLS42	Salt_Quantity_after_12d
MTBLS42	Salt_Quantity_after_16d
MTBLS42	Medium_after_initiation
MTBLS42	Watering_after_initiation
MTBLS43	Salt_Quantity_after_initiation
MTBLS43	Salt_Quantity_after_08d
MTBLS43	Salt_Quantity_after_12d
MTBLS43	Salt_Quantity_after_16d
MTBLS44	Salt_Quantity_after_initiation
MTBLS44	Salt_Quantity_after_08d
MTBLS44	Salt_Quantity_after_12d
MTBLS44	Salt_Quantity_after_16d
MTBLS45	Genotype
MTBLS46	cardiovascular risk status
MTBLS46	gender
MTBLS47	Genotype
MTBLS47	Batch
MTBLS48	Chemical Exposure 
MTBLS48	time point
MTBLS49	Medium
MTBLS49	Cell density
MTBLS50	Sepsis
MTBLS50	Sepsis Outcome
MTBLS50	Time
MTBLS50	Validation
MTBLS51	Sepsis
MTBLS51	Sepsis Outcome
MTBLS51	Time
MTBLS51	Validation
MTBLS52	variety
MTBLS52	drought treatment
MTBLS52	time point of drought duration
MTBLS53	Incubation time
MTBLS53	Renal cancer cells
MTBLS54	Salt_Quantity_after_initiation
MTBLS54	Salt_Quantity_after_08d
MTBLS54	Salt_Quantity_after_12d
MTBLS54	Salt_Quantity_after_16d
MTBLS55	Storage type
MTBLS55	Sample type
MTBLS55	Storage time
MTBLS56	Tissue
MTBLS56	Development stage
MTBLS57	stress
MTBLS57	genotype
MTBLS57	replicate
MTBLS58	Condition
MTBLS58	Sample Growth Conditions
MTBLS59	Spiking
MTBLS59	Apple Sample
MTBLS60	ID
MTBLS60	Male
MTBLS60	Age
MTBLS60	nICA
MTBLS60	nMIAA
MTBLS60	nmIAA
MTBLS60	nGADA
MTBLS60	nIA2A
MTBLS60	SampleAge
MTBLS60	IsSeroc
MTBLS60	Time2Diag
MTBLS60	Diagnosis
MTBLS60	nIAA
MTBLS60	Age122days
MTBLS60	MO 
MTBLS61	ABCC6 genotype
MTBLS61	Gender
MTBLS61	Ectonucleotidase inhibition
MTBLS62	Genotype
MTBLS62	Replicate
MTBLS63	Genotype
MTBLS63	Replicate
MTBLS64	Genotype
MTBLS64	Replicate
MTBLS65	Genotype
MTBLS65	Replicate
MTBLS66	Genotype
MTBLS66	Replicate
MTBLS67	Time in nitrogen starvation
MTBLS68	Genotype
MTBLS68	Replicate
MTBLS69	Replicate
MTBLS70	Plant tissue
MTBLS71	sample treatment protocol
MTBLS71	gender
MTBLS72	Cognitive Status
MTBLS73	Cultivars
MTBLS73	Sample Time
MTBLS73	Batch
MTBLS73	Acquisition date
MTBLS74	Extraction replicate
MTBLS74	Injection replicate
MTBLS75	Primary Phototrophic cyanobacteria
MTBLS75	Harvesting Time
MTBLS75	Experimental Replication
MTBLS76	Sample Type
MTBLS76	Batch Number
MTBLS76	Plate Position
MTBLS77	Age
MTBLS77	Genotype
MTBLS77	Gender
MTBLS79	Batch
MTBLS81	Genotype
MTBLS81	Nutritional status
MTBLS81	Total Protein in LD
MTBLS81	Total acylglycerol in LD
MTBLS81	Age at sacrifice
MTBLS83	gender
MTBLS84	gender
MTBLS85	Addition of TEA
MTBLS85	Storage
MTBLS86	EthAc percentage
MTBLS86	Sample type
MTBLS87	material sample
MTBLS88	material sample
MTBLS89	Client Identifier
MTBLS89	Run day
MTBLS89	Column number
MTBLS89	OSMO
MTBLS89	Subject Identifier
MTBLS89	Challenge
MTBLS89	Challenge Day
MTBLS89	Challenge Time of Day
MTBLS89	Time of Day
MTBLS89	Time Point
MTBLS90	injection number
MTBLS90	spectrum type
MTBLS90	Age
MTBLS90	Gender
MTBLS90	Rmsd
MTBLS90	Analysis date
MTBLS90	Season of sample collection
MTBLS91	treatment days
MTBLS91	temperature
MTBLS91	CO2 concentration
MTBLS92	Chemotherapy response
MTBLS92	Series
MTBLS92	Timepoint
MTBLS92	T-stage
MTBLS92	N-stage
MTBLS92	Her2
MTBLS92	Grade
MTBLS92	ER
MTBLS92	Menopause
MTBLS92	BMI
MTBLS93	Injection number
MTBLS93	Spectrum type
MTBLS93	Gender
MTBLS93	Age
MTBLS93	RMSD
MTBLS93	Analysis date
MTBLS93	Cluster effect
MTBLS94	Arabidopsis
MTBLS94	whole plant development stage
MTBLS94	Replicate
MTBLS95	Genotype
MTBLS95	Replicate
MTBLS96	Infection
MTBLS96	Sample Collection
MTBLS96	Experimental Group
MTBLS97	Smoking
MTBLS97	Age
MTBLS97	Gender
MTBLS97	Diastolic Blood Pressure
MTBLS97	Systolic Blood Pressure
MTBLS97	BMI
MTBLS98	Genotype
MTBLS98	infection stage
MTBLS99	Sample type
MTBLS99	Apple number
MTBLS99	Replicate
MTBLS99	Batch
MTBLS99	Injection number
MTBLS100	control sample group
MTBLS101	Gender
MTBLS102	host cell line
MTBLS103	HIAE
MTBLS104	Neuropeptide Y and Y2 receptorblocker treatment
MTBLS105	Disease
MTBLS105	Batch
MTBLS106	Cell line
MTBLS107	Phytohormones
MTBLS107	Carotenoids
MTBLS108	Phytohormones
MTBLS108	Carotenoids
MTBLS109	Phytohormones
MTBLS109	Carotenoids
MTBLS110	Phytohormones
MTBLS110	Carotenoids
MTBLS111	Phytohormones
MTBLS111	Carotenoids
MTBLS112	Treatment
MTBLS112	Time point
MTBLS112	Genotype
MTBLS113	Euglena strain
MTBLS113	Anoxia incubation time
MTBLS113	Carbonate addition
MTBLS113	Culture days before anoxia incubation
MTBLS113	Colour
MTBLS113	Temperature
MTBLS114	Caloric restriction
MTBLS115	tRNA mistranslation
MTBLS115	cell growth phase
MTBLS116	Experiment 
MTBLS116	Treatment
MTBLS116	Variability Level
MTBLS117	Time point
MTBLS117	Infection
MTBLS117	Replicate
MTBLS118	Time point
MTBLS118	Infection
MTBLS118	Replicate
MTBLS119	Growth Year
MTBLS119	Genotype
MTBLS120	Mutation
MTBLS120	Chemotype
MTBLS123	Survival
MTBLS123	Treatment
MTBLS123	Timepoint
MTBLS124	Injection number
MTBLS124	Spectrum type
MTBLS124	RMSD
MTBLS124	Analysis date
MTBLS124	Plate effect
MTBLS124	Age
MTBLS124	Gender
MTBLS125	Treatment
MTBLS125	Tissue
MTBLS126	Base
MTBLS126	Tissue
MTBLS127	Cell line
MTBLS127	Resveratrol concentration
MTBLS128	strain
MTBLS128	replicate
MTBLS129	Genotype
MTBLS129	Time
MTBLS131	Development stage
MTBLS131	Truss number
MTBLS132	Development stage
MTBLS132	Truss number
MTBLS135	gender
MTBLS136	Gender
MTBLS136	AgeAtBloodDraw
MTBLS136	CurrentPMH
MTBLS136	Secondary identifier
MTBLS137	Variety
MTBLS137	Country
MTBLS138	gender
MTBLS140	Dose
MTBLS140	Time point
MTBLS140	Replicate
MTBLS141	compound
MTBLS141	Time
MTBLS142	Compound origin
MTBLS142	Compound origin part
MTBLS143	TreatPhase1
MTBLS143	TreatPhase2
MTBLS143	ExposureDurationPhase1
MTBLS143	ExposureDurationPhase2
MTBLS143	TestItemPhase1
MTBLS143	TestItemPhase2
MTBLS144	control
MTBLS144	time
MTBLS145	Exercise protocol
MTBLS145	Time
MTBLS146	Run order
MTBLS146	Batch number
MTBLS146	Pregnancy duration
MTBLS146	Weight
MTBLS146	Height
MTBLS146	Current chronological age
MTBLS148	Experiment
MTBLS148	Preservative
MTBLS148	Timepoint
MTBLS148	Temperature
MTBLS148	Polarity
MTBLS148	Sample type
MTBLS148	Injection order
MTBLS149	cholestasis
MTBLS149	treatment with HLJDD
MTBLS150	Cell Type
MTBLS150	Peturbation
MTBLS150	Time Point
MTBLS151	genotype
MTBLS151	brown planthopper treatment
MTBLS151	time course
MTBLS151	replicate
MTBLS152	Cell Type
MTBLS152	Time Point
MTBLS153	Treatment
MTBLS153	Time point
MTBLS153	Genotype
MTBLS154	control
MTBLS154	time
MTBLS154	inorganic phosphate
MTBLS155	control
MTBLS155	time
MTBLS156	drug treatment
MTBLS156	cell type
MTBLS156	incubation time
MTBLS157	control
MTBLS157	time
MTBLS157	carbon source
MTBLS158	gender
MTBLS159	gender
MTBLS160	Genotype
MTBLS160	Replicate
MTBLS161	Chronic Fatigue Syndrome
MTBLS162	Disease State
MTBLS162	BMI
MTBLS162	Age
MTBLS162	Gender
MTBLS163	Endocannabinoid class
MTBLS163	Plasma fraction
MTBLS163	Replicate
MTBLS164	Exercise
MTBLS164	Diabetes
MTBLS164	Day
MTBLS165	Panda mother
MTBLS165	Mother age
MTBLS165	Timepoint
MTBLS167	Colour
MTBLS167	Year
MTBLS167	Classification
MTBLS167	Accession ID
MTBLS168	OD600
MTBLS168	Replicate
MTBLS168	Deletion
MTBLS169	Genotype
MTBLS170	MRSA_inhibition
MTBLS170	SA_inhibition
MTBLS171	Derivatisation reagent
MTBLS171	Derivatisation
MTBLS173	Genotype
MTBLS173	Age
MTBLS173	Diet
MTBLS174	Metabolic syndrome
MTBLS174	Steatosis 
MTBLS174	Gender
MTBLS174	BMI
MTBLS174	Age
MTBLS175	Experimental Group
MTBLS175	MeJA treatment 
MTBLS176	Colorectal Adenocarcinoma
MTBLS176	Mouse kidney
MTBLS176	Mouse pancreas
MTBLS176	Human OSCC
MTBLS176	Microbial interaction
MTBLS177	compound
MTBLS177	dose
MTBLS177	time post exposure
MTBLS178	Sasang Constitution
MTBLS178	Gender
MTBLS178	Age
MTBLS179	gender
MTBLS180	gender
MTBLS181	gender
MTBLS182	Tracer
MTBLS183	Incubation time
MTBLS183	Oligomycin
MTBLS183	Glutamine
MTBLS183	Tracer
MTBLS184	Incubation time
MTBLS184	Tracer
MTBLS185	Glucocorticoids
MTBLS186	gender
MTBLS187	Time collected
MTBLS187	Sample Replicate
MTBLS187	Technical Replicate Number
MTBLS188	matrix
MTBLS188	spike-in concentration
MTBLS189	area
MTBLS189	drug intervention
MTBLS190	TCM
MTBLS190	 Cardioprotection
MTBLS191	Time
MTBLS193	Time
MTBLS193	Origin
MTBLS193	Batch
MTBLS194	Sample Matrix
MTBLS195	genotype
MTBLS195	replicate
MTBLS196	Time Collected
MTBLS196	Tissue
MTBLS196	Virus
MTBLS197	Genotype
MTBLS198	Diet
MTBLS198	Time
MTBLS198	Batch
MTBLS199	Sample type
MTBLS200	CA Type
MTBLS200	Timepoint
MTBLS200	Outcome
MTBLS200	Dis-free survival
MTBLS200	Overall survival
MTBLS200	Dis. Prog
MTBLS200	Staging
MTBLS201	gender
MTBLS203	Collision energy
MTBLS204	gender
MTBLS205	gender
MTBLS206	gender
MTBLS207	gender
MTBLS208	Nitrogen deprivation
MTBLS209	tissue
MTBLS209	species
MTBLS209	domestication
MTBLS210	Infection
MTBLS211	Batch
MTBLS211	Condition
MTBLS211	Replicate
MTBLS212	Treatment
MTBLS212	Time
MTBLS213	D-glucose
MTBLS213	Label
MTBLS214	Osmolarity
MTBLS214	Replicate
MTBLS215	Ionisation
MTBLS216	Experimental Group
MTBLS217	Experimental Group
MTBLS218	Time
MTBLS218	Visit
MTBLS219	AQP9
MTBLS219	Sex
MTBLS220	gender
MTBLS221	gender
MTBLS222	encephalopathy
MTBLS222	phase
MTBLS223	Sample Type
MTBLS224	Region
MTBLS224	Extract
MTBLS225	Treatment
MTBLS225	Replicate
MTBLS225	Dose
MTBLS226	compound
MTBLS226	dose
MTBLS226	time post exposure
MTBLS227	Biol. Replicate
MTBLS227	Tech. replicate
MTBLS227	Tumour site
MTBLS227	Stage
MTBLS227	CDX1/Villin
MTBLS227	Sample type
MTBLS228	incubation time
MTBLS229	incubation time
MTBLS230	Cell Culture Media
MTBLS231	Age at PSA
MTBLS231	Prostate Cancer Diagnosed
MTBLS231	BMI
MTBLS231	PSA Level
MTBLS231	Baseline PSA Level
MTBLS231	Cohort/Study
MTBLS231	Height
MTBLS231	Weight
MTBLS231	Genetic Status
MTBLS232	Visit
MTBLS232	Treatment
MTBLS232	Gender
MTBLS232	Age
MTBLS232	BMI
MTBLS232	polyps_recurrence
MTBLS232	Red meat intake
MTBLS232	Processed red meat
MTBLS232	pre_largest_polyp_removed
MTBLS232	Sample type
MTBLS233	Time point
MTBLS233	Dose
MTBLS233	Replicate
MTBLS233	Scan range
MTBLS234	spike-in concentration
MTBLS234	replicate
MTBLS235	simulated detector noise
MTBLS235	simulated mass error
MTBLS235	simulated error profile distortion
MTBLS236	PD0332991
MTBLS236	3-13C-glutamine
MTBLS237	Diagnosis
MTBLS237	Age
MTBLS237	age at diagnosis
MTBLS237	Years with disease 
MTBLS237	Family disposition
MTBLS237	Smoker
MTBLS237	Steroid response
MTBLS237	Steroid dependency
MTBLS237	HB-score
MTBLS237	Mayo-score
MTBLS237	Extraintestinal manifestations
MTBLS237	Asetylsalicylic acid
MTBLS237	Local Asetylsalicylic acid
MTBLS237	Azathioprine
MTBLS237	6-mercaptopurine
MTBLS237	Salazopurine
MTBLS237	Systemic steroids
MTBLS237	Local steroids
MTBLS237	Infliximab 
MTBLS237	Disease Characterisation 
MTBLS237	Extension
MTBLS238	Training
MTBLS238	Healthy Controls
MTBLS238	Before or After Training
MTBLS239	Disease
MTBLS239	Status
MTBLS239	Infusion Date
MTBLS239	Harvey Bradshaw index and Perianal Disease Activity Index Mayo score 
MTBLS239	Hemoglobine
MTBLS239	CRP
MTBLS239	Gender
MTBLS239	Age at sampling
MTBLS239	Steroid Response
MTBLS239	Smoking
MTBLS239	Extra Intestinal Manifestations
MTBLS239	Surgery
MTBLS239	Age at diagnosis
MTBLS239	Duration of Disease before Initiation
MTBLS239	Fistulizing disease
MTBLS239	Stenosis
MTBLS239	Extent 
MTBLS239	Medication at initiation
MTBLS239	Change in medication
MTBLS239	Azathioprine
MTBLS239	Local Asetylsalicylic acid
MTBLS239	Systemic steroid treatment
MTBLS239	Local steroids
MTBLS239	Ciproxin
MTBLS239	LSB
MTBLS239	Systemic aminosalicylic acid
MTBLS239	Isoniazid
MTBLS239	Enterocort
MTBLS239	Metronidazol
MTBLS239	MTX
MTBLS240	Diet
MTBLS241	tracer
MTBLS242	time point
MTBLS243	Control
MTBLS244	ID8 coculture
MTBLS244	tracer
MTBLS244	incubation time
MTBLS245	age at 1st manifestation
MTBLS245	disease duration
MTBLS245	genetic mutation present
MTBLS245	genetic mutation
MTBLS245	proteinuria status
MTBLS245	study group
MTBLS245	final response
MTBLS245	Chronic Kidney Disease stage
MTBLS245	Glomerular Filtration Rate
MTBLS245	current medication
MTBLS245	Gender
MTBLS246	age at 1st manifestation
MTBLS246	disease duration
MTBLS246	genetic mutation present
MTBLS246	Genetic mutation
MTBLS246	proteinuria status
MTBLS246	Study Group
MTBLS246	final response
MTBLS246	Chronic Kidney Disease stage
MTBLS246	Glomerular Filtration Rate
MTBLS246	current medication
MTBLS246	Gender
MTBLS247	Substrate
MTBLS247	Labeling
MTBLS248	group
MTBLS248	protease inhibitor
MTBLS248	injection order
MTBLS249	COPD Diagnosis
MTBLS249	COPD Status
MTBLS249	Pre or Post Training visit
MTBLS249	Pre or Post-exercise
MTBLS249	Smoking Status
MTBLS249	Age
MTBLS249	Gender
MTBLS249	BMI b/t
MTBLS249	BMI a/t
MTBLS249	FFMI b/t
MTBLS249	FFMI a/t
MTBLS249	FEV
MTBLS249	FEV pred
MTBLS249	FEV/FVC ratio
MTBLS249	complex index b/t
MTBLS249	complex index a/t
MTBLS249	TLC b/t
MTBLS249	TLC pred b/t
MTBLS249	RV b/t
MTBLS249	RV pred b/t
MTBLS249	IC b/t
MTBLS249	IC pred b/t
MTBLS249	IC/TLC ratio
MTBLS249	DLCO b/t
MTBLS249	DLCO pred b/t
MTBLS249	PaO2
MTBLS249	PaCO2
MTBLS249	VO2 Peak b/t
MTBLS249	VO2 Peak b/t ml/min
MTBLS249	VO2 Peak pred b/t
MTBLS249	VO2 Peak a/t
MTBLS249	VO2 Peak a/t ml/min
MTBLS249	VO2 Peak pred a/t
MTBLS249	workload b/t
MTBLS249	workload a/t
MTBLS249	MVV b/t
MTBLS249	MVV pred b/t
MTBLS249	MVV a/t
MTBLS249	MVV pred a/t
MTBLS249	heart rate b/t
MTBLS249	heart rate pred b/t
MTBLS249	heart rate a/t
MTBLS249	heart rate pred a/t
MTBLS249	Lactate b/t b/e
MTBLS249	Lactate b/t a/e
MTBLS249	Lactate a/t b/e
MTBLS249	Lactate a/t a/e
MTBLS249	Walk b/t
MTBLS249	Walk a/t
MTBLS250	protease inhibitor
MTBLS250	group
MTBLS250	injection order
MTBLS251	phenotype
MTBLS252	diet
MTBLS252	compound
MTBLS252	dose
MTBLS252	duration
MTBLS253	control
MTBLS253	phase
MTBLS254	Diet
MTBLS254	Subject
MTBLS254	Week
MTBLS254	Day
MTBLS254	Time
MTBLS255	gender
MTBLS256	age
MTBLS256	disease state
MTBLS257	genotype
MTBLS257	Age
MTBLS257	Batch
MTBLS258	Diet
MTBLS258	Compound
MTBLS258	physiological state
MTBLS259	Photoperiod
MTBLS260	Treatment group
MTBLS260	Concentration
MTBLS261	age
MTBLS261	genotype
MTBLS262	treatment
MTBLS262	duration
MTBLS263	Injection replicate
MTBLS263	Preparation replicate
MTBLS264	sample material
MTBLS264	volunteer
MTBLS264	timepoint
MTBLS265	Subject
MTBLS265	Age group
MTBLS266	Subject
MTBLS266	Age group
MTBLS267	Subject
MTBLS267	Age group
MTBLS268	Volunteer
MTBLS268	Sample material 
MTBLS268	Fasting time
MTBLS269	Mice
MTBLS269	Sample material
MTBLS269	Fasting time
MTBLS270	Variety
MTBLS270	Temperature of forcing
MTBLS270	Duration of forcing
MTBLS271	Anatomical brain region
MTBLS272	Treatment
MTBLS272	Time
MTBLS272	Experimental groups
MTBLS273	Adipose tissue
MTBLS273	Connective tissue
MTBLS273	Glandular tissue
MTBLS273	Stroma tissue
MTBLS273	Tumour
MTBLS274	Sample type
MTBLS275	Chemical exposure
MTBLS276	Pulldown
MTBLS276	Replicate
MTBLS277	Time point
MTBLS277	Nano material
MTBLS277	Replicate
MTBLS278	Dose
MTBLS278	Group
MTBLS279	control
MTBLS279	phase
MTBLS280	control
MTBLS280	phase
MTBLS281	Sample Type
MTBLS281	Replicate
MTBLS282	Section location
MTBLS283	Control/Ikaros
MTBLS283	Timepoint
MTBLS283	Batch
MTBLS284	gender
MTBLS285	Subject
MTBLS285	Replicate
MTBLS285	Temperature
MTBLS285	Spectrometer
MTBLS285	Tartrate concentation
MTBLS286	rice seed developmental stage
MTBLS286	different cultivar
MTBLS287	rice seed developmental stage
MTBLS287	different cultivar
MTBLS288	rice seed developmental stage
MTBLS288	different cultivar
MTBLS289	Patient ID
MTBLS289	Tissue type
MTBLS289	Tissue location
MTBLS289	Specimen
MTBLS289	Year analysed
MTBLS290	Sample collection time
MTBLS290	Sample type
MTBLS291	Replicate
MTBLS292	harvesting time
MTBLS292	siRNA
MTBLS292	replicate
MTBLS293	replicate
MTBLS293	sampling date
MTBLS295	Sample Type
MTBLS296	metabolomics/lipidomics
MTBLS297	Genotype
MTBLS297	Organ
MTBLS298	liver fat
MTBLS298	Replicate
MTBLS298	low dose insulin infusion
MTBLS298	serum type
MTBLS298	Patient
MTBLS299	gender
MTBLS300	gender
MTBLS301	gender
MTBLS302	gender
MTBLS303	Dose
MTBLS303	Group
MTBLS304	Group
MTBLS306	Participant
MTBLS306	Exercise set
MTBLS306	Sampling time
MTBLS307	Age
MTBLS307	Diabetes
MTBLS307	Gender
MTBLS307	mzXML conversion mode
MTBLS308	Dose
MTBLS308	group
MTBLS309	Bicarbonate treatment
MTBLS309	Cell type
MTBLS309	Replicate
MTBLS309	Incubation
MTBLS310	gender
MTBLS311	Bicarbonate treatment
MTBLS311	Light condition
MTBLS311	Bicarbonate concentration
MTBLS311	Incubation
MTBLS311	Replicate
MTBLS312	Carbon dioxide treatment
MTBLS312	Incubation
MTBLS312	Replicate
MTBLS313	mouse status
MTBLS314	age
MTBLS314	genotype
MTBLS315	patient group
MTBLS315	blood glucose
MTBLS315	diff_basophils
MTBLS315	diff_eosinophils
MTBLS315	diff_monocytes
MTBLS315	diff_lymphocytes
MTBLS315	diff_neutrophils
MTBLS315	platelet count
MTBLS315	mean corpuscular hemoglobin concentration
MTBLS315	mean corpuscular hemoglobin
MTBLS315	mean corpuscular volume
MTBLS315	hematocrit
MTBLS315	hemoglobin
MTBLS315	total red blood cell count
MTBLS315	total white blood cell count
MTBLS315	P. falciparum parasite density
MTBLS315	temperature
MTBLS315	duration illness prior to hospital admission
MTBLS315	height
MTBLS315	weight
MTBLS315	age
MTBLS315	Gender
MTBLS315	malaria rapid diagnostic test
MTBLS315	clinical outcome
MTBLS315	severe malnutrition
MTBLS315	prior antimalaria treatment
MTBLS315	prior antibiotic treatment
MTBLS316	glucose
MTBLS316	replicate
MTBLS317	status
MTBLS318	gender
MTBLS319	Gene knockout
MTBLS319	Stress
MTBLS319	Time
MTBLS320	geneknockout
MTBLS320	stress
MTBLS320	time
MTBLS321	Disease
MTBLS322	Nandrolone duration
MTBLS322	Nandrolone dose
MTBLS322	Tendon release
MTBLS322	Tendon reattachment
MTBLS323	Sample type
MTBLS323	Plate number
MTBLS323	Plate position
MTBLS324	diet
MTBLS324	event
MTBLS324	subject
MTBLS324	week
MTBLS324	day
MTBLS324	timepoint
MTBLS324	gender
MTBLS325	Sample material
MTBLS325	Fasting time
MTBLS325	Experiment
MTBLS326	IP3R expression
MTBLS327	diet
MTBLS327	genotype
MTBLS328	coculture
MTBLS328	anaerobic
MTBLS328	control
MTBLS328	Caco2
MTBLS328	Lactobacillus rhamnosus LGG
MTBLS328	Bacteroides caccae
MTBLS330	Tissue
MTBLS330	Life cycle stage
MTBLS330	Genotype
MTBLS331	Purity
MTBLS332	GM41
MTBLS332	BT03
MTBLS333	Colour
MTBLS333	Cultivar
MTBLS333	Cultivation Year
MTBLS333	Location
MTBLS333	Storage conditions
MTBLS333	Freezing method
MTBLS334	Treatment 
