Study Submission Date	MTBLS ID	Study Type	Species	Study Publication Date	Status	Submitter Name	Place Holder	WND	Assigned to	Isatab completeness	Metabolites Added	Additional files	Paper	PMID/DOI	Data in repository	Last Updated Date	Google Drive folder Name	Validation	Author feedback	COSMOS / PhenoMeNal partner study?	Blue?	Light Purple 3?	ChEBI/MAF update required	Current Status	Additional Notes	Size (MB)	Accumalated size	Month since Jan 2012	Average size of studies:	26130	935
2012-08-24	MTBLS23	GC-Q-MS	Mus musculus	2012-09-05	Public	Tom Metz			Mark	Done	Yes - Full		Pubmed link		Full	2015-12-17	MTBLS23 - 20151217_LEG	Passes			1			Full	 	212.10	148,477	8			
2012-10-21	MTBLS24	NMR	Homo sapiens	2012-10-21	Public	Helena Zacharias			Mark	Done	Yes - Full		Pubmed link		Full	2015-12-17	MTBLS24 - 20151217_LEG	Passes			1			Full	 	63.80	148,541	10			
2013-01-03	MTBLS25	NMR	Homo sapiens	2013-01-10	Public	Matthias Klein			Mark	Done	Yes - Full				Full	2015-12-17	MTBLS25 - 20151217_LEG	Passes			1			Full		35.41	148,576	13			
2012-11-14	MTBLS26	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS	Mus musculus	2014-08-19	Public	Harald Köfeler			Mark	Done	No		Pubmed link		Full	2016-02-01	MTBLS26 - 20160122_LEG	Passes			1			Full	Also see MTBLS81	4,668.09	153,245	11			
2014-10-24	MTBLS27	GC-TOF-MS	reference compound;Homo sapiens	2016-12-15	Public	Faith Coldren, Aalim Weljie			Mark	Done	Yes - Full		Thesis		Full	2016-12-15	MTBLS27 - 20160204_LEG	Passes			1			Full	Ken contacted Faith: There is not a publication yet for this study.	1,241.29	154,486	34			
2013-01-18	MTBLS28	UPLC-QTOF-MS	Homo sapiens	2014-05-06	Public	Majda Haznadar			Mark	Done	Yes - Partial		Pubmed link		Full	2016-02-17	MTBLS28 - 20160217_LEG	Passes			1			Full	/ebi/ftp/private/mtblight/upload/Reza/MajdaHaznadar_data_NCI	118,019.78	272,506	13			
2013-05-10	MTBLS29	MALDI-TOF/TOF-MS	Saccharomyces cerevisiae;reference compound	2013-05-22	Public	Alfredo Ibanez			Mark	Done	Yes - No data		Pubmed link		Full	2017-02-03	MTBLS29 - 20160218_LEG	Passes			1			Pending	Update study with new maf.	1,285.55	273,791	17			
2013-02-08	MTBLS30	GC-Q-MS;FIA-TQ-MS/MS	Mus musculus	2013-04-10	Submitted	Reza Salek		R	Mark	Done	Yes - Full		Pubmed link		Metadata Only	2018-09-20	MTBLS30 - 20170919_LEG	Passes		Y				Pending	Where is the RAW data !!!!!!!	4.79	273,796	14			
2013-05-09	MTBLS31	LC-LTQ-MS/MS	Mus musculus	2013-05-09	Public	Peter Askovich			Mark	Done	Yes - Full		Pubmed link		Full	2018-01-26	MTBLS31 - 20180126_LEG	Passes			1			Full		86.62	273,883	17			
2013-05-09	MTBLS32	LC-LTQ-MS/MS	Mus musculus	2013-05-30	Public	Peter Askovich			Mark	Done	Yes - Full		Pubmed link		Full	2018-01-26	MTBLS32 - 20180126_LEG	Passes			1			Full		133.31	274,016	17			
2013-05-09	MTBLS33	LC-LTQ-MS/MS	Mus musculus	2013-05-30	Public	Peter Askovich			Mark	Done	Yes - Full		Pubmed link		Full	2018-01-26	MTBLS33 - 20180126_LEG	Passes			1			Full		35.48	274,051	17			
2013-05-09	MTBLS34	LC-LTQ-MS/MS	Mus musculus	2013-05-30	Public	Peter Askovich			Mark	Done	Yes - Full		Pubmed link		Full	2018-01-26	MTBLS34 - 20180126_LEG	Passes			1			Full		29.44	274,081	17			
2013-05-01	MTBLS35	GC-Q-MS	Salmonella enterica	2013-05-02	Public	Tom Metz			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-02	MTBLS35 - 20160531_LEG	Passes			1			Full		440.18	274,521	17			
2014-02-07	MTBLS36	UPLC-LTQ-MS/MS	Solanum lycopersicum	2014-02-07	Public	Stephan Beisken			Mark	Done	Yes - Full		Pubmed link		Full	2017-10-18	MTBLS36 - 20160601_LEG	Passes			1			Full	Metabolites need CHEBI IDs assigning.  Add doi:10.1038/sdata.2014.29	70,093.89	344,615	26			
2013-03-28	MTBLS37	GCxGC-TOF-MS	Chlamydomonas reinhardtii	2013-05-08	Public	Nils Hoffmann			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-02	MTBLS37 - 20160601_LEG	Passes			1			Full		28,151.05	372,766	15			
2014-02-07	MTBLS38	UPLC-LTQ-MS/MS	reference compound	2014-02-07	Public	Stephan Beisken			Mark	Done	Yes - Full		DOI		Full	2016-06-02	MTBLS38 - 20160602_LEG	Passes			1			Full		10,396.34	383,162	26			
2013-04-12	MTBLS39	HPLC-LTQ-MS/MS	Vitis vinifera	2013-11-04	Public	Silvia Dal Santo			Mark	Done	Yes - Full		Pubmed link		Full	2017-01-24	MTBLS39 - 20160603_LEG	Passes			1			Full		56.76	383,219	16			
2013-04-15	MTBLS40	GC-TOF-MS	Arabidopsis thaliana;Alkane standard	2014-03-01	Public	Atsushi Fukushima			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-06	MTBLS40 - 20160606_LEG	Passes			1			Full		5,238.15	388,457	16			
2015-09-11	MTBLS41	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm10A_MTBLS41 - 20150903_LEG	Passes		Y	1			Full	Golm10	1,048.29	389,505	45			
2015-09-11	MTBLS42	GC-TOF-MS	Arabidopsis thaliana	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm11A_MTBLS42 - 20150903_LEG	Passes		Y	1			Full	Golm11	1,123.18	390,629	45			
2015-09-11	MTBLS43	GC-TOF-MS	Lotus japonicus	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm12A_MTBLS43 - 20150903_LEG	Passes		Y	1			Full	Golm12	1,773.90	392,403	45			
2015-09-11	MTBLS44	GC-TOF-MS	Lotus japonicus	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm13A_MTBLS44 - 20150903_LEG	Passes		Y	1			Full	Golm13	1,736.20	394,139	45			
2013-05-30	MTBLS45	GC-TOF-MS	Arabidopsis thaliana;Alkane standard	2014-03-01	Public	Atsushi Fukushima			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-07	MTBLS45 - 20160606_LEG	Passes			1			Full		5,546.65	399,685	17			
2013-06-05	MTBLS46	NMR	Homo sapiens	2015-03-03	Public	Leonardo Tenori			Mark	Done	Yes - No data		Pubmed link		Full	2016-06-08	MTBLS46 - 20160608_LEG	Passes		Y	1			Full		118.85	399,804	18			
2013-07-01	MTBLS47	GC-TOF-MS	Alkane standard;Arabidopsis thaliana	2014-03-01	Public	Atsushi Fukushima			Mark	Done	Yes - No data		Pubmed link		Full	2016-06-07	MTBLS47 - 20160607_LEG	Passes			1			Full		65,617.82	465,422	19			
2013-07-08	MTBLS48	NMR	Mus musculus	2018-10-11	Public	Yan Zhang			Mark	Done	Yes - No data				Full	2018-10-11	MTBLS48 - 20170324_LEG	Passes			1			Full		53.00	465,475	19			
2013-07-11	MTBLS49	LC-LTQ-MS	Trypanosoma brucei	2015-05-14	Public	Darren Creek			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-14	MTBLS49 - 20160609_LEG	Passes	In contact		1			Full		2,484.04	467,959	19			
2013-07-17	MTBLS50	UPLC-LTQ-MS/MS;GC-Q-MS	Homo sapiens	2016-06-01	Submitted	Raymond Langley		R - Metabolon	Xuefei	Medium	No		Pubmed link		Metadata Only	2016-06-10	MTBLS50 - 20160609_LEG	Passes	Awaiting					Pending	Metabolon ran assay therefore no raw data as yet! Add PMID:23884467.  Potential metabolites in .xls file. the data is semiquantitative, no raw data, the submitters need to discuss about sharing raw data, separate different timepoint into different assay, there iare 12 assays in the study now.	19.60	467,979	19			
2013-07-17	MTBLS51	UPLC-LTQ-MS/MS;GC-Q-MS	Homo sapiens	2016-07-01	Submitted	Raymond Langley		R - Metabolon	Xuefei	Medium	No		Pubmed link		Metadata Only	2015-10-02	MTBLS51 - 20150507	Passes	Awaiting					Pending	Metabolon ran assay therefore no raw data as yet! Add PMID:23884467.  Potential metabolites in MTBLS50 .xls file???????? No raw data, for 	1.07	467,980	19			
2013-08-05	MTBLS52	UPLC-DAD;HPLC-QIT-MS	Hordeum vulgare	2014-11-20	Public	Anna Piasecka			Mark	Done	Yes - Full				Full	2016-06-30	MTBLS52 - 20160630_LEG	Passes			1			Full	Full spectral data in folder MTBLS52_TS_20130805_083324~akar@igr.poznan.pl~~20140803~barley_archive.  Ken: copied to the public ftp site.  Two chromatography instruments used so split into two assays.	93.76	468,074	20			
2013-08-08	MTBLS53	GC-Q-MS	reference compound;Homo sapiens	2016-11-19	In Review	Silvia Marin		L	Mark	Done	No				Full	2015-11-27	MTBLS53 - 20160615_LEG	Passes		Y	1			Full	No protocol for sample extraction. ontology, no publication, no MAF	19.66	468,093	20			
2015-09-11	MTBLS54	GC-TOF-MS	Lotus japonicus	2015-09-14	Public	Joachim Kopka			Mark	Done	Yes - Full		Pubmed link		Full	2017-03-22	Golm14A_MTBLS54 - 20150903_LEG	Passes		Y	1			Full	Golm14	1,509.77	469,603	45			
2014-02-25	MTBLS55	UPLC-QTOF-MS	Vitis vinifera	2014-02-25	Public	Panagiotis Arapitsas			Mark	Done	Yes - No data		DOI		Full	2016-06-17	MTBLS55 - 20160616_LEG	Passes			1			Full	Some metabolites without CHEBI ID.some amino acids pointing to zwitterion; some metabolites without CHEBI ID; (â)-epigallocatechin not displayed as - in altMTBLS55.  Study originally 2 assays, then expanded to 4 with subsequent .maf problems which are now resolved.	13,489.96	483,093	26			
2013-09-24	MTBLS56	NMR	Solanum lycopersicum	2013-09-24	Public	Daniel Jacob			Mark	Done	Yes - Full		DOI		Full	2016-06-17	MTBLS56 - 20160617_LEG	Passes		Y	1			Full	 	20.71	483,114	21			
2013-10-08	MTBLS57	UPLC-QTOF-MS	Arabidopsis thaliana	2013-12-06	Public	Ryo Nakabayashi			Mark	Done	No		Pubmed link		Full	2017-03-24	MTBLS57 - 20170323_LEG	Passes			1			Pending		3,535.44	486,649	22			
2017-05-05	MTBLS58		Rattus norvegicus	2018-05-17	Public	Regis Lavigne										2018-05-17									Was initially placeholder for Arvind.Subbaraj@agresearch.co.nz, but got reallocated (by mistake, Ken) to METASPACE	7,068.93	493,718	65			
2013-10-14	MTBLS59	UPLC-QTOF-MS	reference compound;Malus domestica	2013-10-24	Public	Pietro Franceschi			Mark	Done	Yes - No data		Pubmed link		Full	2016-06-20	MTBLS59 - 20160620_LEG	Passes			1			Full		927.36	494,645	22			
2013-10-17	MTBLS60	GCxGC-TOF-MS;UPLC-QTOF-MS	Homo sapiens	2016-11-01	Submitted	Matej Oresic		R	Mark	Done	Yes - Full		Pubmed link		Metadata Only	2017-09-25	MTBLS60 - 20170920_LEG	Passes		Y				Pending	Some potential metabolites in the paper. Add protocols. Ken: Changed release date to 17th Jan 2017. E-mail to the submitter Now is Miko 	6.77	494,652	22			
2013-11-14	MTBLS61	HPLC-LTQ-MS/MS	Homo sapiens;Mus musculus	2013-11-14	Public	Robert Jansen			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-21	MTBLS61 - 20160621_LEG	Passes			1			Full	 	1,296.17	495,948	23			
2017-08-22	MTBLS62	UPLC-LTQ-MS	Lolium perenne	2019-03-01	Public	Arvind Subbaraj	1	L	Mark	Done	Yes - No data				Full	2019-03-01	MTBLS62-20190218	Passes	In contact		1					822,894.09	1,318,842	68			
2017-09-05	MTBLS63	UPLC-LTQ-MS	Lolium perenne	2019-03-01	Public	Arvind Subbaraj	1	L	Mark	Done	Yes - No data				Full	2019-03-01	MTBLS63-20190218	Passes	In contact		1					445,648.90	1,764,491	69			
2017-09-05	MTBLS64	UPLC-LTQ-MS	Lolium perenne	2019-03-01	Public	Arvind Subbaraj	1	L	Mark	Done	Yes - No data				Full	2019-03-01	MTBLS64-20190218	Passes	In contact		1					800,416.79	2,564,908	69			
2017-09-05	MTBLS65	UPLC-LTQ-MS	Lolium perenne	2019-03-01	Public	Arvind Subbaraj	1	L	Mark	Done	Yes - No data				Full	2019-03-01	MTBLS65-20190218	Passes	In contact		1					342,573.71	2,907,482	69			
2017-09-05	MTBLS66	UPLC-LTQ-MS/MS;GC-Q-MS	Lolium perenne	2019-03-01	Public	Arvind Subbaraj	1	L	Mark	Done					Full	2019-03-04	MTBLS66-20190218	Passes	In contact		1					1,319,678.45	4,227,160	69			
2013-11-19	MTBLS67	HPLC-LTQ-MS	Schizosaccharomyces pombe	2013-11-26	Public	Tomas Pluskal			Mark	Done	Yes - Full		Pubmed link		Full	2015-11-03	MTBLS67 - 20151029	Passes			1			Full		2,078.91	4,229,239	23			
2017-09-05	MTBLS68	UPLC-LTQ-MS/MS	Lolium perenne	2019-03-01	Public	Arvind Subbaraj	1	L	Mark	Done					Full	2019-03-01	MTBLS68-20190218	Passes	In contact							856,516.72	5,085,756	69			
2014-02-05	MTBLS69	UPLC-QTOF-MS	Sorghum bicolor	2014-05-01	Public	Aaron Massey			Mark	Done	No		Pubmed link		Full	2016-06-22	MTBLS69 - 20160621_LEG	Passes			1			Full	Paper in folder maybe the one associated with the study.  If so then some metabolites may be identified.	2,308.87	5,088,065	26			
2014-02-05	MTBLS70	UPLC-QTOF-MS	Sorghum bicolor	2016-02-05	Dormant	Aaron Massey			Mark	in progress	No		No		Full	2015-09-30	MTBLS70 - 290914		In contact						Inferior duplicate of MTBLS69. Delete.	2,308.64	5,090,373	26			
2014-05-19	MTBLS71	GC-Q-MS	Homo sapiens	2014-05-21	Public	Tom Metz			Mark	Done	Yes - Full		Pubmed link		Full	2016-06-23	MTBLS71 - 20160622_LEG	Passes			1			Full	 	5,989.87	5,096,363	29			
2014-03-06	MTBLS72	FIA-TQ-MS/MS;UPLC-QTOF-MS/MS	reference compound;Homo sapiens	2014-03-09	Public	Robert Padilla			Mark	Done	No		Pubmed link		Full	2016-06-27	MTBLS72 - 20160627_LEG				1			Full	Some potential metabolites could be addded from the literature.  Supplementary file added to folder.	32,996.45	5,129,360	27			
2014-03-12	MTBLS73	UPLC-LTQ-MS/MS	reference compound;Solanum lycopersicum	2017-10-18	Public	Mark Earll			Reza	Done	No		Pubmed link		Full	2017-11-02	MTBLS73 - 20171102_LEG	Passes			1			Pending	(20170929) Sample group as MTBLS36. No sign of any literature and no MAF. Release as is?	8,804.44	5,138,164	27			
2014-11-05	MTBLS74	UPLC-QTOF-MS	Arabidopsis thaliana	2014-11-06	Public	Steffen Neumann			Mark	Done	Yes - Full		DOI		Full	2014-11-06	MTBLS74 - 20160628_LEG	Passes		Y	1			Full	Sample name mismatch with what the columns are labelled with in the maf .tsv file.  This results in no information being displayed in the plugin.  Potential metabolites in .tsv file. Updated investigation file when moved to "MTBLS74 - 031114". Mismatch resolved. 20141107, new investigation file from steffen, updated (Ken)	10,056.10	5,148,220	35			
2014-06-24	MTBLS75	GC-Q-MS	unclassified Cyanobacteria	2014-06-24	Public	Tom Metz			Mark	Done	Yes - No data		Pubmed link		Full	2016-06-28	MTBLS75 - 20160628_LEG	Passes			1			Full		445.13	5,148,665	30			
2014-03-19	MTBLS76	DI-LTQ-MS	Homo sapiens	2016-07-01	In Review	Albert Koulman		L	Mark	Done	Yes - Full		No		Full	2016-06-29	MTBLS76 - 20160628_LEG	Passes		Y	1			Full	Jules presented this as having about 25GB of data, we have about 12GB?	10,328.72	5,158,994	27			
2015-01-26	MTBLS77	NMR	Ovis aries	2015-01-31	Public	Juan Li			Mark	Done	Yes - No data		Pubmed link		Full	2016-06-29	MTBLS77 - 20160629_LEG	Passes	In contact		1			Full	Add PMID:24937646. Add protocols from paper.  Metabolite information can be harvested from Word .docx file present in folder. Protocols have been added along with the PUBMED ID.	6.70	5,159,001	37			
2017-09-05	MTBLS78			2018-09-05	Submitted	Placeholder Placeholder	1									2017-09-05									DELETED	0.02	5,159,001	69			
2014-03-24	MTBLS79	DI-FT-ICR-MS	Ovis aries;Bos taurus/Ovis aries;Bos taurus	2014-06-05	Public	Ralf Weber			Mark	Done	No		Pubmed link		Full	2016-07-28	MTBLS79 - 20160629_LEG				1			Basic	(Missing values in mass spectrometry .....).  Paper published in June 2014.  One of those weird awkward studies. LEAVE MOSTLY ALONE :-)	55,958.36	5,214,959	27			
2017-12-14	MTBLS80	UPLC-MS/MS		2018-12-31	Submitted	User Cochrane, Mark Williams			Keeva							2017-12-18									DELETED	8,830.20	5,223,789	72			
2014-08-19	MTBLS81	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS	Mus musculus	2014-08-19	Public	Harald Köfeler			Mark	Done	Yes - Full		Pubmed link		Full	2016-02-03	MTBLS81 - 20160203_LEG				1			Full		3,433.79	5,227,223	32			
2018-01-09	MTBLS82	UPLC-MS/MS		2019-01-09	Submitted	User Cochrane, Reza Salek, Peter Li										2018-01-09										106,756.47	5,333,980	73			
2018-03-22	MTBLS83	UPLC-MS/MS	Homo sapiens	2025-04-30	In Review	User Cochrane										2018-04-27										6,886.70	5,340,866	75			
2018-04-27	MTBLS84	UPLC-MS/MS		2025-04-30	Submitted	Richard Robinson, User Cochrane										2018-04-27										2.75	5,340,869	76			
2014-06-09	MTBLS85	UPLC-DAD	Vitis vinifera;reference compound	2014-07-01	Public	Ron Wehrens			Mark	Done	No		DOI		Full	2017-03-23	MTBLS85 - 20160701_LEG	Passes			1			Full	http://dx.doi.org/10.1007/s00216-012-6555-9 needs changing to 10.1007/s00216-012-6555-9 so it displays properly.  Ontology terms need to be added. Parameter value (Column model) has a non-standard characters. Metabolites to be added? (Ask Reza).  Study factors need to be sorted. Change title to "High-throughput carotenoid profiling using multivariate curve resolution (Stability of isoprenoids in grape extract)"	1,883.30	5,342,752	30			
2014-06-09	MTBLS86	UPLC-DAD	reference compound;Manihot esculenta	2014-07-01	Public	Ron Wehrens			Mark	Complete	No		DOI		Full	2016-07-21	MTBLS86 - 20160701_LEG	Passes			1			Pending	Ontology terms need to be added. Parameter value (Column model) has a  non-standard characters. Metabolites to be added? (Ask Reza). Change title to "Metabolite profiling in LC-DAD using multivariate curve resolution: the alsace package in R"	3,014.64	5,345,767	30			
2014-07-08	MTBLS87	HPLC-LTQ-MS/MS	Homo sapiens;Schizosaccharomyces pombe	2014-07-08	Public	Romanas Chaleckis			Mark	Done	Yes - Full		DOI		Full	2016-07-01	MTBLS87 - 20160701_LEG	Passes			1			Full		2,548.92	5,348,316	31			
2014-07-08	MTBLS88	HPLC-LTQ-MS/MS	Homo sapiens	2014-07-08	Public	Romanas Chaleckis			Mark	Done	Yes - Full		DOI		Full	2016-07-01	MTBLS88 - 20160701_LEG	Passes			1			Full		1,819.86	5,350,136	31			
2018-05-15	MTBLS89	UPLC-MS/MS	Homo sapiens	2019-05-15	In Review	User Cochrane, Karsten Suhre		LM	Keeva	Done	Yes - Full				Full	2018-11-23		Passes	In contact						Metabolon - waiting for author to confirm study factor info	53,413.87	5,403,550	77			
2014-06-05	MTBLS90	UPLC-QTOF-MS/MS	Homo sapiens	2014-08-30	Public	Andrea Ganna			Mark	Done	Yes - Partial		DOI		Full	2016-07-01	MTBLS90 - 20160701_LEG	Passes			1			Full	 	459,270.16	5,862,820	30			
2014-06-08	MTBLS91	DI-FT-ICR-MS	Calanus	2015-10-13	Public	Ulf Sommer			Mark	Done	Yes - No data		Pubmed link		Full	2016-07-21	MTBLS91 - 20160720_LEG	Passes	In contact		1			Full		1,409.42	5,864,229	30			
2014-06-12	MTBLS92	UPLC-QTOF-MS	Homo sapiens	2014-06-17	Public	Mika Hilvo			Mark	Done	Yes - Full		Pubmed link		Full	2016-07-26	MTBLS92 - 20160725_LEG	Passes			1			Full	CHEBI IDs need to be assigned to most metabolites. Some special characters need to be inserted.  Lipid study.	10,500.89	5,874,730	30			
2014-06-14	MTBLS93	UPLC-QTOF-MS/MS	Homo sapiens	2014-08-30	Public	Andrea Ganna			Mark	Done	Yes - Full		Pubmed link		Full	2016-07-26	MTBLS93 - 20160726_LEG	Passes			1			Full	CHEBI IDs need to be assigned to most metabolites. Some special characters need to be inserted.  Lipid study. Ken 20141113: Andrea is wanting some changes but will have to back to us later.  Change title to match the paper	695,658.35	6,570,388	30			
2018-05-24	MTBLS94	UPLC-LTQ-MS		2018-07-19	Public	Michal Gorka			Mark	Done	Yes - Full		Pubmed link	29853640	Full	2018-07-20	MTBLS94 - 20180716	Passes	In contact		1					120,360.98	6,690,749	77			
2014-06-24	MTBLS95	GC-Q-MS	Arabidopsis thaliana	2014-06-24	Public	Tom Metz			Mark	Done	Yes - Full		Pubmed link		Full	2016-07-27	MTBLS95 - 20160726_LEG	Passes			1			Full	CHEBI IDs need to be assigned to most metabolites. Some special characters need to be inserted.	508.59	6,691,258	30			
