name,abbr,class_num,pro_num,modified date,url,description
Psychology Ontology ,APAONTO,6037,,11/3/14,https://bioportal.bioontology.org/ontologies/APAONTO,APA thesaurus
APA Statistical Cluster ,APASTATISTICAL,140,,1/12/15,https://bioportal.bioontology.org/ontologies/APASTATISTICAL,APA Statistical Cluster
APA Tests and Testing cluster ,APATANDT,208,,1/12/15,https://bioportal.bioontology.org/ontologies/APATANDT,APA Tests and Testing Cluster
APA Treatment Cluster ,APATREATMENT,480,,1/12/15,https://bioportal.bioontology.org/ontologies/APATREATMENT,APA Treatment Cluster
Ascomycete Phenotype Ontology ,APO,619,,5/26/18,https://bioportal.bioontology.org/ontologies/APO,A structured controlled vocabulary for the phenotypes of Ascomycete fungi
Apollo Structured Vocabulary ,APOLLO-SV,1614,,6/5/18,https://bioportal.bioontology.org/ontologies/APOLLO-SV,"Apollo-SV, developed as an OWL specification, defines the terms and relations necessary for interoperation between epidemic simulators and public health application software that interface with these simulators."
Autism Spectrum Disorder Phenotype Ontology ,ASDPTO,284,,1/21/14,https://bioportal.bioontology.org/ontologies/ASDPTO,"Autism Spectrum Disorder Phenotype Ontology encapsulates the Autism Spectrum Disorder behavioral phenotype, informed by the standard ASD assessment instruments and the currently known characteristics of this disorder"
Anatomical Therapeutic Chemical Classification ,ATC,6209,2,4/6/18,https://bioportal.bioontology.org/ontologies/ATC,"The Anatomical Therapeutic Chemical (ATC) Classification System is used for the classification of active ingredients of drugs according to the organ or system on which they act and their therapeutic, pharmacological and chemical properties"
Amphibian Taxonomy Ontology ,ATO,6135,1,11/2/09,https://bioportal.bioontology.org/ontologies/ATO,A taxonomy of Amphibia
Animal Trait Ontology for Livestock ,ATOL,2098,,10/22/14,https://bioportal.bioontology.org/ontologies/ATOL,ATOL (Animal Trait Ontology for Livestock) is an ontology of characteristics defining phenotypes of livestock in their environment (EOL)
KB_Bio_101 ,AURA,27396,,1/21/14,https://bioportal.bioontology.org/ontologies/AURA,"KB_Bio_101 is the ontology of the AURA + Inquire project @ SRI International, Menlo Park"
BioAssay Ontology ,BAO,7192,9,3/6/18,https://bioportal.bioontology.org/ontologies/BAO,The BioAssay Ontology (BAO) describes chemical biology screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis
G Protein-Coupled Receptor BioAssays Ontology ,BAO-GPCR,904,1,10/28/13,https://bioportal.bioontology.org/ontologies/BAO-GPCR,"The G protein-coupled receptors (GPCRs) ontology (http://www.bioassayontology.org/bao_gpcr) describes pharmacology, biochemistry and physiology of these important and therapeutically promising class of academic and pharmaceutical research targets"
Breast Cancer Grading Ontology ,BCGO,133,,5/24/11,https://bioportal.bioontology.org/ontologies/BCGO,assigns a grade to a tumor starting from the 3 criteria of the NGS
Biological Collections Ontology ,BCO,157,,12/15/16,https://bioportal.bioontology.org/ontologies/BCO,"BCO supports the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys"
Breast Cancer Staging - 7th Edition ,BCS7,22,,5/13/18,https://bioportal.bioontology.org/ontologies/BCS7,Breast Cancer Staging axioms as per the AJCC 7th Edition Guidelines.
Breast Cancer Staging - 8th Edition ,BCS8,31,,5/13/18,https://bioportal.bioontology.org/ontologies/BCS8,Breast Cancer Staging axioms as per the AJCC 8th Edition Guidelines.
Bone and Cartilage Tissue Engineering Ontology ,BCTEO,253,,6/18/14,https://bioportal.bioontology.org/ontologies/BCTEO,Ontology that describes the field of Tissue Engineering for what concerns bone and cartilage tissues.
Behaviour Change Technique Taxonomy ,BCTT,110,,11/25/15,https://bioportal.bioontology.org/ontologies/BCTT,BCT Taxonomy v0.4
Bone Dysplasia Ontology ,BDO,3668,1,2/9/12,https://bioportal.bioontology.org/ontologies/BDO,The Bone Dysplasia ontology provides a comprehensive and formal representation of the different domain concepts involved in documenting the full complexity of the skeletal dysplasia domain
Bioentities ,BE,442,,11/27/17,https://bioportal.bioontology.org/ontologies/BE,"Bioentities is a collection of resources for grounding biological entities from text and describing their hierarchical relationships, focusing on protein families and complexes"
LC BIBFRAME 2.0 Vocabulary Extension ,BFLC,204,,4/25/18,https://bioportal.bioontology.org/ontologies/BFLC,"An experimental extension to BIBFRAME 2.0 primarily for use by the Library of Congress, but with additions also applicable for other users"
Basic Formal Ontology ,BFO,35,23,9/4/15,https://bioportal.bioontology.org/ontologies/BFO,BFO grows out of a philosophical orientation which overlaps with that of DOLCE and SUMO
Biologie Hors Nomenclature ,BHN,2534,,11/19/13,https://bioportal.bioontology.org/ontologies/BHN,"L'activité innovante de biologie et d'anatomo-pathologie réalisée notamment dans les Centres Hospitalo-Universitaires est habituellement appelée ""activité hors nomenclature"" (BHN pour la biologie hors nomenclature et PHN pour l'anatomo-pathologie hors nomenclature)"
Bleeding History Phenotype Ontology ,BHO,544,,12/22/10,https://bioportal.bioontology.org/ontologies/BHO,An application ontology devoted to the standardized recording of phenotypic data related to hemorrhagic disorders.
BIBFRAME 2.0 ,BIBFRAME,188,1,6/9/17,https://bioportal.bioontology.org/ontologies/BIBFRAME,"Initiated by the Library of Congress, BIBFRAME provides a foundation for the future of bibliographic description, both on the web, and in the broader networked world"
The Biblioteko Ontology ,BIBLIOTEK-O,278,,7/12/17,https://bioportal.bioontology.org/ontologies/BIBLIOTEK-O,An ontology recommendation for modeling bibliographic metadata
Biomedical Image Ontology ,BIM,125,2,10/8/15,https://bioportal.bioontology.org/ontologies/BIM,Biomedical images published within the scientific literature play a central role in reporting and facilitating life science discoveries
Biological Observation Matrix Ontology ,BIOMO,1556,1,7/29/14,https://bioportal.bioontology.org/ontologies/BIOMO,"The BIOMO ontology maps the HDF5 based BIOM format (http://biom-format.org/) to OWL, offering a method to convert a BIOM file to RDF and therefore publish it as Linked Data"
BioModels Ontology ,BIOMODELS,187520,,4/3/12,https://bioportal.bioontology.org/ontologies/BIOMODELS,OWL Representation of the models in the BioModels repository.
Bacterial interlocked Process ONtology ,BIPON,1746,,11/9/17,https://bioportal.bioontology.org/ontologies/BIPON,"BiPON is an ontology permitting a multi-scale systemic representation of bacterial cellularprocesses and the coupling to their mathematical models"
Biomedical Informatics Research Network Project Lexicon ,BIRNLEX,3580,3,3/25/08,https://bioportal.bioontology.org/ontologies/BIRNLEX,"The BIRN Project lexicon will provide entities for data and database annotation for the BIRN project, covering anatomy, disease, data collection, project management and experimental design."
BioLink Model ,BLM,143,,4/23/18,https://bioportal.bioontology.org/ontologies/BLM,"A high level datamodel of biological entities (genes, diseases, phenotypes, pathways, individuals, substances, etc) and their associations"
Biomedical Topics ,BMT,253,,10/6/14,https://bioportal.bioontology.org/ontologies/BMT,"An ontology of biological and biomedical topics, created from merging the EDAM Topics sub-ontology with auxiliary topics that are out of scope of EDAM."
Bionutrition Ontology ,BNO,100,,8/15/13,https://bioportal.bioontology.org/ontologies/BNO,The Bionutrition Ontology relates concepts and terminologies used for human nutrition in a clinical and biomedical setting.
Biodiversity Ontology ,BOF,189,,7/12/13,https://bioportal.bioontology.org/ontologies/BOF,An ontology of biodiversity of INPA
BioPAX Ontology of Biological Pathways ,BP,69,1,7/29/10,https://bioportal.bioontology.org/ontologies/BP,The BioPAX ontology (www.biopax.org) is a standard language for formally representing biological pathways
BioPortal Metadata Ontology ,BP-METADATA,102,,8/22/13,https://bioportal.bioontology.org/ontologies/BP-METADATA,"This ontology represents the structure that BioPortal uses to represent all of its metadata (ontology details, mappings, notes, reviews, views)"
Brain Region & Cell Type terminology ,BRCT,1654,,11/3/14,https://bioportal.bioontology.org/ontologies/BRCT,"The BRCT stands for Brain Region and Cell Type terminology, which was built with the purpose of organizing the knowledge domain of brain anatomy with a top-down granularity, fromgross regions to cell types"
Biomedical Research Integrated Domain Group Model ,BRIDG,326,,9/4/12,https://bioportal.bioontology.org/ontologies/BRIDG,"The Biomedical Research Integrated Domain Group (BRIDG) Model is a collaborative effort engaging stakeholders from the Clinical Data Interchange Standards Consortium (CDISC), the HL7 Regulated Clinical Research Information Management Technical Committee (RCRIM TC), the National Cancer Institute (NCI) and its Cancer Biomedical Informatics Grid (caBIG®), and the US Food and Drug Administration (FDA)"
Biomedical Resource Ontology ,BRO,488,4,8/31/10,https://bioportal.bioontology.org/ontologies/BRO,"A controlled terminology of resources, which is used to improve the sensitivity and specificity of web searches."
Bro_Name ,BRO_ACRONYM,486,,6/14/16,https://bioportal.bioontology.org/ontologies/BRO_ACRONYM,Uploading ontology for the first time
Botryllus schlosseri anatomy and development ontology ,BSAO,104,1,8/29/13,https://bioportal.bioontology.org/ontologies/BSAO,The first ontology describing the anatomy and the development of Botryllus schlosseri
Spatial Ontology ,BSPO,146,3,11/22/17,https://bioportal.bioontology.org/ontologies/BSPO,"An ontology for respresenting spatial concepts, anatomical axes, gradients, regions, planes, sides, and surfaces"
BioTop Ontology ,BT,390,1,5/20/14,https://bioportal.bioontology.org/ontologies/BT,A top-domain ontology that provides definitions for the foundational entities of biomedicine as a basic vocabulary to unambiguously describe facts in this domain.
BRENDA Tissue and Enzyme Source Ontology ,BTO,5902,2,8/24/16,https://bioportal.bioontology.org/ontologies/BTO,A structured controlled vocabulary for the source of an enzyme
Computer Assisted Brain Injury Rehabilitation Ontology ,CABRO,59,,3/29/13,https://bioportal.bioontology.org/ontologies/CABRO,a web ontology for the semantic representation of the computer assisted brain trauma rehabilitation domain
Cancer Chemoprevention Ontology ,CANCO,127,1,5/1/13,https://bioportal.bioontology.org/ontologies/CANCO,The Cancer Chemoprevention Ontology constitutes a vocabulary that is able to describe and semantically interconnect the different paradigms of the cancer chemoprevention domain.
Upper-Level Cancer Ontology  ,CANONT,56,,11/20/12,https://bioportal.bioontology.org/ontologies/CANONT,Providing an upper-level ontology for cancer.
Content Archive Resource Exchange Lexicon ,CARELEX,322,1,2/13/16,https://bioportal.bioontology.org/ontologies/CARELEX,"Contains controlled vocabulary terms from National Cancer Institute used to classify clinical trial electronic content (documents, images, etc)"
Common Anatomy Reference Ontology ,CARO,157,1,11/22/17,https://bioportal.bioontology.org/ontologies/CARO,"The Common Anatomy Reference Ontology (CARO) is being developed to facilitate interoperability between existing anatomy ontologies for different species, and will provide a template for building new anatomy ontologies"
CARRE Risk Factor ontology ,CARRE,175,,12/8/14,https://bioportal.bioontology.org/ontologies/CARRE,"Clinical risk factors, evidence and observables"
Cell Behavior Ontology ,CBO,246,3,10/11/17,https://bioportal.bioontology.org/ontologies/CBO,The Cell Behavior Ontology (CBO) describes multi-cell computational models
Cerrado concepts and plant community dynamics ,CCON,86,,1/29/14,https://bioportal.bioontology.org/ontologies/CCON,"The ontology of Cerrado wood plant dynamics was created in order to represent the set of concepts about the dynamics, that is, changes over time of the wood vegetation structure, of Cerrado"
Cell Culture Ontology ,CCONT,20844,,7/24/14,https://bioportal.bioontology.org/ontologies/CCONT,CCONT is an ontology for the formal representation of cell lines and their correspnding culture conditions.
Cancer Care: Treatment Outcome Ontology ,CCTOO,1133,,2/6/18,https://bioportal.bioontology.org/ontologies/CCTOO,The Cancer Care: Treatment Outcomes Ontology (CCTOO) catalogues various clinical endpoints used in evaluating outcomes of cancer treatment
Comparative Data Analysis Ontology ,CDAO,144,1,8/21/13,https://bioportal.bioontology.org/ontologies/CDAO,"A formalization of concepts and relations relevant to evolutionary comparative analysis, such as phylogenetic trees, OTUs (operational taxonomic units) and compared characters (including molecular characters as well as other types)"
CEDAR Value Sets ,CEDARVS,34,,11/4/15,https://bioportal.bioontology.org/ontologies/CEDARVS,Value Sets used by the CEDAR project
Cephalopod Ontology ,CEPH,1569,,9/20/17,https://bioportal.bioontology.org/ontologies/CEPH,An anatomical and developmental ontology for cephalopods
Congenital Heart Defects Ontology ,CHD,511,,6/3/13,https://bioportal.bioontology.org/ontologies/CHD,An ontology that describes the Congenital Heart Defects data.
Children's Health Exposure Analysis Resource ,CHEAR,59226,,5/9/18,https://bioportal.bioontology.org/ontologies/CHEAR,Children's health and wellbeing are influenced by interactions between environmental and genetic factors
Chemical Entities of Biological Interest Ontology ,CHEBI,128900,16,6/2/18,https://bioportal.bioontology.org/ontologies/CHEBI,A structured classification of chemical compounds of biological relevance.
Systems Chemical Biology and Chemogenomics Ontology  ,CHEMBIO,104,,1/22/15,https://bioportal.bioontology.org/ontologies/CHEMBIO,Ontology for Systems Chemical Biology and Chemogenomics
Chemical Information Ontology ,CHEMINF,819,5,5/16/16,https://bioportal.bioontology.org/ontologies/CHEMINF,Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.
Chemical Methods Ontology ,CHMO,2965,,10/12/15,https://bioportal.bioontology.org/ontologies/CHMO,"CMO, the chemical methods ontology, describes methods used to    collect data in chemical experiments, such as mass spectrometry and electron microscopy    prepare and separate material for further analysis, such as sample ionisation, chromatography, and electrophoresis    synthesise materials, such as epitaxy and continuous vapour deposition It also describes the instruments used in these experiments, such as mass spectrometers and chromatography columns"
CIDOC Conceptual Reference Model ,CIDOC-CRM,85,,11/22/17,https://bioportal.bioontology.org/ontologies/CIDOC-CRM,The CIDOC Conceptual Reference Model (CRM) provides definitions and a formal structure for describing the implicit and explicit concepts and relationships used in cultural heritage documentation
Ciona intestinalis Anatomy and Development Ontology ,CIINTEADO,880,1,7/29/16,https://bioportal.bioontology.org/ontologies/CIINTEADO,"The first ontology describing the anatomy and the development of Ciona intestinalis, based on the Hotta developmental table"
Confidence Information Ontology ,CIO,44,,9/20/17,https://bioportal.bioontology.org/ontologies/CIO,An ontology to capture confidence information about annotations
Ciona savignyi Anatomy and Development Ontology  ,CISAVIADO,880,1,7/29/16,https://bioportal.bioontology.org/ontologies/CISAVIADO,"The first ontology describing the anatomy and the development of Ciona savignyi, based on the Hotta developmental table"
Chronic Kidney Disease Ontology ,CKDO,280,,7/4/17,https://bioportal.bioontology.org/ontologies/CKDO,The Chronic Kidney Disease Ontology was developed to assist routine data studies and case identification of CKD in primary care.
Cell Ontology ,CL,6636,8,12/13/17,https://bioportal.bioontology.org/ontologies/CL,The Cell Ontology is designed as a structured controlled vocabulary for cell types
Cell Line Ontology ,CLO,41916,3,2/8/18,https://bioportal.bioontology.org/ontologies/CLO,The Cell Line Ontology (CLO) is a community-based ontology in domain of biological cell lines with a focus on permanent cell lines from culture collections
Clinical Measurement Ontology ,CMO,2793,2,6/5/18,https://bioportal.bioontology.org/ontologies/CMO,The Clinical Measurement Ontology is designed to be used to standardize morphological and physiological measurement records generated from clinical and model organism research and health programs
Cellular microscopy phenotype ontology ,CMPO,813,,6/25/15,https://bioportal.bioontology.org/ontologies/CMPO,"The Cellular Microscopy Phenotype Ontology (CMPO) is a species neutral ontology for describing general phenotypic observations relating to the whole cell, cellular components, cellular processes and cell populations"
computer network ,CN,537,5,9/25/14,https://bioportal.bioontology.org/ontologies/CN,Computer networks ontology
Computational Neuroscience Ontology ,CNO,386,5,11/17/15,https://bioportal.bioontology.org/ontologies/CNO,CNO is a controlled vocabulary of terms used in Computational Neurosciences to describe models of the nervous system
CNO_NAME ,CNO_ACRONYM,240,,6/15/16,https://bioportal.bioontology.org/ontologies/CNO_ACRONYM,test
Wheat Trait Ontology  ,CO-WHEAT,176,2,11/10/10,https://bioportal.bioontology.org/ontologies/CO-WHEAT,This ontology defines traits of the International Wheat Information System (IWIS) database and wheat descriptor.
Clusters of Orthologous Groups ,COG,205,1,10/13/11,https://bioportal.bioontology.org/ontologies/CAO,CAO ontology is designed for supporting the COG enrichment study by using Fisher's exact test
Cognitive Atlas Ontology ,COGAT,3639,4,8/15/16,https://bioportal.bioontology.org/ontologies/COGAT,The Cognitive Atlas is a collaborative knowledge building project that aims to develop an ontology that characterizes the state of current thought in cognitive science
Cognitive Paradigm Ontology ,COGPO,400,3,12/16/10,https://bioportal.bioontology.org/ontologies/COGPO,"This ontology is used to describe the experimental conditions within cognitive/behavioral experiments, primarily in humans."
Collembola Anatomy Ontology ,COLL,897,,3/26/18,https://bioportal.bioontology.org/ontologies/COLL,An ontology about the external and internal anatomy (in part) of the Class Collembola.
COMODI ,COMODI,65,1,5/1/17,https://bioportal.bioontology.org/ontologies/COMODI,An ontology to characterise differences in versions of computational models in biology
COPD Ontology ,COPDO,108,,6/26/17,https://bioportal.bioontology.org/ontologies/COPDO,The COPD Ontology  is a biomedical ontology used for modelling concepts associated to chronic obstructive pulmonary disease in routine clinical databases.
Coding Symbols for a Thesaurus of Adverse Reaction Terms ,COSTART,1707,1,4/6/18,https://bioportal.bioontology.org/ontologies/COSTART,Coding Symbols for Thesaurus of Adverse Reaction Terms (COSTART)
Computer-Based Patient Record Ontology ,CPRO,128,,4/25/13,https://bioportal.bioontology.org/ontologies/CPRO,A uniform core set of data elements (whose formal semantics are captured in OWL) for use in a Computer-Based Patient Record (CPR)
Current Procedural Terminology ,CPT,13913,1,4/6/18,https://bioportal.bioontology.org/ontologies/CPT,Current Procedural Terminology
CPTAC Proteomics Pipeline Infrastructure Ontology ,CPTAC,19,,5/20/09,https://bioportal.bioontology.org/ontologies/CPTAC,a basic ontology which describes the proteomics pipeline infrastructure for CPTAC project
Computer Retrieval of Information on Scientific Projects Thesaurus ,CRISP,9039,,4/6/18,https://bioportal.bioontology.org/ontologies/CRISP,Computer Retrieval of Information on Scientific Projects (CRISP)
Cigarette Smoke Exposure Ontology ,CSEO,20085,,7/10/14,https://bioportal.bioontology.org/ontologies/CSEO,The CSEO has potential to become a widely used standard within the academic and industrial community
Clinical Study Ontology ,CSO,37,,9/23/15,https://bioportal.bioontology.org/ontologies/CSO,Ontology to describe general clinical studies.
Clinical Signs and Symptoms Ontology ,CSSO,303,,3/31/16,https://bioportal.bioontology.org/ontologies/CSSO,An ontology for describing clinical signs and symptoms.
Common Terminology Criteria for Adverse Events ,CTCAE,4049,1,4/19/18,https://bioportal.bioontology.org/ontologies/CTCAE,Common Terminology Criteria for Adverse Events (CTCAE) is widely accepted throughout the oncology community as the standard classification and severity grading scale for adverse events in cancer therapy clinical trials and other oncology settings
Ctenophore Ontology ,CTENO,648,,9/20/17,https://bioportal.bioontology.org/ontologies/CTENO,An anatomical and developmental ontology for ctenophores (Comb Jellies)
Clinical Trials Ontology ,CTO,377,,10/28/14,https://bioportal.bioontology.org/ontologies/CTO,"The CTO-NDD stands for Clinical Trial Ontology-Neurodegenerative Diseases, which was built with the purpose of organizing the knowledge domain of clinical trials in neurodegeneration field"
Epoch Clinical Trial Ontology ,CTONT,43,,3/20/07,https://bioportal.bioontology.org/ontologies/CTONT,null
"Read Codes, Clinical Terms Version 3 ",CTV3,140065,1,4/6/18,https://bioportal.bioontology.org/ontologies/RCD,Clinical Terms Version 3 (CTV3) (Read Codes) (Q199): National Health Service National Coding and Classification Centre
Cerebrotendinous Xanthomatosis Ontology ,CTX,479,,4/30/13,https://bioportal.bioontology.org/ontologies/CTX,"The ontology represents CTX phenotypes, genetic variants, and bidirectional relationships between them though a patient model"
Venom Ontology ,CU-VO,11,,9/23/15,https://bioportal.bioontology.org/ontologies/CU-VO,"An ontology of venoms and venom-related compounds, designed to facilitate the discovery of novel venom-derived therapeutics."
STO ,CVAO,1712,,11/28/17,https://bioportal.bioontology.org/ontologies/CVAO,Stroke ontology
Cardiovascular Disease Ontology ,CVDO,517,,9/20/17,https://bioportal.bioontology.org/ontologies/CVDO,"CVDO is an ontology based on the OGMS model of disease, designed to describe entities related to cardiovascular diseases (including the diseases themselves, the underlying disorders, and the related pathological processes)"
Consumer Wearable Device ,CWD,46,,4/19/18,https://bioportal.bioontology.org/ontologies/CWD,"Consumer Wearable Devices (CWD) enable passive, low-burden, longitudinal collection of data relevant to health behaviors, human performance, and biometrics"
CYTOKINE ,CYTO,317,,6/24/15,https://bioportal.bioontology.org/ontologies/CYTO,It is flat ontology showing cytokine synonyms
Dublin Core ,DC,11,,2/18/17,https://bioportal.bioontology.org/ontologies/DC,The Dublin Core Schema is a small set of vocabulary terms that can be used to describe several kinds of resources
Data Catalog Vocabulary ,DCAT,15,,12/7/17,https://bioportal.bioontology.org/ontologies/DCAT,DCAT is an RDF vocabulary designed to facilitate interoperability between data catalogs published on the Web.
Dublin Core Collection Description Frequency Vocabulary ,DCCDFV,17,,2/3/18,https://bioportal.bioontology.org/ontologies/DCCDFV,The Collection Description Accrual Policy Vocabulary provides a set of terms that can be used as values of the dcterms:accrualPolicy property in descriptions of collections.
DICOM Controlled Terminology ,DCM,3885,,4/11/18,https://bioportal.bioontology.org/ontologies/DCM,DICOM Controlled Terminology (PS3.16 2018b Annex D)
DCMI Type Vocabulary ,DCMITYPE,18,,7/18/17,https://bioportal.bioontology.org/ontologies/DCMITYPE,"The DCMI Type Vocabulary provides a general, cross-domain list of approved terms that may be used as values for the Resource Type element to identify the genre of a resource"
Dispedia Core Ontology ,DCO,49,1,3/14/16,https://bioportal.bioontology.org/ontologies/DCO,Dispedia Core Ontology is a schema for information brokering and knowledge management in the complex field of rare diseases
DC Terms ,DCT,25,,12/9/17,https://bioportal.bioontology.org/ontologies/DCT,Specification of all metadata terms maintained by the Dublin Core Metadata Initiative
DCMI Metadata Terms: properties in /terms/ namespace ,DCTERMS,100,,7/14/17,https://bioportal.bioontology.org/ontologies/DCTERMS,DCMI properties in the /terms/ namespace
Dictyostelium Discoideum Anatomy Ontology ,DDANAT,134,,2/28/17,https://bioportal.bioontology.org/ontologies/DDANAT,A structured controlled vocabulary of the anatomy of the slime-mould Dictyostelium discoideum.
Ontology for Drug Discovery Investigations ,DDI,167,1,4/22/13,https://bioportal.bioontology.org/ontologies/DDI,The goal of DDI project is to develop an ontology for the description of drug discovery investigations
Diabetes Mellitus Diagnosis Ontology ,DDO,6444,1,12/23/15,https://bioportal.bioontology.org/ontologies/DDO,"An ontology for diagnosis of diabetes containing the diabetes related complications, symptoms, drugs, lab tests, etc."
Dictyostelium Discoideum Phenotype Ontology ,DDPHENO,1119,,5/29/18,https://bioportal.bioontology.org/ontologies/DDPHENO,A structured controlled vocabulary of phenotypes of the slime-mould Dictyostelium discoideum
Dermatology Lexicon ,DERMLEX,6106,,4/17/09,https://bioportal.bioontology.org/ontologies/DERMLEX,"Version 1.0 of the American Academy of Dermatology's DermLex: The Dermatology Lexicon, a standardized terminology of dermatologic diagnoses, therapies, procedures, and laboratory tests."
Human Dermatological Disease Ontology ,DERMO,3521,,10/13/15,https://bioportal.bioontology.org/ontologies/DERMO,Ontology of human dermatologic disease
BioMedBridges Diabetes Ontology ,DIAB,375,,11/27/15,https://bioportal.bioontology.org/ontologies/DIAB,Diabetes ontology
Diagnostic Ontology ,DIAGONT,96,,2/27/12,https://bioportal.bioontology.org/ontologies/DIAGONT,"We built a computational diagnostic ontology containing 91 elements, including classes and sub-classes, which are required to conduct SR-MA (Systematic Review - Meta Analysis) for diagnostic studies, that will assist in standardized reporting of diagnostic articles"
Drug Interaction and Evidence Ontology ,DIDEO,617,1,11/17/17,https://bioportal.bioontology.org/ontologies/DIDEO,The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology
Drug Interaction Knowledge Base Ontology ,DIKB,360,1,5/19/15,https://bioportal.bioontology.org/ontologies/DIKB,"An evidence taxonomy for pharmacologic studies that, when combined with a set of inclusion criteria, enable drug experts to specify what their confidence in a drug mechanism assertion would be if it were supported by a specific set of evidence"
The Drug-Drug Interactions Ontology ,DINTO,28178,,2/11/16,https://bioportal.bioontology.org/ontologies/DINTO,DINTO is an OWL ontology that systematically organizes all drug-drug interaction (DDI) related information
Dependency Layered Ontology for Radiation Oncology ,DLORO,291,1,12/28/15,https://bioportal.bioontology.org/ontologies/DLORO,Dependency Layered Ontology for Radiation Oncology
Diabetes Mellitus Treatment Ontology ,DMTO,10700,,5/10/17,https://bioportal.bioontology.org/ontologies/DMTO,DMTO is an OWL 2 ontology for creating customized treatment plans for diabetic patients
