abbr,name,url,description
CEPH,Cephalopod Ontology,/ols/ontologies/ceph,An anatomical and developmental ontology for cephalopods
CHEBI,Chemical Entities of Biological Interest,/ols/ontologies/chebi,A structured classification of molecular entities of biological interest focusing on 'small' chemical compounds.
CHEMINF,chemical information ontology (cheminf) - information entities about chemical entities,/ols/ontologies/cheminf,Includes terms for the descriptors commonly used in cheminformatics software applications and the algorithms which generate them.
CHMO,Chemical Methods Ontology,/ols/ontologies/chmo,"CHMO, the chemical methods ontology, describes methods used to"
CIO,Confidence Information Ontology,/ols/ontologies/cio,An ontology to capture confidence information about annotations.
CL,Cell Ontology,/ols/ontologies/cl,The Cell Ontology is a structured controlled vocabulary for cell types in animals.
CLO,CLO: Cell Line Ontology,/ols/ontologies/clo,The Cell Line Ontology.
CMO,Clinical measurement ontology,/ols/ontologies/cmo,Morphological and physiological measurement records generated from clinical and model organism research and health programs.
CMPO,Cellular Microscopy Phenotype Ontology,/ols/ontologies/cmpo,"CMPO is a species neutral ontology for describing general phenotypic observations relating to the whole cell, cellular components, cellular processes and cell populations."
CO_320,Rice ontology,/ols/ontologies/co_320,"Rice Trait Dictionary in template v 5.0 - IRRI - March 2016 - Based on SES, RD, UPOV variables and on variables used by CIAT, FLAR and the GRISP Phenotyping Network variables"
CO_321,Wheat ontology,/ols/ontologies/co_321,Wheat Trait Dictionary in template v5 - CIMMYT - Nov 2016
CO_322,Maize ontology,/ols/ontologies/co_322,Maize Trait Dictionary in template 5 - CIMMYT- September 2016
CO_323,Barley Trait Dictionary ontology,/ols/ontologies/co_323,ICARDA - Beta Trait Dictionary v 4
CO_324,Sorghum ontology,/ols/ontologies/co_324,Sorghum TDv5 - Jan 2018
CO_325,Banana ontology,/ols/ontologies/co_325,"Banana Trait Dictionary in template 5 - Bioversity & IITA - September 2017 - characterization and breeding variables, drought experiment variables"
CO_327,Pearl millet ontology,/ols/ontologies/co_327,Pearl millet Trait Dictionary in template 5 - ICRISAT/INERA - April 2016
CO_330,Potato ontology,/ols/ontologies/co_330,CIP - potato ontology - december 2017
CO_331,Sweet Potato ontology,/ols/ontologies/co_331,Sweet Potato Trait Dictionary in template v5 - CIP - June 2016
CO_333,Beet Ontology ontology,/ols/ontologies/co_333,"This ontology was built as part of the AKER project. It describes variables used in beet phenotyping (experimental properties and measurement scale) for each institution (INRA, Geves, ITB) and breeding companies (Florimond Desprez). Curator: Daphne Verdelet (Florimond Desprez) - Submitted in November 2017."
CO_334,Cassava ontology,/ols/ontologies/co_334,"Cassava Trait Dictionary in template 5 - IITA - July 2015, updated in February 2016"
CO_335,Common bean ontology,/ols/ontologies/co_335,CIAT Common bean trait dictionary - version August 2014
CO_336,Soybean ontology,/ols/ontologies/co_336,Soybean Trait Dictionary in template v5 - IITA - July 2015
CO_337,Groundnut ontology,/ols/ontologies/co_337,Groundnut Trait Dictionary in template v5 - ICRISAT/ISRA/DARS - Sept 2015
CO_338,Chickpea ontology,/ols/ontologies/co_338,Chickpea Trait Dictionary in template v5 - ICRISAT - July 2015
CO_339,Lentil ontology,/ols/ontologies/co_339,Lentil Trait Dictionary in template v5 - ICARDA - July 2015
CO_340,Cowpea ontology,/ols/ontologies/co_340,Cowpea Trait Dictionary in template v5 - IITA - August 2015
CO_341,Pigeonpea ontology,/ols/ontologies/co_341,Pigeonpea Trait Dictionary in template v5 - ICRISAT - July 2015
CO_343,Yam ontology,/ols/ontologies/co_343,IITA - Yam trait ontology -TD v. 5.0- Feb 2017
CO_345,Brachiaria ontology,/ols/ontologies/co_345,Brachiaria (forages) ontology TD v5 - Version Oct 2016
CO_346,Mungbean ontology,/ols/ontologies/co_346,oct 2016
CO_347,Castor bean ontology,/ols/ontologies/co_347,March 2017 version
CO_348,Brassica ontology,/ols/ontologies/co_348,"Brassica Trait Ontology (BRaTO) hosts trait information to describe brassica crop data. Terms are collected from various projects including OREGIN, RIPR (UK) and Rapsodyn (France). BRATO development is conducted by Earlham Institute (UK), Southern Cross University (Australia) and INRA (France)."
CO_350,Oat ontology,/ols/ontologies/co_350,Oat trait dictionary commissioned by Oat Global (http://oatglobal.org/) to hold the traits used in the T3/Oat database (http://triticeaetoolbox.org/oat/).
CO_356,Vitis ontology,/ols/ontologies/co_356,Grape Ontology including OIV and bioversity descriptors. INRA July 2017
CO_357,Woody Plant Ontology ontology,/ols/ontologies/co_357,This ontology list all variables used for woody plant observations. Terms are collected from various sources (past and ongoing projects at national and international levels). Curators: Celia Michotey (INRA) & Ines Chaves (IBET) - Version 1 submitted on August 2017 by INRA.
CO_360,Sugar Kelp trait ontology,/ols/ontologies/co_360,Sugar Kelp trait ontology
CRO,Contributor Role Ontology,/ols/ontologies/cro,"A classification of the diverse roles performed in the work leading to a published research output in the sciences. Its purpose to provide transparency in contributions to scholarly published work, to enable improved systems of attribution, credit, and accountability."
CTENO,Ctenophore Ontology,/ols/ontologies/cteno,An anatomical and developmental ontology for ctenophores (Comb Jellies)
CVDO,Cardiovascular Disease Ontology,/ols/ontologies/cvdo,An ontology to describe entities related to cardiovascular diseases
DDANAT,Dictyostelium discoideum anatomy,/ols/ontologies/ddanat,A structured controlled vocabulary of the anatomy of the slime-mold Dictyostelium discoideum
DDPHENO,Dictyostelium discoideum phenotype,/ols/ontologies/ddpheno,A structured controlled vocabulary of phenotypes of the slime-mould <i>Dictyostelium discoideum</i>.
DIDEO,Drug-drug Interaction and Drug-drug Interaction Evidence Ontology,/ols/ontologies/dideo,The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology
DINTO,The Drug-Drug Interactions Ontology,/ols/ontologies/dinto,A formal represention for drug-drug interactions knowledge.
DOID,Human Disease Ontology,/ols/ontologies/doid,An ontology for describing the classification of human diseases organized by etiology.
DRON,The Drug Ontology,/ols/ontologies/dron,An ontology to support comparative effectiveness researchers studying claims data.
DUO,The Data Use Ontology,/ols/ontologies/duo,DUO is an ontology which represent data use conditions.
ECO,Evidence & Conclusion Ontology (ECO),/ols/ontologies/eco,"The Evidence & Conclusion Ontology (ECO) describes types of scientific evidence within the biological research domain that arise from laboratory experiments, computational methods, literature curation, or other means."
ECOCORE,An ontology of core ecological entities,,An ontology to provide core semantics for ecological entities.
EDAM,"Bioinformatics operations, data types, formats, identifiers and topics",/ols/ontologies/edam,"EDAM is a simple ontology of well established, familiar concepts that are prevalent within bioinformatics, including types of data and data identifiers, data formats, operations and topics. EDAM provides a set of terms with synonyms and definitions - organised into an intuitive hierarchy for convenient use."
EFO,Experimental Factor Ontology,/ols/ontologies/efo,"The Experimental Factor Ontology (EFO) provides a systematic description of many experimental variables available in EBI databases, and for external projects such as the NHGRI GWAS catalogue. It combines parts of several biological ontologies, such as anatomy, disease and chemical compounds. The scope of EFO is to support the annotation, analysis and visualization of data handled by many groups at the EBI and as the core ontology for OpenTargets.org"
EHDAA2,"Human developmental anatomy, abstract",/ols/ontologies/ehdaa2,A structured controlled vocabulary of stage-specific anatomical structures of the developing human.
EMAP,"Mouse gross anatomy and development, timed",/ols/ontologies/emap,A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).
EMAPA,"Mouse gross anatomy and development, timed",/ols/ontologies/emapa,Abstract (i.e. non-stage specific) stage-specific anatomical structures of the mouse.
ENM,eNanoMapper Ontology,/ols/ontologies/enm,"The eNanoMapper project (www.enanomapper.net) is creating a pan-European computational infrastructure for toxicological data management for ENMs, based on semantic web standards and ontologies. > This ontology is an application ontology targeting the full domain of nanomaterial safety assessment. It re-uses several other ontologies including the NPO, CHEMINF, ChEBI, and ENVO."
ENSGLOSS,Ensembl Glossary,/ols/ontologies/ensemblglossary,"The Ensembl glossary lists the terms, data types and file types that are used in Ensembl and describes how they are used."
ENVO,Environment Ontology,/ols/ontologies/envo,Ontology of environmental features and habitats
EO,Plant Environment Ontology,/ols/ontologies/eo,"A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments."
EOL,Environment Ontology for Livestock,/ols/ontologies/eol,"L'ontologie EOL décrit les conditions d'environnement des élevages d'animaux domestiques. Elle décrit plus particulièrement les modalités de l'alimentation, de l'environnement, de la structure des élevages et des systèmes d'élevage"
EPO,Epidemiology Ontology,/ols/ontologies/epo,An ontology designed to support the semantic annotation of epidemiology resources
ERO,eagle-i resource ontology,/ols/ontologies/ero,"An ontology of research resources such as instruments. protocols, reagents, animal models and biospecimens."
EUPATH,EuPathDB ontology,/ols/ontologies/eupath,An ontology is developed to support Eukaryotic Pathogen Database Bioinformatics Resource Center sites (EuPathDB; http://eupathdb.org).
EXO,Exposure ontology,/ols/ontologies/exo,Vocabularies for describing exposure data to inform understanding of environmental health.
FAO,Fungal gross anatomy,/ols/ontologies/fao,A structured controlled vocabulary for the anatomy of fungi.
FBbi,Biological imaging methods,/ols/ontologies/fbbi,"A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research."
FBbt,Drosophila gross anatomy,/ols/ontologies/fbbt,An ontology representing the gross anatomy of Drosophila melanogaster.
FBcv,Drosophila Phenotype Ontology,/ols/ontologies/dpo,An ontology of commonly encountered and/or high level Drosophila phenotypes.
FBcv,FlyBase Controlled Vocabulary,/ols/ontologies/fbcv,A structured controlled vocabulary used for various aspects of annotation by FlyBase.
FBdv,Drosophila development,/ols/ontologies/fbdv,A structured controlled vocabulary of the development of Drosophila melanogaster.
FIX,Physico-chemical methods and properties,/ols/ontologies/fix,An ontology of physico-chemical methods and properties.
FLOPO,Flora Phenotype Ontology,/ols/ontologies/flopo,Traits and phenotypes of flowering plants occurring in digitized Floras
FLU,Influenza ontology,/ols/ontologies/flu,"The influenza ontology is an application ontology that covers the natural, experimental and clinical realms related to influenza virus life cycle, infection and disease. It is an extension of the infectious disease ontology (IDO)."
FMA,Foundational Model of Anatomy (subset),/ols/ontologies/fma,This is currently a slimmed down version of FMA
FOODON,Food Ontology,/ols/ontologies/foodon,"FoodOn (http://foodon.org) is a consortium-driven project to build a comprehensive and easily accessible global farm-to-fork ontology about food, that accurately and consistently describes foods commonly known in cultures from around the world."
FYPO,Fission Yeast Phenotype Ontology,/ols/ontologies/fypo,FYPO is a formal ontology of phenotypes observed in fission yeast.
GAZ,Gazetteer,/ols/ontologies/gaz,A gazetteer constructed on ontological principles
GENEPIO,Genomic Epidemiology Ontology,/ols/ontologies/genepio,"The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks."
GENO,Genotype Ontology,/ols/ontologies/geno,"An integrated ontology for representing the genetic variations described in genotypes, and their causal relationships to phenotype and diseases."
GEO,Geographical Entity Ontology,/ols/ontologies/geo,An ontology of geographical entities
GO,Gene Ontology,/ols/ontologies/go,An ontology for describing the function of genes and gene products
GeXO,Gene Expression Ontology,/ols/ontologies/gexo,Gene Expression Ontology
HAO,Hymenoptera Anatomy Ontology,/ols/ontologies/hao,"A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)"
HOM,Homology Ontology,/ols/ontologies/hom,"This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology."
HP,human phenotype ontology,/ols/ontologies/hp,A structured and controlled vocabulary for the phenotypic features encountered in human hereditary and other disease.
HSAPDV,Human Developmental Stages,/ols/ontologies/hsapdv,Life cycle stages for Human
IAO,Information Artifact Ontology,/ols/ontologies/iao,An ontology of information entities.
ICO,Informed Consent Ontology,/ols/ontologies/ico,The Informed Consent Ontology (ICO) is an ontology for the informed consent and informed consent process in the medical field.
IDO,Infectious Disease Ontology,/ols/ontologies/ido,"A set of interoperable ontologies that will together provide coverage of the infectious disease domain. IDO core is the upper-level ontology that hosts terms of general relevance across the domain, while extension ontologies host terms to specific to a particular part of the domain."
IDOMAL,Malaria Ontology,/ols/ontologies/idomal,An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.
KISAO,Kinetic Simulation Algorithm Ontology,/ols/ontologies/kisao,A classification of algorithms available for the simulation of models in biology.
LBO,Livestock Breed Ontology,/ols/ontologies/lbo,"A vocabulary for cattle, chicken, horse, pig, and sheep breeds."
MA,Mouse adult gross anatomy,/ols/ontologies/ma,A structured controlled vocabulary of the adult anatomy of the mouse (Mus).
MAMO,Mathematical Modelling Ontology,/ols/ontologies/mamo,"The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features."
MF,Mental Functioning Ontology,/ols/ontologies/mf,The Mental Functioning Ontology is an overarching ontology for all aspects of mental functioning.
MFMO,Mammalian Feeding Muscle Ontology,/ols/ontologies/mfmo,"The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors."
MFOEM,Emotion Ontology,/ols/ontologies/mfoem,"An ontology of affective phenomena such as emotions, moods, appraisals and subjective feelings."
MFOMD,Mental Disease Ontology,/ols/ontologies/mfomd,The Mental Disease Ontology is developed to facilitate representation for all aspects of mental disease. It is an extension of the Ontology for General Medical Science (OGMS) and Mental Functioning Ontology (MF).
MI,Molecular interactions,/ols/ontologies/mi,A structured controlled vocabulary for the annotation of experiments concerned with protein-protein interactions.
MIAPA,Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology,/ols/ontologies/miapa,"The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information for A Phylogenetic Analysis (MIAPA) metadata reporting standard. The ontology leverages (imports) primarily from the CDAO (Comparative Data Analysis Ontology), PROV (W3C Provenance Ontology), and SWO (Software Ontology, which includes the EDAM ontologies) ontologies. It adds some assertions of its own, as well as some classes and individuals that may eventually get pushed down into one of the respective source ontologies.

This ontology is maintained at http://github.com/miapa/miapa, and requests for changes or additions should be filed at the issue tracker there. The discussion list is at miapa-discuss@googlegroups.com. Further resources about MIAPA can be found at the project's main page at http://evoio.org/wiki/MIAPA."
MICRO,Ontology of Prokaryotic Phenotypic and Metabolic Characters,/ols/ontologies/micro,An ontology of prokaryotic phenotypic and metabolic characters
MIRNAO,microRNA Ontology,/ols/ontologies/mirnao,An application ontology for use with miRNA databases.
MIRO,Mosquito insecticide resistance,/ols/ontologies/miro,Application ontology for entities related to insecticide resistance in mosquitos
MMO,Measurement method ontology,/ols/ontologies/mmo,A representation of the variety of methods used to make clinical and phenotype measurements.
MMUSDV,Mouse Developmental Stages,/ols/ontologies/mmusdv,Life cycle stages for Mus Musculus
MOD,Protein modification,/ols/ontologies/mod,PSI-MOD is an ontology consisting of terms that describe protein chemical modifications
MONDO,MONDO: Monarch Disease Ontology,/ols/ontologies/mondo,An ontology that harmonizes multiple disease resources.
MOP,Molecular Process Ontology,/ols/ontologies/mop,Processes at the molecular level
MP,The Mammalian Phenotype Ontology,/ols/ontologies/mp,"The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Project, Mouse Genome Informatics (MGI), The Jackson Laboratory, Bar Harbor, ME. This file contains pre-coordinated phenotype terms, definitions and synonyms that can be used to describe mammalian phenotypes. The ontology is represented as a directed acyclic graph (DAG). It organizes phenotype terms into major biological system headers such as nervous system and respiratory system.  This ontology is currently under development. Weekly updates are available at the Mouse Genome Informatics (MGI) ftp site (ftp://ftp.informatics.jax.org/pub/reports/index.html#pheno) as well as the OBO Foundry site (http://obofoundry.org/). Questions, comments and suggestions are welcome, and should be directed to pheno@jax.org, Susan.Bello@jax.org or to GitHub tracker (https://github.com/obophenotype/mammalian-phenotype-ontology/issues) MGD is funded by NIH/NHGRI grant HG000330."
MPATH,Mouse pathology,/ols/ontologies/mpath,A structured controlled vocabulary of mutant and transgenic mouse pathology phenotypes
MPIO,Minimum PDDI Information Ontology,/ols/ontologies/mpio,An ontology of minimum information regarding potential drug-drug interaction information.
MRO,MHC Restriction Ontology,/ols/ontologies/mro,"The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein chains, serotypes, haplotypes and mutant molecules, as well as evidence for MHC restrictions."
MS,Mass spectrometry ontology,/ols/ontologies/ms,A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.
NBO,Neuro Behavior Ontology,/ols/ontologies/nbo,An ontology of human and animal behaviours and behavioural phenotypes
NCBITAXON,NCBI organismal classification,/ols/ontologies/ncbitaxon,An ontology representation of the NCBI organismal taxonomy
NCIT,NCI Thesaurus OBO Edition,/ols/ontologies/ncit,"The NCIt OBO Edition project aims to increase integration of the NCIt with OBO Library ontologies. NCIt is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. NCIt OBO Edition releases should be considered experimental."
NCRO,Non-Coding RNA Ontology,/ols/ontologies/ncro,"An ontology for non-coding RNA, both of biological origin, and engineered."
NMR,nuclear magnetic resonance CV,/ols/ontologies/nmrcv,"This artefact is an MSI-approved controlled vocabulary primarily developed under COSMOS EU and PhenoMeNal EU governance. The nmrCV is supporting the nmrML XML format with standardized terms. nmrML is a vendor agnostic open access NMR raw data standard. Its primaly role is analogous to the mzCV for the PSI-approved mzML XML format. It uses BFO2.0 as its Top level. This CV was derived from two predecessors (The NMR CV from the David Wishart Group, developed by Joseph Cruz) and the MSI nmr CV developed by Daniel Schober at the EBI.  This simple taxonomy of terms (no DL semantics used) serves the nuclear magnetic resonance markup language (nmrML) with meaningful descriptors to amend the nmrML xml file with CV terms. Metabolomics scientists are encouraged to use this CV to annotrate their raw and experimental context data, i.e. within nmrML. The approach to have an exchange syntax mixed of an xsd and CV stems from the PSI mzML effort. The reason to branch out from an xsd into a CV is, that in areas where the terminology is likely to change faster than the nmrML xsd could be updated and aligned, an externally and decentrallised maintained CV can accompensate for such dynamics in a more flexible way. A second reason for this set-up is that semantic validity of CV terms used in an nmrML XML instance (allowed CV terms, position/relation to each other, cardinality) can be validated by rule-based proprietary validators:  By means of cardinality specifications and XPath expressions defined in an XML mapping file (an instances of the CvMappingRules.xsd ), one can define what ontology terms are allowed in a specific location of the data model."
OAE,OAE: Ontology of Adverse Events,/ols/ontologies/oae,"The Ontology of Adverse Eventsy (OAE) is a biomedical ontology in the domain of adverse events. OAE aims to standardize adverse event annotation, integrate various adverse event data, and support computer-assisted reasoning.  OAE is a community-based ontology. Its development follows the OBO Foundry principles. Vaccine adverse events have been used as an initial testing use case. OAE also studies adverse events associated with the administration of drug and nutritional products, the operation of surgeries, and the usage of medical devices, etc."
OARCS,Ontology of Arthropod Circulatory Systems,/ols/ontologies/oarcs,OArCS is an ontology describing the Arthropod ciruclatory system.
OBA,Ontology of Biological Attributes,/ols/ontologies/oba,A collection of biological attributes (traits) covering all kingdoms of life.
OBCS,Ontology of Biological and Clinical Statistics,/ols/ontologies/obcs,"OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the Ontology for Biomedical Investigations (OBI). OBCS imports all possible biostatistics terms in OBI and includes many additional biostatistics terms, some of which were proposed and discussed in the OBI face-to-face workshop in Ann Arbor in 2012."
OBI,Ontology for Biomedical Investigations,/ols/ontologies/obi,"The Ontology for Biomedical Investigations (OBI) is build in a collaborative, international effort and will serve as a resource for annotating biomedical investigations, including the study design, protocols and instrumentation used, the data generated and the types of analysis performed on the data. This ontology arose from the Functional Genomics Investigation Ontology (FuGO) and will contain both terms that are common to all biomedical investigations, including functional genomics investigations and those that are more domain specific."
OBIB,Ontology for BIoBanking (OBIB),/ols/ontologies/obib,An ontology built for annotation and modeling of biobank repository and biobanking administration
OGG,OGG: Ontology of Genes and Genomes,/ols/ontologies/ogg,"OGG is a biological ontology in the area of genes and genomes. OGG uses the Basic Formal Ontology (BFO) as its upper level ontology. This OGG document contains the genes and genomes of a list of selected organisms, including human, two viruses (HIV and influenza virus), and bacteria (B. melitensis strain 16M, E. coli strain K-12 substrain MG1655, M. tuberculosis strain H37Rv, and P. aeruginosa strain PAO1). More OGG information for other organisms (e.g., mouse, zebrafish, fruit fly, yeast, etc.) may be found in other OGG subsets."
OGI,Ontology for genetic interval,/ols/ontologies/ogi,"OGI formalized the genomic element by defining an upper class 'genetic interval'.

The definition of 'genetic interval' is ""the spatial continuous physical entity which contains ordered genomic sets(DNA, RNA, Allele, Marker,etc.) between and including two points (Nucleic Acid Base Residue) on a chromosome or RNA molecule which must have a liner primary sequence sturcture."" 

Related paper:

1. Yu Lin, Norihiro Sakamoto (2009) “Genome, Gene, Interval and Ontology” Interdisciplinary Ontology Vol.2 - Proceedings of the Second Interdisciplinary Meeting, Tokyo, Feb. 28th- Mar. 1st, 2009. Page(s):25-34 (http://cdb-riken.academia.edu/LinYu/Papers/142399/Genome_Gene_Interval_and_Ontology)
Yu Lin, Hiroshi Tarui, Peter Simons (2009) “From Ontology for Genetic Interval(OGI) to Sequence Assembly – Ontology apply to next generation sequencing” Proceeding of the Semantic Web Applications and Tools for Life Science Workshop, Amsterdam, Nov.20th, 2009. (http://ceur-ws.org/Vol-559/Poster2.pdf)
Yu Lin, Peter Simons (2010) “DNA sequence from below: A Nominalist Approach” Interdisciplinary Ontology Vol.3 - Proceedings of the Second Interdisciplinary Meeting, Tokyo, Feb. 28th- Mar. 1st, 2010. (http://philpapers.org/rec/LINDSF)"
OGMS,Ontology for General Medical Science,/ols/ontologies/ogms,An ontology for representing treatment of disease and diagnosis and on carcinomas and other pathological entities
OGSF,Ontology of Genetic Susceptibility Factors (OGSF),/ols/ontologies/ogsf,"The Ontology of Genetic Susceptibility Factors (OGSF) is an ontology that represents various types of genetic susceptibility and genetic susceptibility factors and their relations with different diseases and pathological bodily processes (e.g., vaccine adverse events)."
OHD,The Oral Health and Disease Ontology,/ols/ontologies/ohd,"The Oral Health and Disease Ontology was created, initially, to represent the content of dental practice health records."
OHMI,OHMI: Ontology of Host-Microbiome Interactions,/ols/ontologies/ohmi,OHMI is a biomedical ontology that represents the entities and relations in the domain of host-microbiome interactions.
OLATDV,Medaka Developmental Stages,/ols/ontologies/olatdv,Life cycle stages for Medaka
OMIABIS,Ontologized MIABIS,/ols/ontologies/omiabis,An ontological version of MIABIS (Minimum Information About BIobank data Sharing)
OMIT,Ontology for MIRNA Target,/ols/ontologies/omit,Ontology to establish data exchange standards and common data elements in the microRNA (miR) domain
OMP,Ontology of Microbial Phenotypes,/ols/ontologies/omp,An ontology of phenotypes covering microbes
OMRSE,Ontology of Medically Related Social Entities,/ols/ontologies/omrse,"This ontology covers the domain of social entities that are related to health care, such as demographic information and the roles of various individuals and organizations."
ONTONEO,Obstetric and Neonatal Ontology,/ols/ontologies/ontoneo,"The Obstetric and Neonatal Ontology is a structured controlled vocabulary to provide a representation of the data from electronic health records (EHRs) involved in the care of the pregnant woman, and of her baby."
OOSTT,Ontology of Organizational Structures of Trauma centers and Trauma Systems,/ols/ontologies/oostt,An ontology built for representating the organizational components of trauma centers and trauma systems.
OPL,Ontology for Parasite LifeCycle,/ols/ontologies/opl,A reference ontology for parasite life cycle stages.
ORDO,Orphanet Rare Disease Ontolog,/ols/ontologies/ordo,"The Orphanet Rare Disease ontology (ORDO) is jointly developed by Orphanet and the EBI to provide a structured vocabulary for rare diseases capturing relationships between diseases, genes and other relevant features which will form a useful resource for the computational analysis of rare diseases. It derived from the Orphanet database (www.orpha.net ) , a multilingual database dedicated to rare diseases populated from literature and validated by international experts. It integrates a nosology (classification of rare diseases), relationships (gene-disease relations, epiemological data) and connections with other terminologies (MeSH, UMLS, MedDRA),databases (OMIM, UniProtKB, HGNC, ensembl, Reactome, IUPHAR, Geantlas) or classifications (ICD10)."
