城市英文名	城市中文名	所属国家	纬度	经度
Oklahoma City	俄克拉何马城	美国	35.29	西经:97.32
Orlando	奥兰多	美国	28.3	西经:81.22
Pago Pago	帕果帕果	美国	南纬:14.16	西经:170.42
Pensacola	彭沙科拉	美国	30.3	东经:87.12
Philadelphia	费拉德尔菲亚	美国	40.	西经:75.09
Phoenix	菲尼克斯	美国	33.3	西经:112.05
Pierre	皮尔	美国	44.22	西经:100.2
Pittsburgh	匹兹堡	美国	40.26	西经:80
Portland	波特兰	美国	45.31	西经:122.39
Providence	普罗维登斯	美国	41.49	西经:71.25
Raleigh	瑞丽	美国	35.47	西经:78.39
Rapid City	拉皮德城	美国	44.05	西经:103.13
Richmond	里士满	美国	37.32	西经:77.28
Riverside	河滨市	美国	33.56	西经:117.23
Rochester	罗彻斯特	美国	43.12	西经:77.37
Sacramento	萨克拉门托	美国	38.34	西经:121.28
Saipan	塞班岛	美国	15.12	东经:145.45
Salem	塞伦	美国	44.56	西经:123.02
Salt Lake City	盐湖城	美国	40.46	西经:111.52
San Antonio	圣安东尼奥	美国	29.25	西经:98.3
San Bernardino	圣博娜迪诺	美国	34.06	西经:117.17
San Diego	圣地亚哥	美国	32.43	西经:117.09
San Francisco	旧金山	美国	37.46	西经:122.26
San Jose	圣何塞	美国	37.2	西经:121.53
Santa Fe	圣达菲	美国	35.4	西经:105.57
Seattle	西雅图	美国	47.38	西经:122.2
Sioux Falls	苏福尔斯	美国	43.34	西经:96.42
St.Louis	圣路易斯	美国	38.4	西经:90.15
St.Paul	圣保罗	美国	45.	西经:93.1
St.Petersburg	圣彼得堡	美国	27.45	西经:82.38
Stanley	斯坦利	美国	南纬:51.42	西经:57.52
Stockton	斯托克顿	美国	37.58	西经:121.18
Tampa	坦帕	美国	27.58	西经:82.38
Toledo	托莱多	美国	41.4	西经:83.35
Topeka	托皮卡	美国	39.02	西经:95.41
Trenton	特伦顿	美国	40.13	西经:74.46
Tucson	图森	美国	32.13	西经:110.58
Unalaska	安那拉斯加	美国	53.51	西经:166.43
Virginia Beach	弗吉尼亚海滨市	美国	36.44	西经:76.02
Washington DC	华盛顿市	美国	38.53	西经:77.02
Wichita	卫奇塔	美国	37.43	西经:97.2
